type,name,smiles
catalyst,empty,[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1
catalyst,empty,[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1
catalyst,empty,[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
catalyst,empty,c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1
catalyst,ephos-pd-g4,CC(C)Oc1cccc(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1P(C1CCCCC1)C1CCCCC1.CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O
catalyst,et-cphos-pd(allyl),C=CC[Pd].CCP(CC)c1ccccc1-c1c(N(C)C)cccc1N(C)C
catalyst,gphos-pd-g4,COc1ccc(OC(C)(C)C)c([P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c1-c1c(C(C)C)cccc1C(C)C
catalyst,imes-nhc-precatalyst,C=CCc1ccccc1.CC(C)c1cccc(C(C)C)c1-n1ccn(-c2c(C(C)C)cccc2C(C)C)c1=[Pd]Cl
catalyst,j-009-pd(oac)2,CC(C1=C(P(C2CCCCC2)C2CCCCC2)C=C[CH]1)P(C(C)(C)C)C(C)(C)C.[CH]1C=CC=C1.[Fe]
catalyst,jackiephos-pd(allyl),C=CC[Pd].COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C
catalyst,jackiephos-pd-g3,COc1ccc(OC)c([P+](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[Pd-2]2(OS(C)(=O)=O)[NH2+]c3ccccc3-c3ccccc32)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C
catalyst,johnphos-pd(allyl),C=CC[Pd].CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C
catalyst,josiphos-pd-g3,C1=CCC=C1.CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N.C[C@@H](C1=CCC=C1P(C1CCCCC1)C1CCCCC1)P(C(C)(C)C)C(C)(C)C.[Fe]
catalyst,josiphos-sl-j009-1-pd-g3,CC(C1=C(P(C2CCCCC2)(C2CCCCC2)->[Pd]2(<-Nc3ccccc3-c3ccccc32)OS(C)(=O)=O)C([Fe]C2C=CC=C2)C=C1)P(C(C)(C)C)C(C)(C)C
catalyst,me4tbuxphos-pd(allyl),C=CC[Pd].Cc1c(C)c(C)c(P(C(C)(C)C)C(C)(C)C)c(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1C
catalyst,me4tbuxphos-pd-g3,CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N.Cc1c(C)c(C)c(P(C(C)(C)C)C(C)(C)C)c(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1C
catalyst,mordalphos-pd-g3,CS(=O)(=O)O[Pd]1(<-Nc2ccccc2-c2ccccc21)<-P(c1ccccc1N1CCOCC1)(C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3
catalyst,mordalphos-pd-g4,CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O.c1ccc(P(C23CC4CC(CC(C4)C2)C3)C23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)c(N2CCOCC2)c1
catalyst,n-xantphos-pd-g4,CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O.c1ccc(P(c2ccccc2)c2cccc3c2Oc2c(cccc2P(c2ccccc2)c2ccccc2)N3)cc1
