"ELN_ID","PLATENUMBER","Coordinate","AREA_TOTAL_REDUCED","Base","Catalyst","Solvent","Ligand","Additive","Coupling Reagent","Secondary Solvent","Tertiary Solvent","Reaction Type","FG A","FG B","FG_sorted","z-Score","output_column"
"ELN032036-308",1,"G11",1.48,"CsF","P(Cy3) Pd G3","Dioxane","P(Cy)3","Potassium 2-ethylhexanoate",,,,"Suzuki-Miyaura","ArCl","Alkyl-B(OR)2","Alkyl-B(OR)2, ArCl",-1.09,"3 h at 60 °C, then 18 h at 80 °C"
"ELN032036-308",2,"G11",21.1,"Na2CO3","bridged tBuPhosphinito PdCl2","MeTHF","bridged tBuPhosphinito",,,"water",,"Suzuki-Miyaura","ArCl","Alkyl-B(OR)2","Alkyl-B(OR)2, ArCl",-0.43,"22 h at 80 °C"
"ELN032036-310",1,"G11",9.91,,,"DMF","No Ligand","tBu isocyanide",,,,"Condensation","RNH2","ROR","RNH2, ROR",-0.01,"2 h at 40 °C, then 16 h at 80 °C"
"ELN032036-313",1,"G11",0,"K3PO4","meCgPPh Pd G3","Brij 35","meCgPPh",,,"tAmOH","water","Suzuki-Miyaura","ArCl","ArCl","ArCl, ArCl",-0.26,
"ELN032036-314",1,"G11",0,,"bridged tBuPhosphinito PdCl2","tAmOH","bridged tBuPhosphinito",,,,,"Negishi","ArCl","ArCl","ArCl, ArCl",-0.76,
"ELN032036-314",2,"G11",0,,"TrixiePhos Pd G3","MeTHF","TrixiePhos",,,,,"Negishi","ArCl","ArCl","ArCl, ArCl",-0.76,
"ELN032036-315",1,"G11",0,"Cs2CO3","AlphosPd)2cod","MeCN","AlPhos",,,,,"Buchwald-Hartwig","ArCl","R2NH a-branch","ArCl, R2NH a-branch",-0.36,
"ELN032036-318",1,"G11",17.81,"DBU",,"Dioxane","No Ligand",,"Diethylchlorophosphate",,,"Cyclization","RNHNH2","RCO2H or M","RCO2H or M, RNHNH2",0.33,"4.5 h at 45 °C, then 12.5 h at 80 °C"
"ELN032036-318",2,"G11",0,"TMSOK",,"iPrOAc","No Ligand",,"PivCl",,,"Cyclization","RNHNH2","RCO2H or M","RCO2H or M, RNHNH2",-0.59,
"ELN032036-321",1,"G11",77.78,"K2CO3","dppfPdCl2","MeCN","dppf",,,"water",,"Suzuki-Miyaura","ArCl","ArB(OH)2","ArB(OH)2, ArCl",-1.11,"3 h at 60 °C, then 17 h at 80 °C"
