reaction_type,reaction_category,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive
Stannylation,,0,-0.54,Ar-Br,R-Sn,BippyPhos Pd(allyl)OTf,BippyPhos,,Dioxane,
Suzuki_Miyaura,,58.83,1.06,Ar-Br,Ar-B(OR)2,SPhos Pd(crotyl)Cl,SPhos,Na2CO3,"Dioxane, water",
Cn_Coupling,C-N Coupling,13.2,-0.23,Ar-Cl,R2CH-NH2,BippyPhos Pd(allyl)OTf,BippyPhos,Cs2CO3,Dioxane,water
Cn_Coupling,C-N Coupling,100,4.2,Ar-Cl,R2CH-NH2,,No Ligand,Cs2CO3,TPGS-750M,
Cn_Coupling,C-N Coupling,0,-0.52,Ar-Br,R-NH2,QPhos Pd(crotyl)Cl,QPhos,KHMDS,MeCN,
Cn_Coupling,C-N Coupling,0,-0.4,Ar-Br,Ar-NHR,tBuXPhos Pd G3,tBuXPhos,K3PO4,"MeCN, water",
Snar,,4.35,-0.82,R2CH-NH2,Ar-Cl,,No Ligand,K3PO4,"MeCN, water",
Suzuki_Miyaura,,37.41,0.2,Ar-B(OR)2,Ar-Cl,dppfPdCl2,dppf,K3PO4,"EtOH, water",
Snar,,0,-0.4,Ar-OH,Ar-Br,CuI,"N,N-Dimethylglycine hydrochloride",K3PO4,"DMSO, water",
Cn_Coupling,C-N Coupling,0,-0.21,R-NH2,Ar-Br,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,MeCN,
Cn_Coupling,C-N Coupling,0,-1.22,R2CH-NH2,Ar-Br,XantPhosPdCl2,XantPhos,KOtPent,PhMe,
Cn_Coupling,C-N Coupling,79.5,1.16,R2CH-NH2,Ar-Br,XantPhosPdCl2,XantPhos,Cs2CO3,MeCN,
Cn_Coupling,C-N Coupling,84.43,1.31,R2CH-NH2,Ar-Br,XantPhosPdCl2,XantPhos,Cs2CO3,MeCN,water
Cn_Coupling,C-N Coupling,62.52,0.65,R2CH-NH2,Ar-Br,XantPhosPdCl2,XantPhos,Cs2CO3,MeCN,water
Co_Coupling,,21.5,2.18,Ar-OH,Ar-Br,CuI,"N,N-Dimethylglycine hydrochloride",K3PO4,"DMSO, water",
Suzuki_Miyaura,,48.4,0.33,Ar-Cl,Ar-B(OR)2,dppfPdCl2,dppf,K3PO4,"EtOH, water",
Co_Coupling,,2.25,-0.49,Ar-OH,Ar-Br,CuI,"N,N-Dimethylglycine hydrochloride",K3PO4,"DMSO, water",
Co_Coupling,,19.76,0.87,Ar-OH,Ar-Br,CuI,(R)-Binap,K3PO4,DMAc,
Amide_Formation,,69.11,1.87,R-NHR,R-CO2H,,No Ligand,DBU,MeCN,PyBrOP
Cn_Coupling,C-N Coupling,46.48,1.26,Ar-Cl,R2CH-NHR,dppfPdCl2,dppf,KOH,"MeCN, water",
Cn_Coupling,C-N Coupling,18.95,0.31,AromN-H,Ar-Br,CuI,"N,N-Dimethylglycine hydrochloride",K3PO4,"DMSO, water",
Cn_Coupling,C-N Coupling,39.44,1.17,AromN-H,Ar-Br,CuI,PMPBO,Cs2CO3,tAmOH,
Condensation,,1.78,-0.67,Ar-NH2,R-SO2Cl,,No Ligand,LiHMDS,MeCN,BSTFA
Condensation,,30.06,0.46,Ar-NH2,R-SO2Cl,,No Ligand,NaOtBu,PhMe,
Condensation,,73.65,2.19,Ar-NH2,R-SO2Cl,,No Ligand,lutidine,MeCN,
Suzuki_Miyaura,,11.29,0.76,Ar-Br,RCH2-B(OH)2,P(Cy)3 Pd(crotyl)Cl,P(Cy)3,K3PO4,"PhMe, water",
Co_Coupling,,0,-0.3,Ar-Br,R2CH-OH,CuI,NN-Dibenzyloxamide,Cs2CO3,Dioxane,
Suzuki_Miyaura,,43.37,-0.82,Ar-Br,RCH2-B(OH)2,P(Cy)3 Pd(crotyl)Cl,P(Cy)3,Ag2O,PhMe,
Cn_Coupling,C-N Coupling,56.15,0.53,AromN-H,Ar-Br,CuI,PMPBO,Cs2CO3,Dioxane,
Suzuki_Miyaura,,0,-1.08,Ar-B(OH)2,Ar-Br,RuPhos Pd(crotyl)Cl,RuPhos,K3PO4,"PhMe, water",
Suzuki_Miyaura,,13.98,0.95,Ar-B(OH)2,Ar-Br,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"MeOH, PhMe",
Amide_Formation,,0,-0.7,R-CO2H,Ar-NH2,,No Ligand,DBU,THF,"HOPO, DIC"
Amide_Formation,,5.51,-0.43,R-CO2H,Ar-NH2,,No Ligand,K3PO4,MeCN,"DMF, CyanuricChloride"
Amide_Formation,,0,-0.7,R-CO2H,Ar-NH2,,No Ligand,NEt3,acetone,PivCl
Amide_Formation,,8.86,-0.27,R-CO2H,Ar-NH2,,No Ligand,"DMAP, NEt3",THF,PivCl
Cn_Coupling,C-N Coupling,0,-0.88,R-NH2,Ar-Br,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,MeCN,
Snar,,49.63,1.83,Ar-F,AromN-H,,No Ligand,Cs2CO3,DMSO,
Snar,,15.66,-0.3,Ar-F,AromN-H,,No Ligand,K3PO4,MeTHF,
Cn_Coupling,C-N Coupling,27.48,0.21,AromN-H,Ar-Cl,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,"Dioxane, water",
Cn_Coupling,C-N Coupling,0.7,-0.93,AromN-H,Ar-Cl,,No Ligand,TMG,MeCN,
Arylation_Acidic_C_H,,0,-0.46,Ar-Br,R-H-acidic,CuI,Picolinic acid,NaH,PhMe,
Arylation_Acidic_C_H,,0,-0.46,Ar-Br,R-H-acidic,Me3(OMe)tBuXPhos Pd G3,Me3(OMe)-tBuXPhos,K3PO4,"BuOH, water",
Arylation_Acidic_C_H,,0,-0.46,Ar-Br,R-H-acidic,Me3(OMe)tBuXPhos Pd G3,Me3(OMe)-tBuXPhos,K3PO4,"ethylene glycol, water",
Arylation_Acidic_C_H,,31.53,1.48,Ar-Br,R-H-acidic,[Pd(allyl)(Me4-tBu-XPhos)]OTf,Me4tBuXPhos,DBU,DMSO,
Arylation_Acidic_C_H,,0,-0.6,Ar-Br,R-H-acidic,CuI,Picolinic acid,NaH,PhMe,
Arylation_Acidic_C_H,,1.54,-0.53,Ar-Br,R-H-acidic,[Pd(allyl)(Me4-tBu-XPhos)]OTf,Me4tBuXPhos,LiHMDS,anisole,
Co_Coupling,,2.25,-0.09,Ar-OH,Ar-Br,Cu2O,BPPO,K3PO4,"Propionitrile, water",
Co_Coupling,,46.59,1.16,Ar-OH,Ar-I,CuI,(R)-Binap,K3PO4,DMSO,
Co_Coupling,,31.71,0.43,Ar-OH,Ar-I,CuO,DL-Proline,K3PO4,"Propionitrile, water",
Co_Coupling,,0,-1.14,Ar-OH,Ar-I,Cu2O,BPPO,K3PO4,"MeCN, water",
Co_Coupling,,0,-1.14,Ar-OH,Ar-I,Cu2O,trans-Hyp,K3PO4,"Propionitrile, water",
Co_Coupling,,10.94,-0.6,Ar-OH,Ar-I,Cu2O,trans-Hyp,K3PO4,"MeCN, water",
Suzuki_Miyaura,,73.93,0.81,Ar-Br,Ar-B(OR)2,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,"iPrOAc, water",
Suzuki_Miyaura,,20.57,-0.19,Ar-Cl,Ar-B(OR)2,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,"ethylene glycol, water",
Suzuki_Miyaura,,48.52,1.15,Ar-Cl,Ar-B(OR)2,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,"MeOH, water",
Suzuki_Miyaura,,57.28,1.57,Ar-Cl,Ar-B(OR)2,meCgPPh Pd G3,meCgPPh,K2CO3,"MeOH, water",water
Suzuki_Miyaura,,15.4,-0.43,Ar-Cl,Ar-B(OR)2,meCgPPh Pd G3,meCgPPh,K3PO4,"anisole, iPrOH",TBAC
C_H_Activation,C-H Activation,0,-0.82,Ar-H,Ar-Cl,N-XantPhos Pd G3,N-XantPhos,"K2CO3, KOAc",DMSO,
C_H_Activation,C-H Activation,1.65,-0.69,Ar-H,Ar-Cl,XantPhos Pd(allyl)Cl,XantPhos,K2CO3,"anisole, water","Potassium 2-ethylhexanoate, TBAC"
C_H_Activation,C-H Activation,0.28,-0.8,Ar-H,Ar-Cl,XantPhos Pd(allyl)Cl,XantPhos,K2CO3,"anisole, water",Potassium 2-ethylhexanoate
C_H_Activation,C-H Activation,30.2,1.67,Ar-H,Ar-Cl,XantPhosPdCl2,XantPhos,NaHCO3,"water, xylenes","Potassium 2-ethylhexanoate, TBAB"
Miyaura_Borylation,,67.94,-0.02,Ar-Br,Ar-Br,XPhos Pd(crotyl)Cl,XPhos,KOAc,PhMe,
Heck,,0.13,-0.75,Ar-Cl,Any-Alkene,XantPhos Pd(allyl)Cl,XantPhos,DBU,Propionitrile,TBAC
Heck,,25.35,1.16,Ar-Cl,Any-Alkene,[Pd(allyl)(Me4-tBu-XPhos)]OTf,Me4tBuXPhos,DIPEA,tAmOH,TBAC
Heck,,0.16,-0.75,Ar-Cl,Any-Alkene,AlphosPd)2cod,AlPhos,TMG,tAmOH,TBAC
Heck,,28,1.36,Ar-Cl,Any-Alkene,[Pd(allyl)(Me4-tBu-XPhos)]OTf,Me4tBuXPhos,N-Methyldicyclohexylamin,tAmOH,TBAC
Dimerization_Reductive,,13.8,0.24,Ar-OSO2R,Ar-OSO2R,XPhos Pd(crotyl)Cl,XPhos,"K2CO3, Potassium 2-ethylhexanoate","EtOH, water",
Dimerization_Reductive,,7.58,-0.28,Ar-OSO2R,Ar-OSO2R,meCgPPh Pd G3,meCgPPh,K3PO4,"iPrOAc, water",TBAB
Suzuki_Miyaura,,45.52,1.13,Ar-Br,Ar-Cl,XPhos Pd(crotyl)Cl,XPhos,"K3PO4, Potassium 2-ethylhexanoate","iPrOAc, water",
Miyaura_Borylation,,21.64,-0.32,Ar-Br,Ar-Br,XPhos Pd(crotyl)Cl,XPhos,KOAc,PhMe,
Suzuki_Miyaura,,77.19,-0.07,Ar-Cl,Ar-B(OH)2,PPh3)2PdCl2,PPh3,K3PO4,"PhMe, water",
Suzuki_Miyaura,,17.35,-2.37,Ar-Cl,Ar-B(OH)2,PPh3)2PdCl2,PPh3,K3PO4,"THF, water",
Arylation_Acidic_C_H,,0,-0.5,Ar-Br,R-H-acidic,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,K2CO3,tAmOH,
Arylation_Acidic_C_H,,0,-0.5,Ar-Br,R-H-acidic,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,LiHMDS,PhMe,
Arylation_Acidic_C_H,,0,-0.5,Ar-Br,R-H-acidic,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,LiHMDS,PhMe,
Cn_Coupling,C-N Coupling,14.19,-0.24,Ar-Br,R-NH2,XantPhos Pd(allyl)Cl,XantPhos,NaOtBu,tAmOH,
Cn_Coupling,C-N Coupling,0.36,-0.9,Any-CONHR,Ar-Cl,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,
Suzuki_Miyaura,,8.76,0.45,Ar-Br,Ar-B(OH)2,dtbpfPdCl2,dtbpf,Cs2CO3,EtOH,water
Suzuki_Miyaura,,2.74,-0.79,Ar-Br,Ar-B(OH)2,XPhos Pd(crotyl)Cl,XPhos,Cs2CO3,EtOAc,water
Cn_Coupling,C-N Coupling,63.56,1.53,Ar-Cl,Ar-NH2,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,Dioxane,water
Cn_Coupling,C-N Coupling,22.02,-0.13,Ar-Cl,Ar-NH2,XantPhos Pd(allyl)Cl,XantPhos,NaOtBu,PhMe,TBAC
Cn_Coupling,C-N Coupling,22.8,-0.1,Ar-Cl,Ar-NH2,XantPhosPdCl2,XantPhos,NaOtBu,MeTHF,
Cn_Coupling,C-N Coupling,90.32,2.6,Ar-Cl,Ar-NH2,[Pd(Cinnamyl)Cl]2,"Missing, Xantphos",NaOtPent,TBME,
C_H_Activation,C-H Activation,29.43,1.24,Ar-H,Ar-Br,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,Propionitrile,TBAC
C_H_Activation,C-H Activation,26.45,1,Ar-H,Ar-Br,XantPhos Pd(allyl)Cl,XantPhos,"KOPiv, NaHCO3",xylenes,TBAB
Dehydration,,12.99,0.9,R-CONHR,R-CONHR,,No Ligand,NMM,THF,PyBrOP
Dehydration,,59.04,5.96,R-CONHR,R-CONHR,,No Ligand,DBU,MeCN,PyBrOP
C_H_Activation,C-H Activation,38.04,0.95,Ar-H,Ar-Br,AlPhosPd G6 Br,AlPhos,NaHCO3,xylenes,"KOPiv, TBAB"
Cn_Coupling,C-N Coupling,0.48,-0.76,Ar-Cl,R2CH-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"MeTHF, water",
Cn_Coupling,C-N Coupling,45.27,1.24,Ar-Cl,R2CH-NH2,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,K3PO4,"MeCN, water",
Cn_Coupling,C-N Coupling,33.37,0.71,Ar-Cl,R2CH-NH2,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,
Cn_Coupling,C-N Coupling,93.97,3.41,Ar-Cl,R2CH-NH2,cBridP Pd(allyl)Cl,cBridP,Cs2CO3,MeTHF,water
Suzuki_Miyaura,,17.34,1.49,Ar-Br,Ar-Br,meCgPPh Pd G3,meCgPPh,"K3PO4, Potassium 2-ethylhexanoate","PhMe, water",TBAB
Suzuki_Miyaura,,0.57,-1.17,Ar-Br,Ar-Br,meCgPPh Pd G3,meCgPPh,"K3PO4, Potassium 2-ethylhexanoate","PhMe, water",TBAB
Suzuki_Miyaura,,18.32,1.64,Ar-Br,Ar-Br,cataCXiumA Pd G3,CataCXiumA,"K3PO4, Potassium 2-ethylhexanoate","tAmOH, water",TBAB
Suzuki_Miyaura,,31.68,0.26,Ar-Br,Ar-B(OR)2,SPhos Pd(crotyl)Cl,SPhos,K3PO4,"MeOH, water",TBAB
Suzuki_Miyaura,,27.32,-1.51,Ar-Br,Ar-B(OR)2,SPhos Pd(crotyl)Cl,SPhos,K3PO4,"anisole, water",TBAB
Suzuki_Miyaura,,57.05,0.38,Ar-Br,Ar-B(OR)2,AmPhos2PdCl2,AmPhos,NaHCO3,"MeOH, water",TBAB
Cn_Coupling,C-N Coupling,20.7,0.05,R-NHR,Ar-Cl,SPhos Pd(crotyl)Cl,SPhos,K3PO4,"MeCN, water",
Cn_Coupling,C-N Coupling,12.28,-0.26,R-NHR,Ar-Cl,,No Ligand,DBU,DMSO,
Suzuki_Miyaura,,24.61,0.25,Ar-Br,Ar-B(OR)2,SPhos Pd(crotyl)Cl,SPhos,K3PO4,"Dioxane, water",TBAB
Cn_Coupling,C-N Coupling,67.76,0.63,Ar-Cl,R2CH-NH2,cBridP Pd(allyl)Cl,cBridP,Cs2CO3,PhMe,water
C_H_Borylation,,46.19,1.83,Ar-H,Ar-H,[Ir(cod)OMe]2,"1,10-Phenanthroline",,cyclohexane,
Snar,,100,3.27,R2CH-OH,Ar-F,,No Ligand,TMG,DMSO,
Suzuki_Miyaura,,0,-0.2,Ar-Br,Ar-Br,AmPhos2PdCl2,AmPhos,K3PO4,"THF, TPGS-750M",
Cn_Coupling,C-N Coupling,8.04,0.46,Ar-Cl,R-NHR,RuPhos Pd G4,RuPhos,Cs2CO3,MeCN,
Cn_Coupling,C-N Coupling,1.51,-0.85,Ar-Cl,R-NHR,dppfPdCl2,dppf,KHMDS,PhMe,
Negishi_In_Situ,,0,-0.54,R-I,Ar-Br,"Cu2O, Ni(OAc)2",Me4phen,,"Brij 35, PhMe",Potassium 2-ethylhexanoate
Miyaura_Borylation,,2.13,-0.61,Ar-Br,Ar-Br,meCgPPh Pd G3,meCgPPh,Potassium 2-ethylhexanoate,"PhMe, water",
Miyaura_Borylation,,34,1.66,Ar-Br,Ar-Br,XPhos Pd(crotyl)Cl,XPhos,KOAc,tAmOH,
Negishi_In_Situ,,0,-0.28,R-I,Ar-Br,VPhos Pd G3,VPhos,,water,"Octanoic acid, TMEDA"
Negishi_In_Situ,,0,-0.13,R-I,Ar-Br,VPhos Pd G3,VPhos,,water,"Octanoic acid, TMEDA"
Oxidation,,3.87,-0.64,Ar-NH2,Ar-NH2,,No Ligand,,"MeCN, water",CuSO4 anhydrous
Oxidation,,22.23,0.15,Ar-NH2,Ar-NH2,,No Ligand,,"tAmOH, water",Na2WO4
Cs_Coupling,,47.73,0.85,Ar-Br,Ar-Br,PPh3)2PdCl2,"1,10-Phenanthroline, PPh3",,DMSO,"K2S2O5, Sodium formate, TBAB"
Cs_Coupling,,32.84,0.2,Ar-Br,Ar-Br,cataCXiumA Pd G6 Br)2,CataCXiumA,,DMSO,"K2S2O5, Sodium formate, TBAB"
Cs_Coupling,,35.52,0.32,Ar-Br,Ar-Br,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,DMSO,"K2S2O5, Sodium formate, TBAB"
Condensation,,48.3,0.38,R-Ester,R-NH2,,No Ligand,NaOtBu,"anisole, MeOH",HFIP
Condensation,,1.17,-1.28,R-Ester,R-NH2,,No Ligand,,PhMe,Potassium 2-ethylhexanoate
Condensation,,63.02,0.91,R-Ester,R-NH2,,No Ligand,NaOtBu,"MeOH, methylcyclohexane",TBAB
Condensation,,56,0.66,R-Ester,R-NH2,,No Ligand,NaOtBu,"MeOH, tAmOH",
Amide_Formation,,0,-0.73,R-CO2H,Ar-NH2,,No Ligand,DBU,MeCN,PyBrOP
Amide_Formation,,0.64,-0.7,R-CO2H,Ar-NH2,,No Ligand,NMI,DMF,"HOSu, DIC"
Arylation_Acidic_C_H,,0,-0.93,Ar-Br,R-H-acidic,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,NaH,tAmOH,
Arylation_Acidic_C_H,,39.87,1.38,Ar-Br,R-H-acidic,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,NaOtBu,PhMe,
Arylation_Acidic_C_H,,27.72,0.68,Ar-Br,R-H-acidic,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,NaOtBu,PhMe,
Suzuki_In_Situ,,11.03,0.65,Ar-Br,Ar-Br,dtbpfPdCl2,dtbpf,"KOAc, Na2CO3","anisole, MeOH",TBAB
Negishi_In_Situ,,13.39,-0.28,Ar-Br,R-Br,VPhos Pd G4,VPhos,,"MeCN, water","Octanoic acid, TMEDA"
Negishi_In_Situ,,40.76,1.38,Ar-Br,R-Br,VPhos Pd G4,VPhos,,"MeCN, water","Octanoic acid, TMEDA"
Negishi_In_Situ,,0.28,-1.08,Ar-Br,R-Br,VPhos Pd G4,VPhos,,tAmOH,TMEDA
Negishi_In_Situ,,30,0.73,Ar-Br,R-Br,VPhos Pd G4,VPhos,,"MeCN, water","Octanoic acid, TMEDA"
Negishi_In_Situ,,27.22,0.56,Ar-Br,R-Br,VPhos Pd G4,VPhos,,"MeCN, water","Octanoic acid, TMEDA"
Cn_Coupling,C-N Coupling,0,-0.54,Ar-Cl,R-CONH2,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"MeCN, water",
Cn_Coupling,C-N Coupling,33.07,1.38,Ar-Cl,R-CONH2,dppdtbpf)PdCl2,dppdtbpf,K3PO4,tAmOH,
Cn_Coupling,C-N Coupling,2.88,-0.37,Ar-Cl,R-CONH2,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,NaOtBu,PhMe,
Alkylation,,86.98,0.97,R-OSO2R,AromN-H,,No Ligand,K2CO3,DMF,
Alkylation,,13.74,-1.27,R-OSO2R,AromN-H,,No Ligand,NaH,DMF,
Alkylation,,42.14,-0.4,R-OSO2R,AromN-H,,No Ligand,K2CO3,PhMe,LiI
Suzuki_Miyaura,,14.66,-0.08,Alkenyl-B(OR)2,Ar-Cl,dtbpfPdCl2,dtbpf,K2CO3,"THF, water",Sodium octanoate
Suzuki_Miyaura,,0,-0.56,Alkenyl-B(OR)2,Ar-Cl,meCgPPh Pd G3,meCgPPh,K2CO3,"anisole, water",TBAB
Suzuki_Miyaura,,87.3,2.29,Alkenyl-B(OR)2,Ar-Cl,dppfPdCl2,dppf,K2CO3,"THF, water",Sodium octanoate
Suzuki_Miyaura,,0,-0.56,Alkenyl-B(OR)2,Ar-Cl,dtbpfPdCl2,dtbpf,Na2CO3,"THF, water",Sodium octanoate
Alkylation,,14.74,-0.45,R-OSO2R,AromN-H,,No Ligand,K2CO3,DMF,
Alkylation,,0,-0.89,R-OSO2R,AromN-H,,No Ligand,NaH,DMF,
Alkylation,,22.24,-0.23,R-OSO2R,AromN-H,,No Ligand,NaH,DMF,LiI
Alkylation,,64.57,1.05,R-OSO2R,AromN-H,,No Ligand,KOtBu,DMF,"1,3,5-Trimethoxybenzene, LiI"
Suzuki_Miyaura,,20.59,-0.75,Alkenyl-B(OR)2,Ar-Br,dtbpfPdCl2,dtbpf,K2CO3,"THF, water",Octanoic acid
Negishi_In_Situ,,10.11,-0.4,Ar-Br,R-Br,VPhos Pd G4,VPhos,,"MeCN, water","Octanoic acid, TMEDA"
Negishi_In_Situ,,22.13,0.23,Ar-Br,R-Br,XPhos Pd(crotyl)Cl,XPhos,TMEDA,"Brij 35, MeTHF",Octanoic acid
Negishi_In_Situ,,45.65,1.44,Ar-Br,R-Br,AmPhos2PdCl2,AmPhos,TMEDA,"Brij 35, PhMe",TBAC
Negishi_In_Situ,,37.55,1.02,Ar-Br,R-Br,AmPhos2PdCl2,AmPhos,,"Brij 35, PhMe",
Negishi_In_Situ,,27.76,0.52,Ar-Br,R-Br,XPhos Pd(crotyl)Cl,XPhos,,"Brij 35, PhMe",
Negishi_In_Situ,,46.96,1.51,Ar-Br,R-Br,XPhos Pd(crotyl)Cl,XPhos,,"Brij 35, PhMe",
Negishi_In_Situ,,7.73,-0.52,Ar-Br,R-Br,"Cu2O, Ni(OAc)2",Me4phen,,"Brij 35, PhMe",TBAI
Fluorination_Oxidative,,3.19,-0.67,Ar-H,Ar-H,,No Ligand,,DMF,water
Suzuki_Miyaura,,0,-1.14,Ar-Cl,RCH2-B(OR)2,dppfPdCl2,dppf,K3PO4,"PhMe, water",TBAB
Suzuki_Miyaura,,45.91,0.4,Ar-Cl,RCH2-B(OR)2,XPhos Pd G2,XPhos,K3PO4,"MeOH, PhMe",
Condensation,,0,-0.44,R-NH2,R-OR,,No Ligand,,DMF,
Negishi,,0.75,-0.56,Ar-Cl,R-Mg,dppfPdCl2,dppf,,PhMe,TBAB
Suzuki_Miyaura,,0,-0.26,Ar-Cl,Ar-Cl,SPhos Pd(crotyl)Cl,SPhos,K3PO4,"MeOH, PhMe",
Negishi,,13.92,-0.25,Ar-Cl,Ar-Cl,AmPhos2PdCl2,AmPhos,,PhMe,Potassium 2-ethylhexanoate
Negishi,,86.45,2.41,Ar-Cl,Ar-Cl,XPhos Pd(crotyl)Cl,XPhos,,MeTHF,Potassium 2-ethylhexanoate
Cn_Coupling,C-N Coupling,5.99,0.36,Ar-Cl,R2CH-NHR,dppf Pd G3,dppf,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,9.9,0.82,Ar-Cl,R2CH-NHR,triisobutylphosphatrane Pd G6,triisobutylphosphatrane,DBU,PhMe,
Cn_Coupling,C-N Coupling,0,-1.97,Ar-Cl,R2CH-NH2,cBridP Pd(allyl)Cl,cBridP,Cs2CO3,PhMe,water
Cn_Coupling,C-N Coupling,55.47,-0.1,Ar-Cl,R2CH-NH2,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,K3PO4,"PhMe, water",
Cn_Coupling,C-N Coupling,50.4,-0.27,Ar-Cl,R2CH-NH2,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,DBU,PhMe,Sodium trifluoroacetate
Chlorination,,0,-1.1,R-Ester,R-Ester,,No Ligand,,"AcOH, water",POCl3
Chlorination,,36.36,0.97,R-Ester,R-Ester,,No Ligand,,xylenes,"TBAC, POCl3"
Cyclization,,0,-0.59,R-Hydrazine,R-CO2H,,No Ligand,pyridine,DMI,PyBrOP
Cyclization,,12.96,0.08,R-Hydrazine,R-CO2H,,No Ligand,DBU,DMI,BOP-Cl
Cn_Coupling,C-N Coupling,32.93,-0.83,Ar-Br,R-NHR,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,64.72,0.23,Ar-Br,R-NHR,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,NaOtBu,Dioxane,
Suzuki_Miyaura,,96.7,1.26,Ar-Cl,Ar-B(OH)2,PPh3)2PdCl2,PPh3,K3PO4,"PhMe, water",MeOH
Addition,,48.25,4.21,R-H-acidic,R-CN,,No Ligand,Zinc acetate,EtOAc,
Negishi_In_Situ,,0,-0.37,Ar-Cl,Ar-Br,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,"Brij 35, PhMe","Octanoic acid, TMSCl"
Negishi_In_Situ,,4.47,-0.54,Ar-Br,Ar-Br,XPhos Pd(crotyl)Cl,XPhos,,"Brij 35, PhMe",water
Negishi_In_Situ,,41.33,1.29,Ar-Br,Ar-Br,AmPhos2PdCl2,AmPhos,,"Brij 35, PhMe",
Suzuki_In_Situ,,1.04,-0.55,Ar-Br,Alkenyl-I,"CuI, dppfPdCl2",dppf,,DMSO,
Suzuki_In_Situ,,5.23,-0.24,Ar-Br,Ar-Br,dtbpfPdCl2,dtbpf,Na2CO3,"anisole, MeOH",
Suzuki_In_Situ,,0,-0.5,Ar-Cl,Ar-Br,AmPhos2PdCl2,AmPhos,,"Brij 35, PhMe","TMEDA, water"
Suzuki_In_Situ,,25.26,2.39,Ar-Cl,Ar-Br,AmPhos2PdCl2,AmPhos,,MeTHF,
Suzuki_Miyaura,,64.46,0.9,Ar-Br,Alkenyl-B(OR)2,dtbpfPdCl2,dtbpf,K3PO4,"MeOH, PhMe",Potassium 2-ethylhexanoate
Hydrolysis,,0,-0.32,Ar-Cl,Ar-Cl,Cu(MeCN)4BF4,BHMPO,K3PO4,"tAmOH, water",benzaldehyde oxime
Cn_Coupling,C-N Coupling,0,-0.74,R2CH-NHR,Ar-Br,rac-BINAP Pd G3,BINAP,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,8.4,-0.33,R2CH-NHR,Ar-Br,RuPhos Pd(crotyl)Cl,RuPhos,KHMDS,PhMe,
Cn_Coupling,C-N Coupling,2.95,-0.6,R2CH-NHR,Ar-Br,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,NaOtBu,PhMe,TBAB
Cn_Coupling,C-N Coupling,0,-0.74,R2CH-NHR,Ar-Br,AlPhosPd G6 Br,AlPhos,DBU,PhMe,Sodium trifluoroacetate
Cn_Coupling,C-N Coupling,24.81,0.48,R2CH-NHR,Ar-Br,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,NaOtBu,"PhMe, tAmOH",Potassium 2-ethylhexanoate
Cn_Coupling,C-N Coupling,66.45,2.53,R2CH-NHR,Ar-Br,cBridP Pd(allyl)Cl,cBridP,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,68.49,2.63,R2CH-NHR,Ar-Br,cBridP Pd(allyl)Cl,cBridP,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,77.59,3.08,R2CH-NHR,Ar-Br,cBridP Pd(allyl)Cl,cBridP,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,77.88,3.09,R2CH-NHR,Ar-Br,cBridP Pd(allyl)Cl,cBridP,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,83.34,3.36,R2CH-NHR,Ar-Br,cBridP Pd(allyl)Cl,cBridP,NaOtBu,PhMe,
