reaction_type,reaction_category,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive
Cn_Coupling,C-N Coupling,0.41,-0.61,Ar-I,Ar-NHR,rac-BINAP Pd G3,BINAP,LiHMDS,PhMe,
Suzuki_Miyaura,,58.02,1.43,Ar-Br,Ar-B(OR)2,AmPhos2PdCl2,AmPhos,K2CO3,"PhMe, water",
Suzuki_Miyaura,,15.03,-0.73,Ar-Br,Ar-BF3K,PPh3)2PdCl2,PPh3,,"PhMe, water",
Suzuki_Miyaura,,79.46,-0.09,Alkenyl-B(OR)2,Ar-Cl,dppfPdCl2,dppf,K3PO4,"Dioxane, water",
Suzuki_Miyaura,,44.03,-0.03,Ar-Br,Ar-B(OH)2,AmPhos2PdCl2,AmPhos,K2CO3,"PhMe, water",
Suzuki_Miyaura,,0,-1.73,Ar-Br,Ar-B(OH)2,dtbpfPdCl2,dtbpf,K3PO4,"tAmOH, water",
Amide_Formation,,9.04,-0.31,R-CO2H,R-NH2,,No Ligand,DBU,MeCN,PyBrOP
Cn_Coupling,C-N Coupling,57.89,2.29,Ar-OSO2R,R-NH2,AlphosPd)2cod,AlPhos,Cs2CO3,PhMe,water
Cn_Coupling,C-N Coupling,2.59,-0.63,Ar-OSO2R,R-NH2,BrettPhos Pd(crotyl)OTf,BrettPhos,Cs2CO3,PhMe,water
Cn_Coupling,C-N Coupling,0,-0.9,R-NH2,Ar-OSO2R,AlphosPd)2cod,AlPhos,Cs2CO3,PhMe,water
Cn_Coupling,C-N Coupling,0.3,-0.89,R-NH2,Ar-OSO2R,BrettPhos Pd(crotyl)OTf,BrettPhos,NaOtBu,PhMe,
Suzuki_Miyaura,,0,-0.33,Ar-Br,Ar-B(OR)2,dppfPdCl2,dppf,K3PO4,"PhMe, water",
Suzuki_Miyaura,,17.28,0.17,Ar-Br,Ar-B(OH)2,dppfPdCl2,dppf,K3PO4,"anisole, water",
Cn_Coupling,C-N Coupling,0,-0.42,Ar-Br,R-NHR,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,water
C_H_Borylation,,0.46,-0.36,Ar-H,Ar-H,[Ir(cod)OMe]2,dtbpy,,cyclohexane,
Cn_Coupling,C-N Coupling,0,-1,AromN-H,Ar-Cl,cBridP Pd(allyl)Cl,cBridP,K3PO4,tAmOH,
Cn_Coupling,C-N Coupling,5.92,0.29,AromN-H,Ar-Cl,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,tAmOH,water
Cn_Coupling,C-N Coupling,0,-0.33,Ar-Br,AromN-H,CuI,Salicylaldoxime,Cs2CO3,PhMe,
Suzuki_Miyaura,,0,-0.54,Ar-B(OR)2,Ar-Br,XPhos Pd G2,XPhos,NaHCO3,PhMe,water
