reaction_id,yield,z_score,reactant_1,reactant_2,reactant_3,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Minisci,76,0.71,Acyl-CO2H,Ar-Br,,,,,,,,AgBF4,,"(4,4'-Di-t-butyl-2,2'-bipyridine)bis[3,5-difluoro-2-[5-trifluoromethyl-2-pyridinyl-kN)phenyl-kC]iridium(III) hexafluorophosphate",MeCN/H2O,False,O=C(O)C(=O)c1ccccc1.Brc1cccc2cnccc12>>O=C(c1ccccc1)c1nccc2c(Br)cccc12,Isoquinoline / Pyridine / Br / COR,"Journal of Organic Chemistry (2019), 84(9), 5067-5077"
Minisci,77,-0.71,Acyl-CO2H,Ar-Ar,,,,,,,,AgBF4,,"(4,4'-Di-t-butyl-2,2'-bipyridine)bis[3,5-difluoro-2-[5-trifluoromethyl-2-pyridinyl-kN)phenyl-kC]iridium(III) hexafluorophosphate",MeCN/H2O,False,O=C(O)C(=O)c1ccccc1.c1ccc(-c2cncc3ccccc23)cc1>>O=C(c1ccccc1)c1ncc(-c2ccccc2)c2ccccc12,Isoquinoline / COR,"Journal of Organic Chemistry (2019), 84(9), 5067-5077"
Minisci,76,0.0,Acyl-CO2H,Ar-Cl,,,,,,,,AgBF4,,"(4,4'-Di-t-butyl-2,2'-bipyridine)bis[3,5-difluoro-2-[5-trifluoromethyl-2-pyridinyl-kN)phenyl-kC]iridium(III) hexafluorophosphate",MeCN/H2O,False,O=C(O)C(=O)c1ccccc1.Clc1ccc(-c2cncc3ccccc23)cc1>>O=C(c1ccccc1)c1ncc(-c2ccc(Cl)cc2)c2ccccc12,Isoquinoline / COR / Cl,"Journal of Organic Chemistry (2019), 84(9), 5067-5077"
Minisci,73,0.0,Acyl-CO2H,Ar-Ar,,,,,,,,AgBF4,,"(4,4'-Di-t-butyl-2,2'-bipyridine)bis[3,5-difluoro-2-[5-trifluoromethyl-2-pyridinyl-kN)phenyl-kC]iridium(III) hexafluorophosphate",MeCN/H2O,False,O=C(O)C(=O)c1ccccc1.CC(C)(C)c1ccc(-c2cncc3ccccc23)cc1>>CC(C)(C)c1ccc(-c2cnc(C(=O)c3ccccc3)c3ccccc23)cc1,Isoquinoline / COR,"Journal of Organic Chemistry (2019), 84(9), 5067-5077"
Minisci,89,0.0,Acyl-CO2H,Ar-F,,,,,,,,AgBF4,,"(4,4'-Di-t-butyl-2,2'-bipyridine)bis[3,5-difluoro-2-[5-trifluoromethyl-2-pyridinyl-kN)phenyl-kC]iridium(III) hexafluorophosphate",MeCN/H2O,False,O=C(O)C(=O)c1ccccc1.Fc1ccc(-c2cncc3ccccc23)c(F)c1>>O=C(c1ccccc1)c1ncc(-c2ccc(F)cc2F)c2ccccc12,Isoquinoline / COR / F,"Journal of Organic Chemistry (2019), 84(9), 5067-5077"
Minisci,73,0.0,Acyl-CO2H,Ar-Alkyl,,,,,,,,AgBF4,,"(4,4'-Di-t-butyl-2,2'-bipyridine)bis[3,5-difluoro-2-[5-trifluoromethyl-2-pyridinyl-kN)phenyl-kC]iridium(III) hexafluorophosphate",MeCN/H2O,False,O=C(O)C(=O)c1ccccc1.c1ccc(CCc2cncc3ccccc23)cc1>>O=C(c1ccccc1)c1ncc(CCc2ccccc2)c2ccccc12,Isoquinoline / COR,"Journal of Organic Chemistry (2019), 84(9), 5067-5077"
Minisci,77,0.0,Acyl-CO2H,Ar-COR,,,,,,,,AgBF4,,"(4,4'-Di-t-butyl-2,2'-bipyridine)bis[3,5-difluoro-2-[5-trifluoromethyl-2-pyridinyl-kN)phenyl-kC]iridium(III) hexafluorophosphate",MeCN/H2O,False,O=C(O)C(=O)c1ccccc1.CC(=O)c1ccc(-c2cncc3ccccc23)cc1>>CC(=O)c1ccc(-c2cnc(C(=O)c3ccccc3)c3ccccc23)cc1,Isoquinoline / COR,"Journal of Organic Chemistry (2019), 84(9), 5067-5077"
Minisci,88,0.71,Ar-H,Acyl-CO2H,,,,,,,,AgBF4,,"(4,4'-Di-t-butyl-2,2'-bipyridine)bis[3,5-difluoro-2-[5-trifluoromethyl-2-pyridinyl-kN)phenyl-kC]iridium(III) hexafluorophosphate",MeCN/H2O,False,c1ccc2c(c1)cnc1ccccc12.O=C(O)C(=O)c1ccccc1>>O=C(c1ccccc1)c1nc2ccccc2c2ccccc12,Isoquinoline / Pyridine / Quinoline / COR,"Journal of Organic Chemistry (2019), 84(9), 5067-5077"
Minisci,79,0.71,Acyl-CO2H,Ar-Ar,,,,,,,,AgBF4,,"(4,4'-Di-t-butyl-2,2'-bipyridine)bis[3,5-difluoro-2-[5-trifluoromethyl-2-pyridinyl-kN)phenyl-kC]iridium(III) hexafluorophosphate",MeCN/H2O,False,O=C(O)C(=O)c1ccccc1.c1ccc2c(-c3cncc4ccccc34)cccc2c1>>O=C(c1ccccc1)c1ncc(-c2cccc3ccccc23)c2ccccc12,Isoquinoline / COR,"Journal of Organic Chemistry (2019), 84(9), 5067-5077"
Minisci,72,-0.71,Ar-Cl,Acyl-CO2H,,,,,,,,AgBF4,,"(4,4'-Di-t-butyl-2,2'-bipyridine)bis[3,5-difluoro-2-[5-trifluoromethyl-2-pyridinyl-kN)phenyl-kC]iridium(III) hexafluorophosphate",MeCN/H2O,False,Clc1ccc2c(Cl)ccnc2c1.O=C(O)C(=O)c1ccccc1>>O=C(c1ccccc1)c1cc(Cl)c2ccc(Cl)cc2n1,Pyridine / Quinoline / COR / Cl,"Journal of Organic Chemistry (2019), 84(9), 5067-5077"
