Reaction_Type_Standardized,Reaction_Key,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Product_Type,Reactant_Types_Key,All_Reactant_Motifs,All_Product_Motifs,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-C=CH2|Any-OR|Ar-C=CH2|Ar-OR|R-OR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-C=CH2|Any-OR|Ar-C=CH2|Ar-OR|R-OR,False,"H-NHR,Any-NH2,Ar-C=CH2,Any-C=CH2","Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","Ar-NHAr,Ar-OR,Any-OR,R-OR,Ar-C=CH2,Any-C=CH2",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-C=CH2|Any-OR|Ar-C=CH2|Ar-OR|R-OR,Any-B(OH)2|Any-C=CH2|Any-NH2|Any-OR|Ar-B(OH)2|Ar-C=CH2|Ar-OR|H-NHR|R-OR,Any-C=CH2|Any-OR|Ar-C=CH2|Ar-NHAr|Ar-OR|R-OR,62.0,C=Cc1ccccc1N.COc1ccc(B(O)O)cc1>>C=Cc1ccccc1Nc1ccc(OC)cc1,Cu(OAc)2,Lutidine,,PhMe,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-Ar|Ar-OR|R-OR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-Ar|Ar-OR|R-OR,False,"Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","Ar-Ar,H-NHR,Any-NH2","Ar-Ar,Ar-NHAr,Ar-OR,Any-OR,R-OR",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-Ar|Ar-OR|R-OR,Any-B(OH)2|Any-NH2|Any-OR|Ar-Ar|Ar-B(OH)2|Ar-OR|H-NHR|R-OR,Any-OR|Ar-Ar|Ar-NHAr|Ar-OR|R-OR,87.0,COc1cccc(B(O)O)c1.Nc1ccc2c(=O)cc(-c3ccccc3)oc2c1>>COc1cccc(Nc2ccc3c(=O)cc(-c4ccccc4)oc3c2)c1,Cu(0),1644565-61-6,Et3N,EDC,,,,-1.3174650984805198
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-Ar|Ar-OR|R-OR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-Ar|Ar-OR|R-OR,False,"Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","Ar-Ar,H-NHR,Any-NH2","Ar-Ar,Ar-NHAr,Ar-OR,Any-OR,R-OR",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-Ar|Ar-OR|R-OR,Any-B(OH)2|Any-NH2|Any-OR|Ar-Ar|Ar-B(OH)2|Ar-OR|H-NHR|R-OR,Any-OR|Ar-Ar|Ar-NHAr|Ar-OR|R-OR,90.0,COc1ccc(B(O)O)cc1.Nc1ccc2c(=O)cc(-c3ccccc3)oc2c1>>COc1ccc(Nc2ccc3c(=O)cc(-c4ccccc4)oc3c2)cc1,Cu(0),1644565-61-6,Et3N,EDC,,,,0.43915503282683993
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Cl|Ar-X|Quinoline,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Cl|Ar-X|Quinoline,False,"H-NHR,Any-NH2,Quinoline","Ar-Cl,Ar-X,Ar-B(OH)2,Any-B(OH)2","Ar-Cl,Ar-X,Ar-NHAr,Quinoline",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Cl|Ar-X|Quinoline,Any-B(OH)2|Any-NH2|Ar-B(OH)2|Ar-Cl|Ar-X|H-NHR|Quinoline,Ar-Cl|Ar-NHAr|Ar-X|Quinoline,84.0,Nc1cccc2cccnc12.OB(O)c1ccc(Cl)cc1>>Clc1ccc(Nc2cccc3cccnc23)cc1,Cu(0),1644565-61-6,Et3N,EDC,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Ar|Ar-Cl|Ar-X,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Ar|Ar-Cl|Ar-X,False,"Ar-Cl,Ar-X,Ar-B(OH)2,Any-B(OH)2","Ar-Ar,H-NHR,Any-NH2","Ar-Ar,Ar-Cl,Ar-X,Ar-NHAr",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Ar|Ar-Cl|Ar-X,Any-B(OH)2|Any-NH2|Ar-Ar|Ar-B(OH)2|Ar-Cl|Ar-X|H-NHR,Ar-Ar|Ar-Cl|Ar-NHAr|Ar-X,80.0,OB(O)c1ccc(Cl)cc1.Nc1ccc2c(=O)cc(-c3ccccc3)oc2c1>>O=c1cc(-c2ccccc2)oc2cc(Nc3ccc(Cl)cc3)ccc12,Cu(0),1644565-61-6,Et3N,EDC,,,,-0.7071067811865475
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-F|Ar-X|Quinoline,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-F|Ar-X|Quinoline,False,"H-NHR,Any-NH2,Quinoline","Ar-F,Ar-X,Ar-B(OH)2,Any-B(OH)2","Ar-F,Ar-X,Ar-NHAr,Quinoline",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-F|Ar-X|Quinoline,Any-B(OH)2|Any-NH2|Ar-B(OH)2|Ar-F|Ar-X|H-NHR|Quinoline,Ar-F|Ar-NHAr|Ar-X|Quinoline,80.0,Nc1cccc2cccnc12.OB(O)c1ccc(F)cc1>>Fc1ccc(Nc2cccc3cccnc23)cc1,Cu(0),1644565-61-6,Et3N,EDC,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-OR|Quinoline|R-OR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-OR|Quinoline|R-OR,False,"H-NHR,Any-NH2,Quinoline","Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","Ar-NHAr,Ar-OR,Any-OR,R-OR,Quinoline",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-OR|Quinoline|R-OR,Any-B(OH)2|Any-NH2|Any-OR|Ar-B(OH)2|Ar-OR|H-NHR|Quinoline|R-OR,Any-OR|Ar-NHAr|Ar-OR|Quinoline|R-OR,88.0,Nc1cccc2cccnc12.COc1cccc(B(O)O)c1>>COc1cccc(Nc2cccc3cccnc23)c1,Cu(0),1644565-61-6,Et3N,EDC,,,,-0.7071067811865475
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Ar|Ar-R,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Ar|Ar-R,False,"Ar-Ar,H-NHR,Any-NH2","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-Ar,Ar-R,Ar-NHAr",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Ar|Ar-R,Any-B(OH)2|Any-NH2|Ar-Ar|Ar-B(OH)2|Ar-R|H-NHR,Ar-Ar|Ar-NHAr|Ar-R,89.0,Nc1ccc2c(=O)cc(-c3ccccc3)oc2c1.Cc1cccc(B(O)O)c1>>Cc1cccc(Nc2ccc3c(=O)cc(-c4ccccc4)oc3c2)c1,Cu(0),1644565-61-6,Et3N,EDC,,,,-0.8660254037844387
Ar-B(OH)2|H-NHR -> Ar-NHAr || Bn-OR|Pyridine,Ar-B(OH)2|H-NHR -> Ar-NHAr || Bn-OR|Pyridine,False,"H-NHR,Any-NH2,Pyridine","Ar-B(OH)2,Any-B(OH)2,Bn-OR","Ar-NHAr,Bn-OR,Pyridine",Ar-B(OH)2|H-NHR -> Ar-NHAr || Bn-OR|Pyridine,Any-B(OH)2|Any-NH2|Ar-B(OH)2|Bn-OR|H-NHR|Pyridine,Ar-NHAr|Bn-OR|Pyridine,88.0,Nc1ccccn1.OB(O)c1ccc(OCc2ccccc2)cc1>>c1ccc(COc2ccc(Nc3ccccn3)cc2)cc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-R|Quinoline,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-R|Quinoline,False,"H-NHR,Any-NH2,Quinoline","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-R,Ar-NHAr,Quinoline",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-R|Quinoline,Any-B(OH)2|Any-NH2|Ar-B(OH)2|Ar-R|H-NHR|Quinoline,Ar-NHAr|Ar-R|Quinoline,90.0,Nc1cccc2cccnc12.Cc1cccc(B(O)O)c1>>Cc1cccc(Nc2cccc3cccnc23)c1,Cu(0),1644565-61-6,Et3N,EDC,,,,-0.7071067811865476
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-OR|Quinoline|R-OR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-OR|Quinoline|R-OR,False,"H-NHR,Any-NH2,Quinoline","Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","Ar-NHAr,Ar-OR,Any-OR,R-OR,Quinoline",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-OR|Quinoline|R-OR,Any-B(OH)2|Any-NH2|Any-OR|Ar-B(OH)2|Ar-OR|H-NHR|Quinoline|R-OR,Any-OR|Ar-NHAr|Ar-OR|Quinoline|R-OR,90.0,Nc1cccc2cccnc12.COc1ccc(B(O)O)cc1>>COc1ccc(Nc2cccc3cccnc23)cc1,Cu(0),1644565-61-6,Et3N,EDC,,,,0.7071067811865475
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|R-OR|RCH2-OR,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|R-OR|RCH2-OR,False,"Ar-B(OH)2,Any-B(OH)2","H-NR2,Any-NHR,RCH2-OR,Any-OR,R-OR","Ar-NR2,Any-NR2,RCH2-OR,Any-OR,R-OR",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|R-OR|RCH2-OR,Any-B(OH)2|Any-NHR|Any-OR|Ar-B(OH)2|H-NR2|R-OR|RCH2-OR,Any-NR2|Any-OR|Ar-NR2|R-OR|RCH2-OR,42.0,OB(O)c1ccccc1.C1COCCN1>>c1ccc(N2CCOCC2)cc1.c1ccc(B2OB(c3ccccc3)OB(c3ccccc3)O2)cc1,7447-39-4,,Py,DCM,,,,-1.2080808993852439
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Any-OR|Ar-OR|R-OR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Any-OR|Ar-OR|R-OR,False,"Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","H-NHR,Any-NH2,Any-CO2R","Ar-NHAr,Ar-OR,Any-OR,R-OR,Any-CO2R",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Any-OR|Ar-OR|R-OR,Any-B(OH)2|Any-CO2R|Any-NH2|Any-OR|Ar-B(OH)2|Ar-OR|H-NHR|R-OR,Any-CO2R|Any-OR|Ar-NHAr|Ar-OR|R-OR,73.0,COc1ccc(B(O)O)cc1.CC(C)(C)OC(=O)n1ncc2cc(N)ccc21>>COc1ccc(Nc2ccc3c(cnn3C(=O)OC(C)(C)C)c2)cc1,Cu(OAc)2,,DIPEA,DMF,,,,-0.13245323570650247
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Any-OR|Ar-OR|R-OR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Any-OR|Ar-OR|R-OR,False,"Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","H-NHR,Any-NH2,Any-CO2R","Ar-NHAr,Ar-OR,Any-OR,R-OR,Any-CO2R",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Any-OR|Ar-OR|R-OR,Any-B(OH)2|Any-CO2R|Any-NH2|Any-OR|Ar-B(OH)2|Ar-OR|H-NHR|R-OR,Any-CO2R|Any-OR|Ar-NHAr|Ar-OR|R-OR,76.0,COc1ccc(B(O)O)cc1.CC(C)(C)OC(=O)n1ncc2c(N)cccc21>>COc1ccc(Nc2cccc3c2cnn3C(=O)OC(C)(C)C)cc1,Cu(OAc)2,,DIPEA,DMF,,,,1.0596258856520369
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CHO|Any-CO2R|Ar-CHO|Ar-CO2R|Thiophene,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CHO|Any-CO2R|Ar-CHO|Ar-CO2R|Thiophene,False,"H-NHR,Any-NH2,Ar-CO2R,Any-CO2R,Thiophene","Ar-B(OH)2,Any-B(OH)2,Ar-CHO,Any-CHO","Ar-CHO,Any-CHO,Ar-NHAr,Ar-CO2R,Any-CO2R,Thiophene",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CHO|Any-CO2R|Ar-CHO|Ar-CO2R|Thiophene,Any-B(OH)2|Any-CHO|Any-CO2R|Any-NH2|Ar-B(OH)2|Ar-CHO|Ar-CO2R|H-NHR|Thiophene,Any-CHO|Any-CO2R|Ar-CHO|Ar-CO2R|Ar-NHAr|Thiophene,52.0,COC(=O)c1ccsc1N.O=Cc1cccc(B(O)O)c1>>COC(=O)c1ccsc1Nc1cccc(C=O)c1,Cu(OAc)2,,Et3N,EDC,,,,-0.7071067811865475
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CHO|Any-CO2R|Ar-CHO|Ar-CO2R|Thiophene,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CHO|Any-CO2R|Ar-CHO|Ar-CO2R|Thiophene,False,"H-NHR,Any-NH2,Ar-CO2R,Any-CO2R,Thiophene","Ar-B(OH)2,Any-B(OH)2,Ar-CHO,Any-CHO","Ar-CHO,Any-CHO,Ar-NHAr,Ar-CO2R,Any-CO2R,Thiophene",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CHO|Any-CO2R|Ar-CHO|Ar-CO2R|Thiophene,Any-B(OH)2|Any-CHO|Any-CO2R|Any-NH2|Ar-B(OH)2|Ar-CHO|Ar-CO2R|H-NHR|Thiophene,Any-CHO|Any-CO2R|Ar-CHO|Ar-CO2R|Ar-NHAr|Thiophene,72.0,COC(=O)c1ccsc1N.O=Cc1ccc(B(O)O)cc1>>COC(=O)c1ccsc1Nc1ccc(C=O)cc1,Cu(OAc)2,,Et3N,EDC,,,,0.7071067811865475
Ar-B(OH)2|H-AromN -> Ar-AromN || None,Ar-B(OH)2|H-AromN -> Ar-AromN || None,False,"Ar-B(OH)2,Any-B(OH)2","H-AromN,AromN-H,Imidazole","Ar-AromN,Any-AromN",Ar-B(OH)2|H-AromN -> Ar-AromN || None,Any-B(OH)2|Ar-B(OH)2|AromN-H|H-AromN|Imidazole,Any-AromN|Ar-AromN,98.0,OB(O)c1ccccc1.c1c[nH]cn1>>c1ccc(-n2ccnc2)cc1,1620815-25-9,,,MeOH,,,,0.7661971594405201
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R,False,"Ar-B(OH)2,Any-B(OH)2","H-NHR,Any-NH2,Any-CO2R","Ar-NHAr,Any-CO2R",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R,Any-B(OH)2|Any-CO2R|Any-NH2|Ar-B(OH)2|H-NHR,Any-CO2R|Ar-NHAr,75.0,OB(O)c1ccccc1.CC(C)(C)OC(=O)n1ncc2cc(N)ccc21>>CC(C)(C)OC(=O)n1ncc2cc(Nc3ccccc3)ccc21,Cu(OAc)2,,DIPEA,DMF,,,,1.1042686641847734
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R,False,"Ar-B(OH)2,Any-B(OH)2","H-NHR,Any-NH2,Any-CO2R","Ar-NHAr,Any-CO2R",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R,Any-B(OH)2|Any-CO2R|Any-NH2|Ar-B(OH)2|H-NHR,Any-CO2R|Ar-NHAr,68.0,OB(O)c1ccccc1.CC(C)(C)OC(=O)n1ncc2c(N)cccc21>>CC(C)(C)OC(=O)n1ncc2c(Nc3ccccc3)cccc21,Cu(OAc)2,,DIPEA,DMF,,,,-0.25982792098465146
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Ar-R,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Ar-R,False,"Ar-R,Ar-B(OH)2,Any-B(OH)2","H-NHR,Any-NH2,Any-CO2R","Ar-R,Ar-NHAr,Any-CO2R",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Ar-R,Any-B(OH)2|Any-CO2R|Any-NH2|Ar-B(OH)2|Ar-R|H-NHR,Any-CO2R|Ar-NHAr|Ar-R,72.0,Cc1ccc(B(O)O)cc1.CC(C)(C)OC(=O)n1ncc2c(N)cccc21>>Cc1ccc(Nc2cccc3c2cnn3C(=O)OC(C)(C)C)cc1,Cu(OAc)2,,DIPEA,DMF,,,,1.1208970766356074
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Ar-CF3|R-OR|RCH2-OR,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Ar-CF3|R-OR|RCH2-OR,False,"H-NR2,Any-NHR,RCH2-OR,Any-OR,R-OR","Ar-CF3,Ar-B(OH)2,Any-B(OH)2","Ar-CF3,Ar-NR2,Any-NR2,RCH2-OR,Any-OR,R-OR",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Ar-CF3|R-OR|RCH2-OR,Any-B(OH)2|Any-NHR|Any-OR|Ar-B(OH)2|Ar-CF3|H-NR2|R-OR|RCH2-OR,Any-NR2|Any-OR|Ar-CF3|Ar-NR2|R-OR|RCH2-OR,50.0,C1COCCN1.OB(O)c1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(N2CCOCC2)cc1,Cu(0),,Py,DCM,,,,0.0
Ar-B(OH)2|H-AromN -> Ar-AromN || Any-CO2R|Ar-Br|Ar-CO2R|Ar-X,Ar-B(OH)2|H-AromN -> Ar-AromN || Any-CO2R|Ar-Br|Ar-CO2R|Ar-X,False,"Ar-B(OH)2,Any-B(OH)2","Ar-Br,Ar-X,Ar-CO2R,Any-CO2R,H-AromN,AromN-H,Pyrrole","Ar-Br,Ar-X,Ar-AromN,Any-AromN,Ar-CO2R,Any-CO2R",Ar-B(OH)2|H-AromN -> Ar-AromN || Any-CO2R|Ar-Br|Ar-CO2R|Ar-X,Any-B(OH)2|Any-CO2R|Ar-B(OH)2|Ar-Br|Ar-CO2R|Ar-X|AromN-H|H-AromN|Pyrrole,Any-AromN|Any-CO2R|Ar-AromN|Ar-Br|Ar-CO2R|Ar-X,45.0,OB(O)c1ccccc1.COC(=O)c1cc(Br)c[nH]1>>COC(=O)c1cc(Br)cn1-c1ccccc1,Cu(OAc)2,,Py,DCM,,,,-1.1547005383792515
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Ar-R|R-OR|RCH2-OR,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Ar-R|R-OR|RCH2-OR,False,"H-NR2,Any-NHR,RCH2-OR,Any-OR,R-OR","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-R,Ar-NR2,Any-NR2,RCH2-OR,Any-OR,R-OR",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Ar-R|R-OR|RCH2-OR,Any-B(OH)2|Any-NHR|Any-OR|Ar-B(OH)2|Ar-R|H-NR2|R-OR|RCH2-OR,Any-NR2|Any-OR|Ar-NR2|Ar-R|R-OR|RCH2-OR,50.0,C1COCCN1.Cc1cccc(B(O)O)c1>>Cc1cccc(N2CCOCC2)c1,Cu(0),,Py,DCM,,,,0.25982792098465285
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Any-Si|Ar-Br|Ar-OTf|Ar-Si|Ar-X|R-OR|RCH2-OR,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Any-Si|Ar-Br|Ar-OTf|Ar-Si|Ar-X|R-OR|RCH2-OR,False,"Ar-Br,Ar-X,Ar-OTf,Ar-B(OH)2,Any-B(OH)2,Ar-Si,Any-Si","H-NR2,Any-NHR,RCH2-OR,Any-OR,R-OR","Ar-Br,Ar-X,Ar-OTf,Ar-Si,Any-Si,Ar-NR2,Any-NR2,RCH2-OR,Any-OR,R-OR",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Any-Si|Ar-Br|Ar-OTf|Ar-Si|Ar-X|R-OR|RCH2-OR,Any-B(OH)2|Any-NHR|Any-OR|Any-Si|Ar-B(OH)2|Ar-Br|Ar-OTf|Ar-Si|Ar-X|H-NR2|R-OR|RCH2-OR,Any-NR2|Any-OR|Any-Si|Ar-Br|Ar-NR2|Ar-OTf|Ar-Si|Ar-X|R-OR|RCH2-OR,72.0,C[Si](C)(C)c1cc(B(O)O)cc(Br)c1OS(=O)(=O)C(F)(F)F.C1COCCN1>>C[Si](C)(C)c1cc(N2CCOCC2)cc(Br)c1OS(=O)(=O)C(F)(F)F,Cu(OAc)2,,,DCM,,,,0.0
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Ar-R|R-OR|RCH2-OR,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Ar-R|R-OR|RCH2-OR,False,"H-NR2,Any-NHR,RCH2-OR,Any-OR,R-OR","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-R,Ar-NR2,Any-NR2,RCH2-OR,Any-OR,R-OR",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Ar-R|R-OR|RCH2-OR,Any-B(OH)2|Any-NHR|Any-OR|Ar-B(OH)2|Ar-R|H-NR2|R-OR|RCH2-OR,Any-NR2|Any-OR|Ar-NR2|Ar-R|R-OR|RCH2-OR,43.0,C1COCCN1.Cc1ccccc1B(O)O>>Cc1ccccc1N1CCOCC1,Cu(0),,Py,DCM,,,,-1.104268664184772
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Any-OR|Ar-OR|R-OR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Any-OR|Ar-OR|R-OR,False,"Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","H-NHR,Any-NH2,Any-CO2R","Ar-NHAr,Ar-OR,Any-OR,R-OR,Any-CO2R",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Any-OR|Ar-OR|R-OR,Any-B(OH)2|Any-CO2R|Any-NH2|Any-OR|Ar-B(OH)2|Ar-OR|H-NHR|R-OR,Any-CO2R|Any-OR|Ar-NHAr|Ar-OR|R-OR,71.0,COc1ccc(B(O)O)cc1.CC(C)(C)OC(=O)n1ncc2ccc(N)cc21>>COc1ccc(Nc2ccc3cnn(C(=O)OC(C)(C)C)c3c2)cc1,Cu(OAc)2,,DIPEA,DMF,,,,-0.9271726499455286
Ar-B(OH)2|H-NR2 -> Ar-NR2 || None,Ar-B(OH)2|H-NR2 -> Ar-NR2 || None,False,"Ar-B(OH)2,Any-B(OH)2","H-NR2,Any-NHR","Ar-NR2,Any-NR2",Ar-B(OH)2|H-NR2 -> Ar-NR2 || None,Any-B(OH)2|Any-NHR|Ar-B(OH)2|H-NR2,Any-NR2|Ar-NR2,57.0,OB(O)c1ccccc1.CCCCNCCCC>>CCCCN(CCCC)c1ccccc1.c1ccc(B2OB(c3ccccc3)OB(c3ccccc3)O2)cc1,Cu(0),,Py,DCM,,,,-0.3925469372104727
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Ar-R|R-OR|RCH2-OR,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Ar-R|R-OR|RCH2-OR,False,"H-NR2,Any-NHR,RCH2-OR,Any-OR,R-OR","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-R,Ar-NR2,Any-NR2,RCH2-OR,Any-OR,R-OR",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Ar-R|R-OR|RCH2-OR,Any-B(OH)2|Any-NHR|Any-OR|Ar-B(OH)2|Ar-R|H-NR2|R-OR|RCH2-OR,Any-NR2|Any-OR|Ar-NR2|Ar-R|R-OR|RCH2-OR,53.0,C1COCCN1.Cc1ccc(B(O)O)cc1>>Cc1ccc(N2CCOCC2)cc1,Cu(0),,Py,DCM,,,,0.8444407432001206
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-SR|Ar-SR|Pyridine|R-SR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-SR|Ar-SR|Pyridine|R-SR,False,"H-NHR,Any-NH2,Pyridine","Ar-B(OH)2,Any-B(OH)2,Ar-SR,Any-SR,R-SR","Ar-SR,Any-SR,R-SR,Ar-NHAr,Pyridine",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-SR|Ar-SR|Pyridine|R-SR,Any-B(OH)2|Any-NH2|Any-SR|Ar-B(OH)2|Ar-SR|H-NHR|Pyridine|R-SR,Any-SR|Ar-NHAr|Ar-SR|Pyridine|R-SR,54.0,Nc1ccccn1.CSc1ccc(B(O)O)cc1>>CSc1ccc(Nc2ccccn2)cc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R,False,"Ar-B(OH)2,Any-B(OH)2","H-NHR,Any-NH2,Any-CO2R","Ar-NHAr,Any-CO2R",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R,Any-B(OH)2|Any-CO2R|Any-NH2|Ar-B(OH)2|H-NHR,Any-CO2R|Ar-NHAr,65.0,OB(O)c1ccccc1.CC(C)(C)OC(=O)n1ncc2ccc(N)cc21>>CC(C)(C)OC(=O)n1ncc2ccc(Nc3ccccc3)cc21,Cu(OAc)2,,DIPEA,DMF,,,,-0.8444407432001193
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|R-OR|RCH2-OR,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|R-OR|RCH2-OR,False,"Ar-B(OH)2,Any-B(OH)2","H-NR2,Any-NHR,RCH2-OR,Any-OR,R-OR","Ar-NR2,Any-NR2,RCH2-OR,Any-OR,R-OR",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|R-OR|RCH2-OR,Any-B(OH)2|Any-NHR|Any-OR|Ar-B(OH)2|H-NR2|R-OR|RCH2-OR,Any-NR2|Any-OR|Ar-NR2|R-OR|RCH2-OR,90.0,OB(O)c1ccccc1.C1COCCN1>>c1ccc(N2CCOCC2)cc1.c1ccc(B2OB(c3ccccc3)OB(c3ccccc3)O2)cc1,Cu(0),,Py,DCM,,,,1.2080808993852439
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Ar-R,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Ar-R,False,"Ar-R,Ar-B(OH)2,Any-B(OH)2","H-NHR,Any-NH2,Any-CO2R","Ar-R,Ar-NHAr,Any-CO2R",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Ar-R,Any-B(OH)2|Any-CO2R|Any-NH2|Ar-B(OH)2|Ar-R|H-NHR,Any-CO2R|Ar-NHAr|Ar-R,69.0,Cc1ccc(B(O)O)cc1.CC(C)(C)OC(=O)n1ncc2ccc(N)cc21>>Cc1ccc(Nc2ccc3cnn(C(=O)OC(C)(C)C)c3c2)cc1,Cu(OAc)2,,DIPEA,DMF,,,,-0.3202563076101765
