reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive,Secondary Solvent,Coupling Reagent,Is_Intramolecular,reaction_smiles
C-O_Coupling,82.0,0.0,RCH2-OH,Ar-Cl,18C6,,KOH,PhMe,,,,False,OCCc1ccccc1.CC(C)(C)c1cc(-c2nnc3cncc(Cl)n23)cc(C(C)(C)C)c1>>CC(C)(C)c1cc(-c2nnc3cncc(OCCc4ccccc4)n23)cc(C(C)(C)C)c1.CC(C)(C)c1cc(-c2nnc3c(OCCc4ccccc4)nccn23)cc(C(C)(C)C)c1
C-O_Coupling,3.0,0.0,CH3-OH,Ar-B(OH)2,Pd(OAc)2,2685837-28-7,KOH,MeOH / THF,,,,False,CO.OB(O)c1ccccc1.Brc1ccccn1>>c1ccncc1.c1ccc(-c2ccccn2)cc1.COc1ccccn1
C-O_Coupling,7.0,0.0,CH3-OH,Ar-B(OH)2,Pd(OAc)2,2685837-28-7,KOH,MeOH / THF,,,,False,CO.OB(O)c1ccccc1.Brc1ccc2ccccc2c1>>c1ccc2ccccc2c1.COc1ccc2ccccc2c1.c1ccc(-c2ccc3ccccc3c2)cc1
C-O_Coupling,6.0,0.0,Ar-OH,Ar-Br,CuI,,Na2CO3 / NaOH,water,,,,False,Oc1cccc(O)c1.CC(=O)Nc1ccc(Br)c(C(=O)O)c1>>CC(=O)Nc1ccc(O)c(C(=O)O)c1.CC(=O)Nc1cccc(C(=O)O)c1.CC(=O)Nc1ccc2c(c1)c(=O)oc1cc(O)ccc12.CC(=O)Nc1ccc(Oc2cccc(O)c2)c(C(=O)O)c1
C-O_Coupling,2.0,-2.314330689301859,Ar-OH,Ar-I,CuI,14547-73-0,Cs2CO3,MeCN,,,,False,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1
C-O_Coupling,2.0,-2.314330689301859,Ar-OH,Ar-I,CuI,90209-83-9,Cs2CO3,MeCN,,,,False,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1
C-O_Coupling,93.0,0.553672513339271,Ar-Cl,Ar-OH,Cu(0),,Potassium Fluoride,DMSO,,,,False,O=[N+]([O-])c1ccc(Cl)cc1.Cc1ccc(O)cc1>>Cc1ccc(Oc2ccccc2[N+](=O)[O-])cc1
C-O_Coupling,70.0,-1.6222142113076254,Ar-I,Ar-OH,CuI,Fe(acac)3,K2CO3,DMSO,,,,False,Ic1ccc(I)cc1.Oc1cccc(I)c1>>Ic1cccc(Oc2cccc(I)c2)c1
C-O_Coupling,2.0,-2.314330689301859,Ar-OH,Ar-I,CuI,879767-00-7,Cs2CO3,MeCN,,,,False,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1
C-O_Coupling,8.0,-2.114286645180897,Ar-OH,Ar-I,CuI,14547-72-9,Cs2CO3,MeCN,,,,False,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1
C-O_Coupling,2.0,-2.314330689301859,Ar-OH,Ar-I,CuI,796068-66-1,Cs2CO3,MeCN,,,,False,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1
C-O_Coupling,8.0,-2.114286645180897,Ar-OH,Ar-I,CuI,61350-00-3,Cs2CO3,MeCN,,,,False,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1
C-O_Coupling,90.0,1.0776318121606494,Ar-OH,Ar-I,7758-89-6,,Cs2CO3,"1,4-Dioxane / NMP",,,,False,C=CCc1ccc(O)c(OC)c1.COc1ccccc1I>>C=CCc1ccc(Oc2ccccc2OC)c(OC)c1.C/C=C/c1ccc(Oc2ccccc2OC)c(OC)c1.C/C=C\c1ccc(Oc2ccccc2OC)c(OC)c1
C-O_Coupling,72.0,0.0,Ar-OH,Ar-Br,Cu(0),,KOH / NaOH,"1,4-Dioxane / EtOAc / water / CHCl3",,,,False,Cc1ccc(O)c(C)c1.CC(=O)c1ccccc1Br>>Cc1ccc(Oc2ccccc2C(=O)CCl)c(C)c1
C-O_Coupling,2.0,0.0,RCH2-OH,Ar-F,TBAB,,NaOH,108-83-8 / water,,,,False,CCO.O=[N+]([O-])c1ccc(F)cc1>>O=[N+]([O-])c1ccc(O)cc1.CCOc1ccc([N+](=O)[O-])cc1
C-O_Coupling,6.0,0.0,H-Acid,Ar-I,NiCl2,103946-54-9,,DMSO,,,,False,O=C(O)/C=C/c1ccccc1.FC(F)(F)c1ccc(I)cc1>>Oc1ccc(C(F)(F)F)cc1.O=C(/C=C/c1ccccc1)Oc1ccc(C(F)(F)F)cc1.O=C(/C=C\c1ccccc1)Oc1ccc(C(F)(F)F)cc1
C-O_Coupling,3.0,0.0,H-Acid,Ar-I,NiCl2,518-47-8,,DMSO,,,,False,O=C(O)/C=C/c1ccccc1.FC(F)(F)c1ccc(I)cc1>>Oc1ccc(C(F)(F)F)cc1.O=C(/C=C/c1ccccc1)Oc1ccc(C(F)(F)F)cc1
C-O_Coupling,83.0,-0.5380875241952098,Ar-OH,Ar-I,7758-89-6,,Cs2CO3,PhMe,,,,False,Cc1cc(C)cc(O)c1.N#Cc1ccc(I)cc1>>Cc1cc(C)cc(Oc2ccc(C#N)cc2)c1
C-O_Coupling,100.0,0.8818298435939337,Ar-OH,Ar-F,111324-04-0,,,DMF,,,,False,COc1ccc(O)cc1.O=[N+]([O-])c1ccc(F)cc1>>COc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1
C-O_Coupling,92.0,0.5301875205380473,Ar-OH,Ar-Cl,Pd(OAc)2,672937-62-1,K3PO4,PhMe,,,,False,Cc1ccccc1O.Cc1ccc(C)c(Cl)c1>>Cc1ccc(C)c(Oc2ccccc2C)c1
C-O_Coupling,78.0,-0.0016946913224626752,Ar-OH,Ar-Cl,Pd(OAc)2,1072087-19-4,NaH,PhMe,,,,False,Cc1ccc(O)c(C(C)(C)C)c1.COc1ccc(Cl)cc1>>COc1ccc(Oc2ccc(C)cc2C(C)(C)C)cc1
C-O_Coupling,99.0,0.9491579957524997,Ar-OH,Ar-Br,CuBr,,Cs2CO3,DMF,,,,False,Oc1ccc(F)cc1.O=[N+]([O-])c1ccc(Br)cc1>>O=[N+]([O-])c1ccc(Oc2ccc(F)cc2)cc1
C-O_Coupling,93.0,0.7468976082112613,Ar-OH,Ar-I,Cu2O,284497-48-9,Cs2CO3,MeCN,,,,False,Cc1cc(C)cc(O)c1.N#Cc1ccc(I)cc1>>Cc1cc(C)cc(Oc2ccc(C#N)cc2)c1
C-O_Coupling,80.0,-0.3760619551912408,Ar-Cl,Ar-OH,K2CO3,PEG-400,,DMF,,,,False,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.O=Cc1ccc(O)cc1>>O=Cc1ccc(Oc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1
C-O_Coupling,78.0,-0.899826972986962,Ar-OH,Ar-Br,7758-89-6,2,Cs2CO3,NMP,,,,False,COc1ccc(O)cc1.COc1ccccc1Br>>COc1ccc(Oc2ccccc2OC)cc1
C-O_Coupling,83.0,0.12464702956850265,Ar-OH,Ar-Br,391684-10-9,,Cs2CO3,PhMe,,,,False,Cc1ccccc1O.Cc1ccc(Br)cc1>>Cc1ccc(Oc2ccccc2C)cc1
C-O_Coupling,87.0,0.3579064057203616,Ar-OH,Ar-F,Pd(OAc)2,,K2CO3,DMF,,,,False,Cc1ccc(O)cc1.Fc1cc(F)c(F)c(F)c1F>>Cc1ccc(Oc2c(F)c(F)cc(F)c2F)cc1
C-O_Coupling,99.0,1.4791557458217706,Ar-OH,Ar-Cl,Pd(OAc)2,cataCXium PIntB,K3PO4,PhMe,,,,False,Cc1ccccc1O.N#Cc1ccc(Cl)cc1>>Cc1ccccc1Oc1ccc(C#N)cc1
C-O_Coupling,93.0,0.5439979634193046,Ar-OH,Ar-Br,12018-79-0,2,Cs2CO3,NMP,,,,False,COc1ccc(O)cc1.N#Cc1ccc(Br)cc1>>COc1ccc(Oc2ccc(C#N)cc2)cc1
C-O_Coupling,85.0,1.0,Ar-Br,Ar-NH2,Pd(OAc)2,cataCXium A,DBU,DMSO,,,,False,Fc1ccc(F)c(Br)c1.Nc1cc(F)ccc1O.[C-]#[O+]>>O=C1Nc2cc(F)ccc2Oc2ccc(F)cc21
C-O_Coupling,90.0,0.8206945344647697,Ar-OH,Ar-Br,26042-64-8,1292836-30-6,Cs2CO3,PhMe / Et3N,,,,False,COc1ccc(O)cc1.COC(=O)c1ccc(Br)cc1>>COC(=O)c1ccc(Oc2ccc(OC)cc2)cc1
