reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Negishi_coupling,81,0.0,Ar-Cl,RCH2-Zn,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,Clc1cccnc1.C[Si](C)(C)[CH2][Zn][Cl]>>C[Si](C)(C)Cc1cccnc1,Pyridine / Si,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,71,-0.71,Ar-Cl,Ar-Zn,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,Clc1ccc2ccccc2c1.Fc1cc[c]([Zn][Cl])cc1>>Fc1ccc(-c2ccc3ccccc3c2)cc1,X / F,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,72,0.0,Ar-Zn,Ar-OTf,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,Cc1cccc[c]1[Zn][Cl].O=S(=O)(Oc1ccc(Br)cc1Cl)C(F)(F)F.CCC[CH2][Zn][Cl]>>CCCCc1ccc(-c2ccccc2C)cc1Cl,X / Cl,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,80,0.0,Ar-Zn,Ar-OTf,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,COc1cccc[c]1[Zn][Cl].O=S(=O)(Oc1ccc(Cl)nc1)C(F)(F)F.[Cl][Zn][CH]1CCCCC1>>COc1ccccc1-c1ccc(C2CCCCC2)nc1,OR / Pyridine,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,71,0.0,Alkyl-Zn,Ar-Br,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,[CH3][Zn][Cl].Clc1nccc2ccc(Br)cc12.[Cl][Zn][CH]1CCCCC1>>Cc1ccc2ccnc(C3CCCCC3)c2c1,Isoquinoline,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,70,0.0,Ar-Zn,Ar-Br,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,[Cl][Zn][c]1cccs1.Clc1nccc2ccc(Br)cc12.CC[CH](C)[Zn][Cl]>>CCC(C)c1nccc2ccc(-c3cccs3)cc12,Thiophene / Isoquinoline,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,78,0.0,Ar-Br,Ar-Zn,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,Clc1cccc(Br)c1.Fc1cc[c]([Zn][Cl])cc1.[Cl][Zn][CH2]c1ccccc1>>Fc1ccc(-c2cccc(Cc3ccccc3)c2)cc1,X / F,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,77,0.0,Ar-Zn,Ar-OTf,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,[Cl][Zn][c]1cccs1.O=S(=O)(Oc1ncc(Cl)cc1Br)C(F)(F)F.CCCC[CH2][Zn][Cl].[Cl][Zn][CH2]c1ccccc1>>CCCCCc1ncc(Cc2ccccc2)cc1-c1cccs1,Thiophene / Pyridine,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,95,0.0,Ar-Cl,Ar-Zn,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,O=[N+]([O-])c1ccc(Cl)cc1.Cc1cccc[c]1[Zn][Cl]>>Cc1ccccc1-c1ccc([N+](=O)[O-])cc1,NO2 / NR2,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
Negishi_coupling,78,0.0,R2CH-Zn,Ar-OTf,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF/NMP,False,[Cl][Zn][CH]1CC1.O=[N+]([O-])c1cc(OS(=O)(=O)C(F)(F)F)ccc1Cl.COc1cc[c]([Zn][Cl])cc1>>COc1ccc(-c2ccc(C3CC3)cc2[N+](=O)[O-])cc1,NO2 / NR2 / OR,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
