material_id,condition_group_id,centroid_similarity,assignment_margin,assignment_status,observation_count,exact_recipe_id_count,condition_display,parse_warnings
CMAT1:00906741f1bdf99be039f9cb97c25ba1b6cd2cd8053713bd326e551d1863d27e,CGPOC1:dfdf0e268de656417e9e0d0cbda8c92340b70d8009fc4b6c427aa1d66627f200,0.953875,0.072407,supported,1,1,"K2CO3, KOPiv [base]; XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand]; DMI [solvent]",
CMAT1:00911d74cc7dd3cf648026283d7da179f071df0c1b4c0e05abdb0089e8ba430c,CGPOC1:f162f5a5cf88258b1dd75d3925fdeeba8aa798257baf4bc82287c4605be539fa,0.890755,0.073472,provisional,1,1,ZnBr2 [additive]; DIPEA [base]; DMF [solvent]; No ligand,
CMAT1:009247c77cce672f822464c49e25838112abb71691bbc1cc225e22cd5b8a064e,CGPOC1:3dca00745aac2793f7abbf379b77e1fb0c666c875ad154b1a295d105bc6c1f75,0.961794,0.064202,supported,1,1,Octanoic acid [additive]; XPhos Pd(crotyl)Cl [catalyst]; XPhos [ligand]; 1-Octanol [solvent]; Brij 35 [solvent]; water [solvent],
CMAT1:009457d71ff6504c6ca741d0fcce393de124f9ecc8e587b460feb4703dd2a0b3,CGPOC1:b5032b90344679317f702338db7756ae5508cae29df6928fb196192242c87e20,0.757767,0.072086,review,2,1,"Potassium 2-ethylhexanoate, TBAC [additive]; K2CO3 [base]; XantPhos Pd G2 [catalyst]; XantPhos [ligand]; DMAc [solvent]; water [solvent]",
CMAT1:0095b3b7e5993d166feb3ae8c0b434a844e3bc871219bd5c63e68a350ebb93d4,CGPOC1:d0b982b6da53929f646cfffce9e659da6fab8872d71e0f694c6943e591fc7223,0.955152,0.120963,supported,1,1,K3PO4 [base]; (R)-BINAP Pd(allyl)Cl [catalyst]; BINAP [ligand]; o-Xylene [solvent]; water [solvent],
CMAT1:0096b2c5f66d5507cd353442acc4769ac2f6858682878144e55883c80eadd412,CGPOC1:dabe285932586f5763dcadd7cd61c7a7a0c423bd96cb971a32e18512c82f616e,0.929514,0.070189,supported,1,1,TBAB [additive]; Na2CO3 [base]; meCgPPh Pd G3 [catalyst]; meCgPPh [ligand]; MeOH [solvent]; water [solvent],
CMAT1:0098eeb1833f047fa22f6e893d12db595d000756291e82b963208dc501585603,CGPOC1:c2bbf024c69a0adc7b0637932d5cdc55ebea6124b65e308460d26751c4c61321,0.887072,0.091652,provisional,2,2,Brij 35 [additive]; KOH [base]; (CyMPhos)PdCl2 [catalyst]; CyMPhos [ligand]; PhMe [solvent]; water [solvent],
CMAT1:009c1189e484301006430096549858dd35294c8b0f5de566915ff60c3d91809f,CGPOC1:e26a207071de017717710d40a5770248ddaebd2d2d1cc0c95eb7ac486bb700aa,0.972748,0.192109,supported,10,3,MeTHF [solvent]; No ligand,
CMAT1:00a02911f650971b07f129ecbdf13aa943fcc3fda5c5db331734d31f91979a79,CGPOC1:9f47e626ad55c207e03b4dc3caa1cef076a7978477812167cd9906c36df44388,0.870538,0.021915,provisional,1,1,water [additive]; Na2CO3 [base]; CataCXiumA Pd(allyl)Cl [catalyst]; CataCXiumA [ligand]; tAmOH [solvent]; water [solvent],
CMAT1:00a151cb05091514349a8f84c48bd8cdb19714a70b1f27731acf419c9953cc0c,CGPOC1:1ddfcf4a4fda9e1422429971b6ad0f21d85c33c6fadf050a2390363fcca26d35,0.907379,0.056454,supported,1,1,KOH [base]; (DiMeIHept Cl) Pd(cinnamyl)Cl [catalyst]; DiMeIHept Cl [ligand]; THF [solvent],
