reaction_smiles,detected_reaction_type,reaction_key
CC1(C)OB(c2ccc(C(=O)O)cc2)OC1(C)C>>CC1(C)OB(c2ccc(C(=O)Cl)cc2)OC1(C)C,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Bpin
Cc1nc(C(F)(F)F)ccc1C(=O)O>>Cc1nc(C(F)(F)F)ccc1C(=O)Cl,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkyl|Ar-CF3|HeteroAr-H|Pyridine
O=C(O)CCN1C(=O)C=CC1=O>>O=C(Cl)CCN1C(=O)C=CC1=O,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Alkenyl-CONR2|Alkyl-NRCOR|R_acidic-H
O=C(O)CCCNC(=O)c1cccc(O)c1>>O=C(Cl)CCCNC(=O)c1cccc(O)c1,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Alkyl-NHCOR|Ar-CONHR|Ar-OH|R_acidic-H
CC(=O)Oc1ccccc1C(=O)NCCCC(=O)O>>CC(=O)Oc1ccccc1C(=O)NCCCC(=O)Cl,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Alkyl-CO2R|Alkyl-NHCOR|Ar-CONHR|R_acidic-H
CC(=O)Oc1cccc(C(=O)NCCCC(=O)O)c1>>CC(=O)Oc1cccc(C(=O)NCCCC(=O)Cl)c1,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Alkyl-CO2R|Alkyl-NHCOR|Ar-CONHR|R_acidic-H
Cc1cc(F)c(C(=O)O)[nH]1>>Cc1cc(F)c(C(=O)Cl)[nH]1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkyl|AromN-H|HeteroAr-F|HeteroAr-H|Pyrrole
N#Cc1ccc(C(=O)O)cc1>>N#Cc1ccc(C(=O)F)cc1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-CN
C#CCCCCCCCCC(=O)O>>C#CCCCCCCCCC(=O)F,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Alkyl-Alkynyl_terminal|Propargyl-H|R_acidic-H
O=C(O)C1COc2ccccc2O1>>O=C(F)C1COc2ccccc2O1,Acyl_Halides_formation,|R2CH-CO2H -> Alkyl-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-OR|R_acidic-H
O=C(O)CCCCCCCCCCN1C(=O)c2ccccc2C1=O>>O=C(Cl)CCCCCCCCCCN1C(=O)c2ccccc2C1=O,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Alkyl-NRCOR|Ar-CONR2|R_acidic-H
O=C(O)CCCCCCCCCCCCCCN1C(=O)c2ccccc2C1=O>>O=C(Cl)CCCCCCCCCCCCCCN1C(=O)c2ccccc2C1=O,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Alkyl-NRCOR|Ar-CONR2|R_acidic-H
O=C(O)CCCCCCCCCCCN1C(=O)c2ccccc2C1=O>>O=C(Cl)CCCCCCCCCCCN1C(=O)c2ccccc2C1=O,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Alkyl-NRCOR|Ar-CONR2|R_acidic-H
O=Cc1cccc(CC(=O)O)c1>>O=Cc1cccc(CC(=O)Cl)c1,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkyl|Ar-CHO|R_acidic-H
O=C(O)C/C=C/c1ccccc1>>O=C(F)C/C=C/c1ccccc1,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-Alkenyl|R_acidic-H
