Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-Cl|Ar-OH -> Ar-OR || Ar-CN|Ar-OR,False,"Ar-OH,Ar-OR","Ar-Cl,Ar-CN","Ar-Cl,Ar-CN|Ar-OH,Ar-OR",84.0,COc1ccc(O)cc1.N#Cc1ccc(Cl)cc1>>COc1ccc(Oc2ccc(C#N)cc2)cc1,Cu(0),107-95-9,Cs2CO3,DMSO,,,,0.28116611963207677
Ar-Br|Ar-OH -> Ar-OR || Ar-F|Ar-NR2,False,"Ar-F,Ar-OH","Ar-Br,Ar-NR2","Ar-Br,Ar-NR2|Ar-F,Ar-OH",79.0,Oc1ccc(F)cc1.CN(C)c1ccc(Br)cc1>>CN(C)c1ccc(Oc2ccc(F)cc2)cc1,7758-89-6,2,Cs2CO3,NMP,,,,0.0
Ar-Cl|Ar-OH -> Ar-OR || Ar-CN|Ar-R,False,"Ar-R,Ar-OH","Ar-Cl,Ar-CN","Ar-Cl,Ar-CN|Ar-R,Ar-OH",90.0,Cc1ccc(O)cc1.N#Cc1ccc(Cl)cc1>>Cc1ccc(Oc2ccc(C#N)cc2)cc1,Palladium,1314-13-2,K2CO3,,,,,0.4047177203058647
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH",73.0,Cc1ccc(O)cc1.COc1ccc(I)cc1>>COc1ccc(Oc2ccc(C)cc2)cc1,CuI,phen,Potassium Fluoride,DMSO,,,,0.2938296141094204
Ar-I|Ar-OH -> Ar-OR || Ar-CF3|Ar-OR|Ar-R,False,"Ar-I,Ar-CF3","Ar-R,Ar-OH,Ar-OR","Ar-I,Ar-CF3|Ar-R,Ar-OH,Ar-OR",75.0,FC(F)(F)c1ccccc1I.CCCCCCc1ccc(O)c(OC)c1>>CCCCCCc1ccc(Oc2ccccc2C(F)(F)F)c(OC)c1,42152-46-5,,Cs2CO3,PhMe / EtOAc,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-COR|Ar-NH2|Ar-OH|Ar-OR,False,"Ar-Br,Ar-COR,Ar-NH2,Ar-OH","Ar-OH,Ar-OR","Ar-Br,Ar-COR,Ar-NH2,Ar-OH|Ar-OH,Ar-OR",90.0,Nc1c(Br)cc(O)c2c1C(=O)c1ccccc1C2=O.COc1ccc(O)cc1>>COc1ccc(Oc2cc(O)c3c(c2N)C(=O)c2ccccc2C3=O)cc1,KOH,,,PhNO2 / PhCl,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-Br,Ar-OR","Ar-Br,Ar-OR|Ar-R,Ar-OH",70.0,Cc1ccccc1O.COc1ccc(Br)cc1>>COc1ccc(Oc2ccccc2C)cc1,CuI,1534-21-0,K3PO4,MeCN,,,,-1.477621437675962
Ar-I|Ar-OH -> Ar-OR || Ar-F|Ar-R|RCH2-OH,False,"Ar-I,Ar-F","Ar-R,Ar-OH,RCH2-OH","Ar-I,Ar-F|Ar-R,Ar-OH,RCH2-OH",79.0,Fc1ccc(I)cc1.OCCc1ccc(O)cc1>>OCCc1ccc(Oc2ccc(F)cc2)cc1,CuI,98-98-6,K3PO4,DMSO,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-OR,False,"Ar-Br,Ar-OR","Ar-OH,Ar-OR","Ar-Br,Ar-OR|Ar-OH,Ar-OR",71.0,COc1ccc(Br)cc1.COc1ccc(O)cc1>>COc1ccc(Oc2ccc(OC)cc2)cc1,CuI,5445-55-6,Cs2CO3,MeCN,,,,-1.833655043309203
Ar-Br|Ar-CHO|Ar-OH|Bn-CN|R-H-acidic -> Alkenyl-CN|Ar-Alkenyl|Ar-OR || Ar-Br|Ar-OR,False,"Ar-Br,Ar-CHO,Ar-OR","R-H-acidic,Ar-Br,Ar-OH,Bn-CN","Ar-Br,Ar-CHO,Ar-OR|R-H-acidic,Ar-Br,Ar-OH,Bn-CN",86.0,COc1ccc(Br)c(C=O)c1.N#CCc1cc(Br)ccc1O>>COc1ccc2c(c1)C=C(C#N)c1cc(Br)ccc1O2,CuI,,Cs2CO3,DMF,,,,0.0
Ar-Br|Ar-F|Ar-NH2|Ar-OH -> Ar-CONHR|Ar-LactamN|Ar-OR || Ar-F,False,"Ar-Br,Ar-F","Ar-F,Ar-NH2,Ar-OH","Ar-Br,Ar-F|Ar-F,Ar-NH2,Ar-OH",79.0,Fc1ccc(Br)c(F)c1.Nc1cc(F)ccc1O.[C-]#[O+]>>O=C1Nc2cc(F)ccc2Oc2cc(F)ccc21,Pd(OAc)2,cataCXium A,DBU,DMSO,,,,-0.7071067811865476
Ar-F|Ar-OH -> Ar-OR || Ar-Cl|Ar-NO2,False,"Ar-Cl,Ar-OH","Ar-F,Ar-NO2","Ar-Cl,Ar-OH|Ar-F,Ar-NO2",92.0,Oc1ccc(Cl)cc1Cl.O=[N+]([O-])c1ccc(F)cc1>>O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,Potassium Fluoride,,,DMSO,,,,-0.24420530810094307
Ar-Br|Ar-OH -> Ar-OR || Ar-CHO|Ar-CO2R|Ar-OR,False,"Ar-Br,Ar-CO2R","Ar-CHO,Ar-OH,Ar-OR","Ar-Br,Ar-CO2R|Ar-CHO,Ar-OH,Ar-OR",79.0,COC(=O)c1ccc(Br)cc1.COc1ccc(C=O)cc1O>>COC(=O)c1ccc(Oc2cc(C=O)ccc2OC)cc1,CuO,,K2CO3,Py,,,,0.9072647087265558
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH",99.0,Cc1ccc(O)cc1.COc1cccc(I)c1>>COc1cccc(Oc2ccc(C)cc2)c1,CuI,5445-55-6,Cs2CO3,MeCN,,,,1.0445388016028527
Ar-Br|Ar-CHO|Ar-OH|Bn-CN|R-H-acidic -> Alkenyl-CN|Ar-Alkenyl|Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-Br,Ar-CHO","R-H-acidic,Ar-OH,Ar-OR,Bn-CN","Ar-R,Ar-Br,Ar-CHO|R-H-acidic,Ar-OH,Ar-OR,Bn-CN",80.0,Cc1ccc(C=O)c(Br)c1.COc1cccc(CC#N)c1O>>COc1cccc2c1Oc1cc(C)ccc1C=C2C#N,CuI,,Cs2CO3,DMF,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-CHO|Ar-CO2R|Ar-OR,False,"Ar-Br,Ar-CHO","Ar-OH,Ar-OR,Ar-CO2R","Ar-Br,Ar-CHO|Ar-OH,Ar-OR,Ar-CO2R",76.0,O=Cc1ccc(Br)cc1.COC(=O)c1ccc(OC)c(O)c1>>COC(=O)c1ccc(OC)c(Oc2ccc(C=O)cc2)c1,CuO,,K2CO3,Py,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-COR|Ar-OR|R-H-acidic,False,"R-H-acidic,Ar-Br,Ar-COR","Ar-OH,Ar-OR","Ar-OH,Ar-OR|R-H-acidic,Ar-Br,Ar-COR",90.0,CC(=O)c1ccc(Br)cc1.COc1ccc(O)cc1>>COc1ccc(Oc2ccc(C(C)=O)cc2)cc1,CuI,100-97-0,K3PO4,DMF,,,,0.19533750319831825
Ar-F|Ar-OH -> Ar-OR || Ar-NO2|Ar-OR|Bn-OH,False,"Ar-F,Ar-NO2","Ar-OH,Ar-OR,Bn-OH","Ar-F,Ar-NO2|Ar-OH,Ar-OR,Bn-OH",84.0,O=[N+]([O-])c1ccc(F)cc1.COc1cc(CO)ccc1O>>COc1cc(CO)ccc1Oc1ccc([N+](=O)[O-])cc1,18C6,,K2CO3,DMF,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-NO2|Ar-R,False,"Ar-R,Ar-OH","Ar-Br,Ar-NO2","Ar-Br,Ar-NO2|Ar-R,Ar-OH",86.0,Cc1ccc(O)cc1.O=[N+]([O-])c1ccc(Br)cc1>>Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,CuI,20915-45-1,K3PO4,PhMe,,,,-0.42908108473563566
Ar-Cl|Ar-OH -> Ar-OR || Ar-CO2H|Ar-R|R-H-acidic|RCH2-CO2H,False,"Ar-R,Ar-OH,Ar-CO2H","R-H-acidic,Ar-R,Ar-Cl,RCH2-CO2H","Ar-R,Ar-OH,Ar-CO2H|R-H-acidic,Ar-R,Ar-Cl,RCH2-CO2H",79.0,Cc1ccc(C(=O)O)c(O)c1C.O=C(O)Cc1ccccc1Cl>>Cc1ccc(C(=O)O)c(Oc2ccccc2CC(=O)O)c1C,TBAB,KI,K2CO3,DMF / water,HOAc,,,0.0
Ar-F|Ar-OH -> Ar-OR || Ar-CN|Ar-R,False,"Ar-R,Ar-OH","Ar-F,Ar-CN","Ar-F,Ar-CN|Ar-R,Ar-OH",83.0,CC(C)(C)c1ccccc1O.N#Cc1ccccc1F>>CC(C)(C)c1ccccc1Oc1ccccc1C#N,1344-28-1,Potassium Fluoride,,MeCN,,,,-0.05555555555555555
Ar-I|Ar-OH -> Ar-OR || Ar-COR|Ar-Cl|R-H-acidic,False,"Ar-Cl,Ar-OH","R-H-acidic,Ar-I,Ar-COR","Ar-Cl,Ar-OH|R-H-acidic,Ar-I,Ar-COR",93.0,Oc1ccc(Cl)cc1.CC(=O)c1ccc(I)cc1>>CC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1,42152-46-5,,Cs2CO3,PhMe / EtOAc,,,,0.7071067811865475
Ar-F|Ar-OH -> Ar-OR || Ar-F|Ar-NO2,False,"Ar-F,Ar-NO2","Ar-F,Ar-NO2,Ar-OH","Ar-F,Ar-NO2|Ar-F,Ar-NO2,Ar-OH",86.0,O=[N+]([O-])c1ccc(F)cc1F.O=[N+]([O-])c1ccc(F)cc1O>>O=[N+]([O-])c1ccc(Oc2cc(F)ccc2[N+](=O)[O-])cc1F,1344-28-1,,K2CO3,,,,,0.0
Ar-Cl|Ar-OH -> Ar-OR || Ar-NO2|Ar-OR,False,"Ar-Cl,Ar-NO2","Ar-OH,Ar-OR","Ar-Cl,Ar-NO2|Ar-OH,Ar-OR",91.0,O=[N+]([O-])c1ccc(Cl)cc1.COc1ccc(O)cc1>>COc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,1317-61-9,,K2CO3,DMF,,,,0.33904214406604627
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-OH,Ar-OR","Ar-R,Ar-I","Ar-OH,Ar-OR|Ar-R,Ar-I",92.0,COc1ccccc1O.Cc1ccc(I)cc1>>COc1ccccc1Oc1ccc(C)cc1,CuI,98-98-6,K3PO4,DMSO,,,,0.5858935828922631
Ar-Br|Ar-OH -> Ar-OR || Ar-R|R-CONHR|R-Carbamate_NH|R-F|R-H-acidic|R2CH-CO2R|R2CH-NHBoc,False,"R-H-acidic,Ar-R,Ar-OH,R2CH-CO2R,R-Carbamate_NH","R-H-acidic,Ar-R,Ar-Br,R2CH-CO2R,R2CH-NHBoc,R-F,R-CONHR","R-H-acidic,Ar-R,Ar-Br,R2CH-CO2R,R2CH-NHBoc,R-F,R-CONHR|R-H-acidic,Ar-R,Ar-OH,R2CH-CO2R,R-Carbamate_NH",80.0,COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OCc1ccccc1.COC(=O)[C@H](Cc1ccc(NC(=O)C(F)(F)F)c(Br)c1)NC(=O)OC(C)(C)C>>COC(=O)[C@H](Cc1ccc(Oc2cc(C[C@H](NC(=O)OC(C)(C)C)C(=O)OC)ccc2NC(=O)C(F)(F)F)cc1)NC(=O)OCc1ccccc1,CuI,N,Cs2CO3,"1,4-Dioxane",,,,0.0
Ar-I|Ar-OH -> Ar-OR || Ar-OR,False,"Ar-OH,Ar-OR","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-OH,Ar-OR",100.0,COc1ccc(O)cc1.COc1ccc(I)cc1>>COc1ccc(Oc2ccc(OC)cc2)cc1,Cu(0),,Cs2CO3,DMAc,,,,1.8261860616437946
Ar-I -> Ar-NHR|Ar-NO2|Ar-OR || Ar-NH2|Ar-NO2|Ar-OH,False,"Ar-NH2,Ar-OH","Ar-I,Ar-NO2","Ar-I,Ar-NO2|Ar-NH2,Ar-OH",0.0,Nc1ccccc1O.O=[N+]([O-])c1ccc(I)cc1>>Nc1ccccc1Oc1ccc([N+](=O)[O-])cc1.O=[N+]([O-])c1ccc(Nc2ccccc2O)cc1,CuI,,K3PO4,DMF / water,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-CF3|Ar-R,False,"Ar-R,Ar-OH","Ar-Br,Ar-CF3","Ar-Br,Ar-CF3|Ar-R,Ar-OH",81.0,Cc1cccc(O)c1.FC(F)(F)c1cccc(Br)c1>>Cc1cccc(Oc2cccc(C(F)(F)F)c2)c1,Cu(0),,Cs2CO3,DMF,,,,-0.3707256493614329
Ar-F|Ar-OH -> Ar-OR || Ar-NO2|Ar-R,False,"Ar-R,Ar-OH","Ar-F,Ar-NO2","Ar-F,Ar-NO2|Ar-R,Ar-OH",90.0,Cc1ccccc1O.O=[N+]([O-])c1ccccc1F>>Cc1ccccc1Oc1ccccc1[N+](=O)[O-],5137-55-3,,Potassium Fluoride,,,,,-0.008333333333334634
Ar-Cl|Ar-OH -> Ar-OR || Ar-CHO|Ar-CN,False,"Ar-Cl,Ar-CHO","Ar-CN,Ar-OH","Ar-CN,Ar-OH|Ar-Cl,Ar-CHO",87.0,O=Cc1ccccc1Cl.N#Cc1cccc(O)c1>>N#Cc1cccc(Oc2ccccc2C=O)c1,CuBr,L-Proline,K3PO4,DMF,,,,0.0
Ar-F|Ar-OH -> Ar-OR || Ar-COR|Ar-NO2|Ar-R|R-H-acidic,False,"R-H-acidic,Ar-COR,Ar-OH","Ar-R,Ar-F,Ar-NO2","Ar-R,Ar-F,Ar-NO2|R-H-acidic,Ar-COR,Ar-OH",87.0,CC(=O)c1ccc(O)cc1.Cc1ccc([N+](=O)[O-])c(F)c1>>CC(=O)c1ccc(Oc2cc(C)ccc2[N+](=O)[O-])cc1,1344-28-1,,K2CO3,,,,,0.0
Ar-I|Ar-OH -> Ar-OR || Ar-Br|Ar-OR,False,"Ar-OH,Ar-OR","Ar-Br,Ar-I","Ar-Br,Ar-I|Ar-OH,Ar-OR",80.0,COc1ccc(O)cc1.Brc1ccc(I)cc1>>COc1ccc(Oc2ccc(Br)cc2)cc1,CuSO4,134-03-2,Cs2CO3,DMSO,,,,0.34279147481207356
Ar-Br|Ar-OH -> Ar-OR || Ar-NO2|Ar-R,False,"Ar-R,Ar-OH","Ar-Br,Ar-NO2","Ar-Br,Ar-NO2|Ar-R,Ar-OH",84.0,Cc1cc(C)cc(O)c1.O=[N+]([O-])c1ccc(Br)cc1>>Cc1cc(C)cc(Oc2ccc([N+](=O)[O-])cc2)c1,CuI,284497-48-9,K3PO4,MeCN,,,,-0.6926594653589548
Ar-Br|Ar-OH -> Ar-OR || Ar-COR|Ar-R,False,"Ar-Br,Ar-COR","Ar-R,Ar-OH","Ar-Br,Ar-COR|Ar-R,Ar-OH",95.0,O=C(c1ccccc1)c1ccc(Br)cc1.CC(C)(C)c1ccc(O)cc1>>CC(C)(C)c1ccc(Oc2ccc(C(=O)c3ccccc3)cc2)cc1,3251-23-8,7440-44-0,Cs2CO3,"1,4-Dioxane",,,,0.0
Ar-Cl|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-Cl","Ar-OH,Ar-OR","Ar-OH,Ar-OR|Ar-R,Ar-Cl",99.0,Cc1ccc(Cl)cc1.COc1ccc(O)cc1>>COc1ccc(Oc2ccc(C)cc2)cc1,11129-27-4,2,Cs2CO3,DMF,,,,1.3729886813869392
Ar-Br|Ar-OH -> Ar-OR || Ar-CHO|Ar-CO2R|Ar-OR,False,"Ar-Br,Ar-CO2R","Ar-CHO,Ar-OH,Ar-OR","Ar-Br,Ar-CO2R|Ar-CHO,Ar-OH,Ar-OR",76.0,COC(=O)c1ccc(Br)cc1.COc1ccc(C=O)cc1O>>COC(=O)c1ccc(Oc2cc(C=O)ccc2OC)cc1,CuO,,K2CO3,Py,,,,0.16495721976846567
Ar-Br|Ar-OH -> Ar-OR || Ar-OR,False,"Ar-Br,Ar-OR","Ar-OH,Ar-OR","Ar-Br,Ar-OR|Ar-OH,Ar-OR",85.0,COc1ccc(Br)cc1.COc1ccc(O)cc1>>COc1ccc(Oc2ccc(OC)cc2)cc1,7758-89-6,2,Cs2CO3,NMP,,,,0.34597264968098285
Ar-Br|Ar-OH -> Ar-OR || Ar-COR|Ar-R|R-H-acidic,False,"Ar-R,Ar-OH","R-H-acidic,Ar-Br,Ar-COR","Ar-R,Ar-OH|R-H-acidic,Ar-Br,Ar-COR",88.0,Cc1ccccc1O.CC(=O)c1ccc(Br)cc1>>CC(=O)c1ccc(Oc2ccccc2C)cc1,Pd(OAc)2,1138156-48-5,K3PO4,PhMe,,,,0.14540495378838983
Ar-F|Ar-OH -> Ar-OR || Ar-NO2|Ar-R,False,"Ar-R,Ar-OH","Ar-F,Ar-NO2","Ar-F,Ar-NO2|Ar-R,Ar-OH",93.0,CC(C)(C)c1ccc(O)cc1.O=[N+]([O-])c1ccc(F)cc1>>CC(C)(C)c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,Potassium Fluoride,,,DMSO,,,,0.6166666666666653
Ar-Br|Ar-OH -> Ar-OR || Ar-CN|Ar-R,False,"Ar-R,Ar-OH","Ar-Br,Ar-CN","Ar-Br,Ar-CN|Ar-R,Ar-OH",92.0,Cc1ccc(O)cc1.N#Cc1ccc(Br)cc1>>Cc1ccc(Oc2ccc(C#N)cc2)cc1,Palladium,1314-13-2,K2CO3,,,,,0.5348718810412629
Ar-Br|Ar-OH -> Ar-OR || Ar-Cl|Ar-R,False,"Ar-Cl,Ar-Br","Ar-R,Ar-OH","Ar-Cl,Ar-Br|Ar-R,Ar-OH",84.0,Clc1ccc(Br)cc1.Cc1cccc(O)c1>>Cc1cccc(Oc2ccc(Cl)cc2)c1,CuI,2,Cs2CO3,DMF,,,,-0.9884828522645775
Ar-Br|Ar-CHO|Ar-OH|Bn-CN|R-H-acidic -> Alkenyl-CN|Ar-Alkenyl|Ar-OR || Ar-Cl|Ar-OR,False,"R-H-acidic,Ar-OH,Ar-OR,Bn-CN","Ar-Cl,Ar-Br,Ar-CHO","Ar-Cl,Ar-Br,Ar-CHO|R-H-acidic,Ar-OH,Ar-OR,Bn-CN",97.0,COc1cccc(CC#N)c1O.O=Cc1cc(Cl)ccc1Br>>COc1cccc2c1Oc1ccc(Cl)cc1C=C2C#N,CuI,,Cs2CO3,DMF,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-NO2|Ar-R,False,"Ar-R,Ar-OH","Ar-Br,Ar-NO2","Ar-Br,Ar-NO2|Ar-R,Ar-OH",95.0,Cc1ccc(O)cc1.O=[N+]([O-])c1ccccc1Br>>Cc1ccc(Oc2ccccc2[N+](=O)[O-])cc1,1121-60-4,7447-39-4,Cs2CO3,EtOH,,,,0.7570216280693005
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH",78.0,Cc1ccc(O)cc1C.COc1ccc(I)cc1>>COc1ccc(Oc2ccc(C)c(C)c2)cc1,859829-85-9,,Cs2CO3,PhMe,,,,0.43819676555046505
Ar-I|Ar-OH -> Ar-OR || Ar-R,False,"Ar-R,Ar-OH","Ar-R,Ar-I","Ar-R,Ar-I|Ar-R,Ar-OH",72.0,Cc1ccc(O)cc1.Cc1ccccc1I>>Cc1ccc(Oc2ccccc2C)cc1,CuI,100-97-0,K3PO4,DMF,,,,-1.5567027186493712
Ar-Br|Ar-OH -> Ar-OR || Ar-CHO,False,"Ar-CHO,Ar-OH","Ar-Br,Ar-CHO","Ar-Br,Ar-CHO|Ar-CHO,Ar-OH",82.0,O=Cc1ccc(O)cc1.O=Cc1ccc(Br)cc1>>O=Cc1ccc(Oc2ccc(C=O)cc2)cc1,CuI,2491-06-7,Cs2CO3,DMF,,,,0.0
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R|R-H-acidic|R2CH-CO2R|R2CH-NHR|R3C-NHR,False,"Ar-OH,Ar-OR","R-H-acidic,Ar-R,Ar-I,R2CH-NHR,R3C-NHR,R2CH-CO2R","Ar-OH,Ar-OR|R-H-acidic,Ar-R,Ar-I,R2CH-NHR,R3C-NHR,R2CH-CO2R",88.0,COc1ccc(O)cc1.COC(=O)[C@H](Cc1ccc(I)cc1)NC(c1ccccc1)(c1ccccc1)c1ccccc1>>COC(=O)[C@H](Cc1ccc(Oc2ccc(OC)cc2)cc1)NC(c1ccccc1)(c1ccccc1)c1ccccc1,CuI,2491-06-7,Cs2CO3,"1,4-Dioxane",,,,0.0
Ar-I|Ar-OH -> Ar-OR || Ar-R,False,"Ar-R,Ar-OH","Ar-R,Ar-I","Ar-R,Ar-I|Ar-R,Ar-OH",87.0,Cc1ccc(O)cc1C.Cc1ccc(I)cc1>>Cc1ccc(Oc2ccc(C)c(C)c2)cc1,42152-46-5,,Cs2CO3,PhMe / EtOAc,,,,0.5219003334200206
Ar-Cl|Ar-OH -> Ar-OR || Ar-R|R-CONHR|R-F,False,"Ar-R,Ar-OH","Ar-Cl,R-F,R-CONHR","Ar-Cl,R-F,R-CONHR|Ar-R,Ar-OH",72.0,CC(C)c1ccccc1O.O=C(Nc1ccccc1Cl)C(F)(F)F>>CC(C)c1ccccc1Oc1ccccc1NC(=O)C(F)(F)F,CuBr,KI,Cs2CO3,DMSO,,,,-0.7458771045804627
Ar-Cl|Ar-OH -> Ar-OR || Ar-NO2|Ar-R,False,"Ar-Cl,Ar-NO2","Ar-R,Ar-OH","Ar-Cl,Ar-NO2|Ar-R,Ar-OH",99.0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.Cc1cccc(O)c1>>Cc1cccc(Oc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1,CuI,1619243-70-7,K2CO3,DMSO,,,,1.3769500362679354
Ar-Cl|Ar-OH -> Ar-OR || Ar-CO2H|Ar-OR,False,"Ar-Cl,Ar-CO2H","Ar-OH,Ar-OR","Ar-Cl,Ar-CO2H|Ar-OH,Ar-OR",96.0,O=C(O)c1ccccc1Cl.COc1ccc(O)cc1>>COc1ccc(Oc2ccccc2C(=O)O)cc1,Cu(0),,,MeOH,,,,1.0
Ar-I|Ar-OH -> Ar-OR || Ar-CF3|Ar-OR,False,"Ar-OH,Ar-OR","Ar-I,Ar-CF3","Ar-I,Ar-CF3|Ar-OH,Ar-OR",84.0,COc1ccc(O)cc1.FC(F)(F)c1ccc(I)cc1>>COc1ccc(Oc2ccc(C(F)(F)F)cc2)cc1,CuI,98-98-6,K3PO4,DMSO,,,,0.7071067811865476
Ar-Cl|Ar-OH -> Ar-OR || Ar-NR2|Ar-R,False,"Ar-R,Ar-OH","Ar-Cl,Ar-NR2","Ar-Cl,Ar-NR2|Ar-R,Ar-OH",88.0,CC(C)(C)c1ccccc1O.CN(C)c1cccc(Cl)c1>>CN(C)c1cccc(Oc2ccccc2C(C)(C)C)c1,Pd(OAc)2,709667-72-1,K3PO4,PhMe,,,,0.0
Ar-F|Ar-OH -> Ar-OR || Ar-NO2|Ar-R,False,"Ar-R,Ar-OH","Ar-F,Ar-NO2","Ar-F,Ar-NO2|Ar-R,Ar-OH",98.0,CC(C)(C)c1ccccc1O.O=[N+]([O-])c1ccc(F)cc1>>CC(C)(C)c1ccccc1Oc1ccc([N+](=O)[O-])cc1,CsF,,,DMSO,,,,1.6583333333333319
Ar-F|Ar-OH -> Ar-OR || Ar-NO2|Ar-OR,False,"Ar-OH,Ar-OR","Ar-F,Ar-NO2","Ar-F,Ar-NO2|Ar-OH,Ar-OR",96.0,COc1ccc(O)cc1.O=[N+]([O-])c1cccc(F)c1>>COc1ccc(Oc2cccc([N+](=O)[O-])c2)cc1,111324-04-0,,,DMF,,,,0.530209913136951
Ar-Br|Ar-OH -> Ar-OR || Ar-NR2|Ar-R,False,"Ar-R,Ar-OH","Ar-Br,Ar-NR2","Ar-Br,Ar-NR2|Ar-R,Ar-OH",84.0,Cc1cc(C)cc(O)c1.CCN(CC)c1ccc(Br)cc1>>CCN(CC)c1ccc(Oc2cc(C)cc(C)c2)cc1,7758-89-6,,Cs2CO3,PhMe,,,,0.738485493928125
Ar-Cl|Ar-OH -> Ar-OR || Ar-COR|Ar-R|R-H-acidic,False,"Ar-R,Ar-OH","R-H-acidic,Ar-Cl,Ar-COR","Ar-R,Ar-OH|R-H-acidic,Ar-Cl,Ar-COR",77.0,Cc1ccc(O)c(C(C)(C)C)c1.CC(=O)c1ccc(Cl)cc1>>CC(=O)c1ccc(Oc2ccc(C)cc2C(C)(C)C)cc1,Pd(OAc)2,1072087-21-8,NaH,PhMe,,,,-0.6860872123308365
Ar-I|Ar-OH -> Ar-OR || Ar-NH2|Ar-R,False,"Ar-R,Ar-I","Ar-R,Ar-NH2,Ar-OH","Ar-R,Ar-I|Ar-R,Ar-NH2,Ar-OH",78.0,Cc1ccc(I)cc1.Cc1c(N)cccc1O>>Cc1ccc(Oc2cccc(N)c2C)cc1,CuI,98-98-6,K3PO4,DMSO,,,,-1.1487535432791272
Ar-Cl|Ar-OH -> Ar-OR || Ar-CHO|Ar-OR,False,"Ar-CHO,Ar-OH","Ar-Cl,Ar-OR","Ar-CHO,Ar-OH|Ar-Cl,Ar-OR",93.0,O=Cc1cccc(O)c1.COc1ccc(Cl)cc1>>COc1ccc(Oc2cccc(C=O)c2)cc1,CuBr,L-Proline,K3PO4,DMF,,,,0.7687665737984294
Ar-F|Ar-OH -> Ar-OR || Ar-I|Ar-NO2,False,"Ar-F,Ar-NO2","Ar-I,Ar-OH","Ar-F,Ar-NO2|Ar-I,Ar-OH",95.0,O=[N+]([O-])c1ccc(F)cc1.Oc1ccc(I)cc1>>O=[N+]([O-])c1ccc(Oc2ccc(I)cc2)cc1,CsF,,,DMSO,,,,0.7071067811865475
Ar-Cl|Ar-OH -> Ar-OR || Ar-CHO|Ar-NO2,False,"Ar-Cl,Ar-NO2","Ar-CHO,Ar-OH","Ar-CHO,Ar-OH|Ar-Cl,Ar-NO2",82.0,O=[N+]([O-])c1ccc(Cl)cc1.O=Cc1ccc(O)cc1>>O=Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,K2CO3,PEG-400,,DMF,,,,-0.08678352812105493
Ar-Br|Ar-OH -> Ar-OR || Ar-NO2|Ar-OR,False,"Ar-OH,Ar-OR","Ar-Br,Ar-NO2","Ar-Br,Ar-NO2|Ar-OH,Ar-OR",98.0,COc1ccc(O)cc1.O=[N+]([O-])c1ccc(Br)cc1>>COc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,1121-60-4,7447-39-4,Cs2CO3,EtOH,,,,1.2693174358488182
Ar-Br|Ar-OH -> Ar-OR || Ar-NO2|Ar-OR,False,"Ar-OH,Ar-OR","Ar-Br,Ar-NO2","Ar-Br,Ar-NO2|Ar-OH,Ar-OR",97.0,COc1cccc(OC)c1O.O=[N+]([O-])c1ccc(Br)cc1>>COc1cccc(OC)c1Oc1ccc([N+](=O)[O-])cc1,1306-38-3,7440-57-5,KOH,DMSO,water,,,1.147831608655367
