Reaction_Type_Standardized,AREA_TOTAL_REDUCED,z-Score,Reactant_A,Reactant_B,Reactant_A_Type,Reactant_B_Type,Reactant_A_Category,Reactant_B_Category,Catalyst,Ligand,Base,Solvent,Secondary Solvent,Additive,Coupling Reagent,Reaction_Type_V2,Reactant_A_Motifs,Reactant_B_Motifs,Is_V2_Mapped
amide_formation,64.07,-0.15,RCO2H or M,RNH2 a-branch,,"RCO2H, RNH2-a-branch",,"Aliphatic-amine, Acyl-source",,No Ligand,NMI,MeTHF,,HOPO,DIC,amide_coupling,,"Any-CO2H,Any-NH2",False
Suzuki,56.25,0.82,ArB(OR)2,ArBr,ArBr,ArB(OR)2,ArX*,ArB*,SPhos Pd(crotyl)Cl,SPhos,Na2CO3,MeTHF,water,,,suzuki_miyaura,Ar-Br,Ar-B(OR)2,True
Suzuki,11.49,-0.78,alkene-Br,ArB(OH)2,alkene-Br,ArB(OH)2,VinylX*,ArB*,dppf Pd G3,dppf,K2CO3,Dioxane,,,,suzuki_miyaura,Vinyl-Br,Ar-B(OH)2,True
Suzuki,22.85,-0.43,alkene-Br,ArB(OH)2,alkene-Br,ArB(OH)2,VinylX*,ArB*,P(tBu)(Cy)2)2PdCl2,P(tBu)(Cy)2,Na2CO3,iPrOAc,water,,,suzuki_miyaura,Vinyl-Br,Ar-B(OH)2,True
C_N_Coupling,0.62,-0.54,ArI,arom. NH,ArI,arom-NH,ArX*,Aniline-type,Cu(MeCN)4BF4,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,DMF,,,,c_n_cross_coupling,Ar-I,AromN-H,True
Salt-formation,0.0,-0.39,RNH2,RNH2,,RNH2,,Aliphatic-amine,,No Ligand,,EtOH,,,,Salt-formation,,Any-NH2,True
Salt-formation,49.96,2.32,RNH2,RNH2,,RNH2,,Aliphatic-amine,,No Ligand,,THF,,,,Salt-formation,,Any-NH2,True
Salt-formation,0.0,-0.39,RNH2,RNH2,,RNH2,,Aliphatic-amine,,No Ligand,,,,,,Salt-formation,,Any-NH2,True
C_N_Coupling,6.05,-0.98,ArI,arom. NH,ArI,arom-NH,ArX*,Aniline-type,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,Cs2CO3,CPME,,,,c_n_cross_coupling,Ar-I,AromN-H,True
C_N_Coupling,0.0,-0.46,arom. NH,ArBr,ArBr,arom-NH,ArX*,Aniline-type,Me4tBuXPhos Pd G3,Me4tBuXPhos,KOH,Dioxane,water,,,c_n_cross_coupling,Ar-Br,AromN-H,True
C_N_Coupling,65.79,0.54,arom. NH,ArI,ArI,arom-NH,ArX*,Aniline-type,AdBrettPhosPd G6 Br,Ad-BrettPhos,Cs2CO3,CPME,,,,c_n_cross_coupling,Ar-I,AromN-H,True
C_N_Coupling,79.48,0.55,RNH2 a-branch,ArCl,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,[Pd(allyl)(RockPhos)]OTf,RockPhos,TMSOK,xylenes,,,,c_n_cross_coupling,Ar-Cl,Any-NH2,True
C_N_Coupling,10.51,-0.33,RNH2 a-branch,ArCl,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,QPhos Pd(crotyl)Cl,QPhos,KOH,MeCN,,,,c_n_cross_coupling,Ar-Cl,Any-NH2,True
C_N_Coupling,2.36,-0.51,ArI,RNH2,ArI,RNH2,ArX*,Aliphatic-amine,BippyPhos Pd(allyl)OTf,BippyPhos,Cs2CO3,DMF,,,,c_n_cross_coupling,Ar-I,Any-NH2,True
C_N_Coupling,0.0,-0.62,ArI,RNH2,ArI,RNH2,ArX*,Aliphatic-amine,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,Cs2CO3,DMSO,,LiI,,c_n_cross_coupling,Ar-I,Any-NH2,True
C_N_Coupling,29.44,0.95,ArCl,RNH2 a-branch,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,dppf Pd G3,dppf,TMSOK,Dioxane,,,,c_n_cross_coupling,Ar-Cl,Any-NH2,True
amide_formation,57.71,2.07,RCO2H or M,ArNH2,,"ArNH2, RCO2H",,"Aniline-type, Acyl-source",,No Ligand,DIPEA,MeCN,,,HATU,amide_coupling,,"Ar-NH2,Any-CO2H",False
amide_formation,2.68,-1.16,RCO2H or M,ArNH2,,"ArNH2, RCO2H",,"Aniline-type, Acyl-source",,No Ligand,NMM,acetone,,,DIC,amide_coupling,,"Ar-NH2,Any-CO2H",False
