reaction_type,yield,z_score,reactant_1,orig_reactant_1,reactant_2,orig_reactant_2,catalyst,ligand,base,solvent,additive
suzuki_miyaura,0.0,-0.33,Ar-Br,ArBr,Ar-B(OR)2,ArB(OR)2,dppfPdCl2,dppf,K3PO4,"PhMe, water",
suzuki_miyaura,17.28,0.17,Ar-Br,ArBr,Ar-B(OH)2,ArB(OH)2,dppfPdCl2,dppf,K3PO4,"anisole, water",
cn_coupling,0.0,-0.42,Ar-Br,ArBr,R-NHR,R2NH,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,water
c_h_borylation,0.46,-0.36,Ar-H,ArH,Ar-H,ArH,[Ir(cod)OMe]2,dtbpy,,cyclohexane,
cn_coupling,0.0,-1.0,AromN-H,arom. NH,Ar-Cl,ArCl,cBridP Pd(allyl)Cl,cBridP,K3PO4,tAmOH,
cn_coupling,5.92,0.29,AromN-H,arom. NH,Ar-Cl,ArCl,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,tAmOH,water
cn_coupling,0.0,-0.33,Ar-Br,ArBr,AromN-H,arom. NH,CuI,Salicylaldoxime,Cs2CO3,PhMe,
suzuki_miyaura,0.0,-0.54,Ar-B(OR)2,ArB(OR)2,Ar-Br,ArBr,XPhos Pd G2,XPhos,NaHCO3,PhMe,water
cn_coupling,32.48,0.67,Ar-NH2,ArNH2,Ar-Br,ArBr,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"PhMe, water",
cn_coupling,27.16,0.4,Ar-NH2,ArNH2,Ar-Br,ArBr,(R)-BINAP Pd(allyl)Cl,BINAP,NaOtBu,PhMe,
amide_formation,12.22,-1.86,R2CH-NHR,R2NH a-branch,R-CO2H,RCO2H or M,,No Ligand,NMM,DCM,"HOSu, EDC"
amide_formation,89.56,0.91,R2CH-NHR,R2NH a-branch,R-CO2H,RCO2H or M,,No Ligand,,"PhMe, xylenes","HOPO, DIC"
amide_formation,83.66,0.7,R2CH-NHR,R2NH a-branch,R-CO2H,RCO2H or M,,No Ligand,,"acetone, PhMe","HOPO, DIC"
amide_formation,25.71,-1.37,R2CH-NHR,R2NH a-branch,R-CO2H,RCO2H or M,,No Ligand,,"anisole, DMI",DIC
amide_formation,72.59,0.3,R2CH-NHR,R2NH a-branch,R-CO2H,RCO2H or M,,No Ligand,,"DMI, iPrOAc","HOPO, DIC"
suzuki_miyaura,0.0,-1.07,Ar-I,ArI,Ar-B(OR)2,ArB(OR)2,PPh3)2PdCl2,PPh3,K3PO4,"PhMe, water",
suzuki_miyaura,25.09,0.71,Ar-I,ArI,Ar-B(OR)2,ArB(OR)2,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"Dioxane, water",
amide_formation,2.62,-1.65,R-NH2,RNH2,R-NH2,RNH2,,No Ligand,NMM,TBME,"HOSu, EDC"
amide_formation,59.37,0.34,R-NH2,RNH2,R-NH2,RNH2,,No Ligand,,tAmOH,"HOSu, DIC"
amide_formation,79.05,1.03,R-NH2,RNH2,R-NH2,RNH2,,No Ligand,,tAmOH,"HOSu, DIC"
amide_formation,78.69,1.02,R-NH2,RNH2,R-NH2,RNH2,,No Ligand,,tAmOH,"HOSu, DIC"
amide_formation,68.71,0.67,R-NH2,RNH2,R-NH2,RNH2,,No Ligand,,tAmOH,"HOSu, DIC"
suzuki_miyaura,73.91,0.53,Ar-Br,ArBr,Ar-B(OH)2,ArB(OH)2,dppfPdCl2,dppf,K3PO4,"iPrOAc, water",
cn_coupling,8.94,-0.36,Ar-Br,ArBr,R-CONH2,RCONH2,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,tAmOH,water
hydration,20.37,0.94,R-CN,RCN,R-CN,RCN,,No Ligand,Na2CO3,"anisole, water",TBAHS
cn_coupling,0.0,-0.56,Ar-Br,ArBr,R-NHR,R2NH,RuPhos Pd G4,RuPhos,Cs2CO3,MeCN,water
suzuki_miyaura,40.8,1.25,Ar-Cl,ArCl,Ar-B(OR)2,ArB(OR)2,dppfPdCl2,dppf,Cs2CO3,PhMe,water
suzuki_miyaura,90.89,-0.17,Ar-Br,ArBr,Alkenyl-B(OR)2,alkeneB(OR)2,PPh3)2PdCl2,PPh3,K3PO4,"iPrOH, water",
cn_coupling,3.15,-0.86,Ar-NH2,ArNH2,Ar-Cl,ArCl,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,MeCN,water
cn_coupling,73.64,1.0,Ar-NH2,ArNH2,Ar-Cl,ArCl,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,Cs2CO3,MeCN,water
suzuki_miyaura,17.17,-2.01,Ar-Cl,ArCl,Ar-B(OH)2,ArB(OH)2,dtbpfPdCl2,dtbpf,Li2CO3,iPrOH,water
suzuki_miyaura,23.02,-0.22,Ar-Cl,ArCl,Ar-B(OH)2,ArB(OH)2,dtbpfPdCl2,dtbpf,Li2CO3,anisole,water
cn_coupling,21.84,0.75,Ar-Br,ArBr,AromN-H,arom. NH,tBuXPhos Pd G3,tBuXPhos,K3PO4,"Dioxane, water",
amide_formation,60.53,0.39,Ar-NH2,ArNH2,R-CO2H,RCO2H or M,,No Ligand,NEt3,MeCN,"HOPO, T3P"
amide_formation,57.85,0.31,Ar-NH2,ArNH2,R-CO2H,RCO2H or M,,No Ligand,NMM,MeCN,"HOPO, DIC"
amide_formation,90.22,1.3,Ar-NH2,ArNH2,R-CO2H,RCO2H or M,,No Ligand,NEt3,MeCN,"HOPO, DIC"
amide_formation,88.85,1.26,Ar-NH2,ArNH2,R-CO2H,RCO2H or M,,No Ligand,NEt3,MeCN,"HOPO, DIC"
amide_formation,67.11,0.59,Ar-NH2,ArNH2,R-CO2H,RCO2H or M,,No Ligand,NEt3,MeCN,"HOPO, DIC"
cn_coupling,52.41,3.31,Ar-Cl,ArCl,R2CH-NHR,R2NH a-branch,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,PhMe,
cn_coupling,0.96,-1.26,AromN-H,arom. NH,Ar-Br,ArBr,CuI,No Ligand,K3PO4,DMSO,
cn_coupling,13.08,-0.81,Ar-NH2,ArNH2,Ar-Cl,ArCl,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"tAmOH, water",
cn_coupling,0.0,-0.44,Ar-Cl,ArCl,R2CH-NHR,R2NH a-branch,dpppPdCl2,dppp,NaOtBu,PhMe,
cn_coupling,36.48,0.36,Ar-Br,ArBr,Ar-NH2,ArNH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,Cs2CO3,MeTHF,water
glycosidation,27.32,-0.44,RCH2-OH,Alkyl-OH primary,R-Ester,RCO2R,,No Ligand,,DMF,
glycosidation,41.82,0.22,RCH2-OH,Alkyl-OH primary,R-Ester,RCO2R,,No Ligand,,anisole,
cn_coupling,25.44,-0.72,Ar-Cl,ArCl,Ar-NH2,ArNH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,Cs2CO3,Dioxane,water
cn_coupling,16.0,-1.17,AromN-H,arom. NH,Ar-Br,ArBr,CuI,(R)-Binap,K3PO4,DMSO,
