Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-CO2H|Ar-NH2 -> Ar-CONHR|Ar-NHR || Ar-OR|Ar-R|Pyrimidine|Thiazole,False,"Ar-NH2,Thiazole","Ar-R,Ar-OR,Ar-CO2H,Pyrimidine","Ar-NH2,Thiazole|Ar-R,Ar-OR,Ar-CO2H,Pyrimidine",72.0,Nc1nccs1.COc1cc2c(cc1C(=O)O)CC[C@H]1C(C)(C)c3nc(C)ncc3C[C@]21C>>COc1cc2c(cc1C(=O)Nc1nccs1)CC[C@H]1C(C)(C)c3nc(C)ncc3C[C@]21C,,,Et3N,DCM,,HATU,,0.0
Ar-CO2H|R2CH-NH2 -> Ar-CONHR|R2CH-NHR || Ar-OR|Ar-R|Pyrimidine,False,R2CH-NH2,"Ar-R,Ar-OR,Ar-CO2H,Pyrimidine","Ar-R,Ar-OR,Ar-CO2H,Pyrimidine|R2CH-NH2",80.0,NC1CCCC1.COc1cc2c(cc1C(=O)O)CC[C@H]1C(C)(C)c3nc(C)ncc3C[C@]21C>>COc1cc2c(cc1C(=O)NC1CCCC1)CC[C@H]1C(C)(C)c3nc(C)ncc3C[C@]21C,,,Et3N,DCM,,HATU,,0.0
Ar-CO2H|Ar-NH2 -> Ar-CONHR|Ar-NHR || Ar-OR|Ar-R|Oxazole|Pyrimidine,False,"Ar-NH2,Oxazole","Ar-R,Ar-OR,Ar-CO2H,Pyrimidine","Ar-NH2,Oxazole|Ar-R,Ar-OR,Ar-CO2H,Pyrimidine",83.0,Nc1ncco1.COc1cc2c(cc1C(=O)O)CC[C@H]1C(C)(C)c3nc(C)ncc3C[C@]21C>>COc1cc2c(cc1C(=O)Nc1ncco1)CC[C@H]1C(C)(C)c3nc(C)ncc3C[C@]21C,,,Et3N,DCM,,HATU,,0.0
Any-NH2|Ar-CO2H -> Any-NHR|Ar-CONHR || Ar-NR2|Ar-OR|Ar-R|Pyrimidine,False,"Ar-R,Ar-NR2,Any-NH2","Ar-R,Ar-OR,Ar-CO2H,Pyrimidine","Ar-R,Ar-NR2,Any-NH2|Ar-R,Ar-OR,Ar-CO2H,Pyrimidine",77.0,NN1CCc2ccccc21.COc1cc2c(cc1C(=O)O)CC[C@H]1C(C)(C)c3nc(C)ncc3C[C@]21C>>COc1cc2c(cc1C(=O)NN1CCc3ccccc31)CC[C@H]1C(C)(C)c3nc(C)ncc3C[C@]21C,,,Et3N,DCM,,HATU,,0.0
Ar-CO2H|Ar-NH2 -> Ar-CONHR|Ar-NHR || Ar-OR|Ar-R|Pyrimidine,False,"Ar-R,Ar-NH2","Ar-R,Ar-OR,Ar-CO2H,Pyrimidine","Ar-R,Ar-NH2|Ar-R,Ar-OR,Ar-CO2H,Pyrimidine",73.0,CCc1ccc(N)cc1.COc1cc2c(cc1C(=O)O)CC[C@H]1C(C)(C)c3nc(C)ncc3C[C@]21C>>CCc1ccc(NC(=O)c2cc3c(cc2OC)[C@@]2(C)Cc4cnc(C)nc4C(C)(C)[C@@H]2CC3)cc1,,,Et3N,DCM,,HATU,,0.0
Ar-CO2H|Ar-NH2 -> Ar-CONHR|Ar-NHR || Ar-OR|Ar-R|Pyrimidine,False,"Ar-NH2,Ar-OR","Ar-R,Ar-OR,Ar-CO2H,Pyrimidine","Ar-NH2,Ar-OR|Ar-R,Ar-OR,Ar-CO2H,Pyrimidine",71.0,COc1cccc(N)c1.COc1cc2c(cc1C(=O)O)CC[C@H]1C(C)(C)c3nc(C)ncc3C[C@]21C>>COc1cccc(NC(=O)c2cc3c(cc2OC)[C@@]2(C)Cc4cnc(C)nc4C(C)(C)[C@@H]2CC3)c1,,,Et3N,DCM,,HATU,,0.0
Ar-CO2H|Bn-NH2 -> Ar-CONHR|Bn-NHR || Ar-Cl|Ar-OR|Ar-R|Pyrimidine,False,"Ar-Cl,Bn-NH2","Ar-R,Ar-OR,Ar-CO2H,Pyrimidine","Ar-Cl,Bn-NH2|Ar-R,Ar-OR,Ar-CO2H,Pyrimidine",83.0,NCc1cccc(Cl)c1.COc1cc2c(cc1C(=O)O)CC[C@H]1C(C)(C)c3nc(C)ncc3C[C@]21C>>COc1cc2c(cc1C(=O)NCc1cccc(Cl)c1)CC[C@H]1C(C)(C)c3nc(C)ncc3C[C@]21C,,,Et3N,DCM,,HATU,,0.0
Any-H|Ar-NH2|RCH2-CO2H -> Ar-NHR|R-CONHR || Ar-OR|Ar-R|Pyrimidine|R-H-acidic,False,"R-H-acidic,RCH2-CO2H","Ar-R,Ar-NH2,Ar-OR,Pyrimidine","Ar-R,Ar-NH2,Ar-OR,Pyrimidine|R-H-acidic,RCH2-CO2H",83.0,CC(=O)O.COc1cc2c(cc1N)CC[C@H]1C(C)(C)c3nc(C)ncc3C[C@]21C.Cl>>COc1cc2c(cc1NC(C)=O)CC[C@H]1C(C)(C)c3nc(C)ncc3C[C@]21C,,,Et3N,DCM,,HATU,,0.0
Ar-NH2|RCH2-CO2H -> Ar-NHR|R-CONHR || Ar-Ar|Ar-F|Ar-OR|Ar-R|Ar-SR|AromN-H|Imidazole|Pyridine|R-H-acidic,False,"R-H-acidic,Ar-R,Ar-OR,RCH2-CO2H","Ar-Ar,AromN-H,Ar-F,Ar-SR,Ar-NH2,Imidazole,Pyridine","Ar-Ar,AromN-H,Ar-F,Ar-SR,Ar-NH2,Imidazole,Pyridine|R-H-acidic,Ar-R,Ar-OR,RCH2-CO2H",77.0,COc1cc(CC(=O)O)cc(OC)c1OC.CSc1nc(-c2ccnc(N)c2)c(-c2ccc(F)cc2)[nH]1>>COc1cc(CC(=O)Nc2cc(-c3nc(SC)[nH]c3-c3ccc(F)cc3)ccn2)cc(OC)c1OC,,,DIPEA,DCM,,PyBOP,,0.0
Ar-NH2|RCH2-CO2H -> Ar-NHR|R-CONHR || Ar-Ar|Ar-F|Ar-R|Ar-SR|AromN-H|Imidazole|Pyridine|R-H-acidic|R3C-F,False,"R-H-acidic,Ar-R,RCH2-CO2H,R3C-F","Ar-Ar,AromN-H,Ar-F,Ar-SR,Ar-NH2,Imidazole,Pyridine","Ar-Ar,AromN-H,Ar-F,Ar-SR,Ar-NH2,Imidazole,Pyridine|R-H-acidic,Ar-R,RCH2-CO2H,R3C-F",73.0,O=C(O)Cc1ccc(C(F)(F)F)cc1.CSc1nc(-c2ccnc(N)c2)c(-c2ccc(F)cc2)[nH]1>>CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)Cc3ccc(C(F)(F)F)cc3)c2)[nH]1,,,DIPEA,DCM,,HATU,,0.0
Ar-NH2|R2CH-CO2H -> Ar-NHR|R-CONHR || Any-CO-R|Ar-Ar|Ar-F|Ar-SR|AromN-H|Imidazole|Pyridine|R-H-acidic,False,"R-H-acidic,Any-CO-R,R2CH-CO2H","Ar-Ar,AromN-H,Ar-F,Ar-SR,Ar-NH2,Imidazole,Pyridine","Ar-Ar,AromN-H,Ar-F,Ar-SR,Ar-NH2,Imidazole,Pyridine|R-H-acidic,Any-CO-R,R2CH-CO2H",93.0,O=C1CC(C(=O)O)C1.CSc1nc(-c2ccnc(N)c2)c(-c2ccc(F)cc2)[nH]1>>CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)C3CC(=O)C3)c2)[nH]1,,,DIPEA,DCM,,PyBOP,,0.0
Any-H|Bn-NH2|RCH2-CO2H -> Bn-NHR|R-CONHR || Ar-Br|Ar-R|AromN-H|Benzimidazole|R-H-acidic,False,"R-H-acidic,Ar-R,Ar-Br,RCH2-CO2H",Any-H,"Any-H|R-H-acidic,Ar-R,Ar-Br,RCH2-CO2H",80.0,CC(CC(=O)O)c1ccccc1Br.Cl.NCc1ccc2[nH]c(=O)[nH]c2c1>>CC(CC(=O)NCc1ccc2[nH]c(=O)[nH]c2c1)c1ccccc1Br,,,Et3N,DMF / water,SodiumChloride,CDI,,-0.7071067811865475
Ar-CO2H|RCH2-NH2 -> Ar-CONHR|RCH2-NHR || Ar-Br|Ar-OR|Ar-R|Pyridine,False,"Ar-Br,Ar-OR,RCH2-NH2","Ar-R,Ar-CO2H,Pyridine","Ar-Br,Ar-OR,RCH2-NH2|Ar-R,Ar-CO2H,Pyridine",89.0,NCCOc1ccc(Br)cc1.Cc1ccc2nc(C3CC3)c(C(=O)O)n2c1>>Cc1ccc2nc(C3CC3)c(C(=O)NCCOc3ccc(Br)cc3)n2c1,,,Et3N,DCM,,BOP-Cl,,0.0
Ar-NH2|RCH2-CO2H -> Ar-NHR|R-CONHR || Any-Lactam|Ar-CONR2|Quinoline|R-H-acidic,False,"Ar-NH2,Quinoline","R-H-acidic,Ar-CONR2,RCH2-CO2H,Any-Lactam","Ar-NH2,Quinoline|R-H-acidic,Ar-CONR2,RCH2-CO2H,Any-Lactam",95.0,Nc1cccc2cccnc12.O=C(O)C/C=C/CCCN1C(=O)c2ccccc2C1=O>>O=C(C/C=C/CCCN1C(=O)c2ccccc2C1=O)Nc1cccc2cccnc12,,,Py,DCM,,HATU,,1.6972398694038688
Ar-NH2|RCH2-CO2H -> Ar-NHR|R-CONHR || Quinoline|R-H-acidic|RCH2-Ester,False,"Ar-NH2,Quinoline","R-H-acidic,RCH2-CO2H,RCH2-Ester","Ar-NH2,Quinoline|R-H-acidic,RCH2-CO2H,RCH2-Ester",93.0,Nc1cccc2cccnc12.COC(=O)CCC/C=C/CC(=O)O>>COC(=O)CCC/C=C/CC(=O)Nc1cccc2cccnc12,,,Py,DCM,,HATU,,1.610578825741619
Ar-NH2|RCH2-CO2H -> Ar-NHR|R-CONHR || Quinoline|R-H-acidic|RCH2-Ester,False,"Ar-NH2,Quinoline","R-H-acidic,RCH2-CO2H,RCH2-Ester","Ar-NH2,Quinoline|R-H-acidic,RCH2-CO2H,RCH2-Ester",86.0,Nc1cccc2cccnc12.COC(=O)CC/C=C/CC(=O)O>>COC(=O)CC/C=C/CC(=O)Nc1cccc2cccnc12,,,Py,DCM,,HATU,,0.6362780546139728
Ar-R|R2CH-CO2H|R2CH-NH2|R3C-NHR -> Any-NH2|R-CONH2|R2CH-NHR || Ar-R|Bn-NHR|R-CONHR|R-H-acidic|R2CH-NHR|R2CH-OH,False,"R-H-acidic,Ar-R,R2CH-NHR,R2CH-CO2H","R-H-acidic,Ar-R,Bn-NHR,R2CH-NH2,R3C-NHR,R2CH-OH,R-CONHR","R-H-acidic,Ar-R,Bn-NHR,R2CH-NH2,R3C-NHR,R2CH-OH,R-CONHR|R-H-acidic,Ar-R,R2CH-NHR,R2CH-CO2H",72.0,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)O.N[C@@H](CC(=O)NC(c1ccccc1)(c1ccccc1)c1ccccc1)C(O)C(=O)NCc1ccccc1>>CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(O)C(=O)NCc1ccccc1,,,,DMF,HOBt / TFA,EDCI·HCl,,0.0
R2CH-CO2H|R2CH-NH2 -> R-CONHR|R2CH-NHR || Ar-R|Bn-NHR|R-CONHR|R-H-acidic|R2CH-NHR|R2CH-OH,False,"R-H-acidic,Ar-R,R2CH-NHR,R2CH-CO2H","R-H-acidic,Bn-NHR,R2CH-NH2,R2CH-OH,R-CONHR","R-H-acidic,Ar-R,R2CH-NHR,R2CH-CO2H|R-H-acidic,Bn-NHR,R2CH-NH2,R2CH-OH,R-CONHR",71.0,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)O.CC(C)C[C@H](N)C(O)C(=O)NCc1ccccc1>>CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(O)C(=O)NCc1ccccc1,,,,DMF,HOBt,EDCI·HCl,,0.0
Ar-CO2H|R2CH-NH2 -> Ar-CONHR|R2CH-NHR || Any-Ester|Ar-Ar|Ar-R|R-H-acidic|R2CH-NHR|R2CH-NR2|RCH2-Ester|RCH2-NR2|Thiazole,False,"R-H-acidic,Ar-Ar,Ar-R,Ar-CO2H,R2CH-NHR,R2CH-NR2,RCH2-NR2,RCH2-Ester,Any-Ester,Thiazole",R2CH-NH2,"R-H-acidic,Ar-Ar,Ar-R,Ar-CO2H,R2CH-NHR,R2CH-NR2,RCH2-NR2,RCH2-Ester,Any-Ester,Thiazole|R2CH-NH2",71.0,CC(C)(C)OC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1nc([C@@H]2CCCN2C(=O)OC(C)(C)C)sc1C(=O)O.CC(C)N>>CC(C)NC(=O)c1sc([C@@H]2CCCN2C(=O)OC(C)(C)C)nc1[C@H](CCC(=O)OC(C)(C)C)NC(=O)OCC1c2ccccc2-c2ccccc21,,,NMM,THF,,i‑BuOCOCl,,0.0
Ar-CO2H|R2CH-NH2 -> Ar-CONHR|R2CH-NHR || Any-Ester|Ar-Ar|Ar-CONHR|Ar-R|R-H-acidic|R2CH-NHR|R2CH-NR2|RCH2-Ester|RCH2-NR2|Thiazole,False,"R-H-acidic,Ar-Ar,Ar-R,Ar-CO2H,R2CH-NHR,R2CH-NR2,RCH2-NR2,RCH2-Ester,Any-Ester,Thiazole","Ar-R,Ar-CONHR,R2CH-NH2,R2CH-NHR,Thiazole","Ar-R,Ar-CONHR,R2CH-NH2,R2CH-NHR,Thiazole|R-H-acidic,Ar-Ar,Ar-R,Ar-CO2H,R2CH-NHR,R2CH-NR2,RCH2-NR2,RCH2-Ester,Any-Ester,Thiazole",74.0,CC(C)(C)OC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1nc([C@@H]2CCCN2C(=O)OC(C)(C)C)sc1C(=O)O.Cc1nc([C@@H](N)Cc2ccccc2)c(C(=O)NC(C)C)s1>>Cc1nc([C@H](Cc2ccccc2)NC(=O)c2sc([C@@H]3CCCN3C(=O)OC(C)(C)C)nc2[C@H](CCC(=O)OC(C)(C)C)NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)NC(C)C)s1,,,NMM,DCM,HOBt,EDCI·HCl,,0.0
Ar-CO2H|R2CH-NH2 -> Ar-CONHR|R2CH-NHR || Any-CHCH2|Ar-Ar|Ar-Ester|Ar-R|R-CHCH2|R2CH-NHR|Thiazole,False,"Ar-Ar,Ar-R,Ar-CO2H,R2CH-NHR,Thiazole","Ar-R,Ar-Ester,R2CH-NH2,Any-CHCH2,R-CHCH2,Thiazole","Ar-Ar,Ar-R,Ar-CO2H,R2CH-NHR,Thiazole|Ar-R,Ar-Ester,R2CH-NH2,Any-CHCH2,R-CHCH2,Thiazole",72.0,Cc1nc([C@H](Cc2ccccc2)NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)O)s1.C=CC(C)(C)OC(=O)c1sc(C)nc1[C@@H](N)Cc1ccccc1>>C=CC(C)(C)OC(=O)c1sc(C)nc1[C@H](Cc1ccccc1)NC(=O)c1sc(C)nc1[C@H](Cc1ccccc1)NC(=O)OCC1c2ccccc2-c2ccccc21,,,NMM,DCM,HOBt,EDCI·HCl,,0.0
Any-NH2|Ar-CO2H|Ar-SO2NH2 -> Any-NHR|Ar-CONHR|Ar-SO2NHR || Ar-I|Ar-R,False,"Ar-I,Ar-CO2H","Ar-R,Ar-SO2NH2,Any-NH2","Ar-I,Ar-CO2H|Ar-R,Ar-SO2NH2,Any-NH2",80.0,O=C(O)c1ccccc1I.Cc1ccc(S(N)(=O)=O)cc1>>Cc1ccc(S(=O)(=O)NC(=O)c2ccccc2I)cc1,DMF,DMAP,Et3N,DCM / iPrOAc / PhMe,water,,,-0.5888614880232887
Any-NH2|Ar-CO2H|Ar-SO2NH2 -> Any-NHR|Ar-CONHR|Ar-SO2NHR || Ar-I|Ar-R,False,"Ar-I,Ar-CO2H","Ar-R,Ar-SO2NH2,Any-NH2","Ar-I,Ar-CO2H|Ar-R,Ar-SO2NH2,Any-NH2",79.0,O=C(O)c1ccccc1I.Cc1cc(C)c(S(N)(=O)=O)c(C)c1>>Cc1cc(C)c(S(=O)(=O)NC(=O)c2ccccc2I)c(C)c1,,,,DCM / water,DMAP,EDCI·HCl,,-0.700267715487154
Any-NH2|Ar-CO2H|Ar-SO2NH2 -> Any-NHR|Ar-CONHR|Ar-SO2NHR || Ar-I|Ar-R,False,"Ar-R,Ar-I,Ar-CO2H","Ar-R,Ar-SO2NH2,Any-NH2","Ar-R,Ar-I,Ar-CO2H|Ar-R,Ar-SO2NH2,Any-NH2",78.0,Cc1ccc(I)c(C(=O)O)c1.Cc1cc(C)c(S(N)(=O)=O)c(C)c1>>Cc1cc(C)c(S(=O)(=O)NC(=O)c2cc(C)ccc2I)c(C)c1,,,,DCM / water,DMAP,EDCI·HCl,,0.0
Any-NH2|Ar-CO2H|R-SO2NH2 -> Any-NHR|Ar-CONHR|R-SO2NHR || Any-CO-R|Ar-I|R-H-acidic,False,"Ar-I,Ar-CO2H","R-H-acidic,Any-CO-R,Any-NH2,R-SO2NH2","Ar-I,Ar-CO2H|R-H-acidic,Any-CO-R,Any-NH2,R-SO2NH2",79.0,O=C(O)c1ccccc1I.CC1(C)[C@@H]2CC[C@@]1(CS(N)(=O)=O)C(=O)C2>>CC1(C)[C@H]2CC[C@]1(CS(=O)(=O)NC(=O)c1ccccc1I)C(=O)C2,,,,DCM,,EDCI·HCl,,0.0
Ar-NH2|RCH2-CO2H -> Ar-NHR|R-CONHR || Ar-CN|Ar-F|Ar-NHR|Ar-OR|Ar-R|R-CONHR|R-H-acidic|R3C-F|Thiazole,False,"R-H-acidic,Ar-R,RCH2-CO2H,R3C-F","R-H-acidic,Ar-F,Ar-CN,Ar-NH2,Ar-NHR,Ar-OR,R-CONHR,Thiazole","R-H-acidic,Ar-F,Ar-CN,Ar-NH2,Ar-NHR,Ar-OR,R-CONHR,Thiazole|R-H-acidic,Ar-R,RCH2-CO2H,R3C-F",71.0,O=C(O)Cc1cccc(C(F)(F)F)c1.CCCCCCCCC(=O)Nc1nc2ccc(Oc3ccc(F)c(N)c3)c(C#N)c2s1>>CCCCCCCCC(=O)Nc1nc2ccc(Oc3ccc(F)c(NC(=O)Cc4cccc(C(F)(F)F)c4)c3)c(C#N)c2s1,,,Py,,,HATU,,0.0
Ar-NH2|RCH2-CO2H -> Ar-NHR|R-CONHR || Ar-CN|Ar-F|Ar-NHR|Ar-NO2|Ar-OR|Ar-R|R-CONHR|R-H-acidic|Thiazole,False,"R-H-acidic,Ar-R,Ar-NO2,RCH2-CO2H","R-H-acidic,Ar-F,Ar-CN,Ar-NH2,Ar-NHR,Ar-OR,R-CONHR,Thiazole","R-H-acidic,Ar-F,Ar-CN,Ar-NH2,Ar-NHR,Ar-OR,R-CONHR,Thiazole|R-H-acidic,Ar-R,Ar-NO2,RCH2-CO2H",93.0,O=C(O)Cc1ccc([N+](=O)[O-])cc1.N#Cc1c(Oc2ccc(F)c(N)c2)ccc2nc(NC(=O)C3CC3)sc12>>N#Cc1c(Oc2ccc(F)c(NC(=O)Cc3ccc([N+](=O)[O-])cc3)c2)ccc2nc(NC(=O)C3CC3)sc12,,,Py,,,HATU,,0.0
Ar-CO2H|Ar-NH2 -> Ar-CONHR|Ar-NHR || Ar-Br|Ar-Cl,False,"Ar-Br,Ar-CO2H","Ar-Cl,Ar-NH2","Ar-Br,Ar-CO2H|Ar-Cl,Ar-NH2",87.0,O=C(O)c1cccc(Br)c1.Nc1ccc(Cl)cc1>>O=C(Nc1ccc(Cl)cc1)c1cccc(Br)c1,,,,DCM,DMAP / water,EDCI·HCl,,0.21821789023599394
Ar-CO2H|RCH2-NH2 -> Ar-CONHR|RCH2-NHR || Ar-R|AromN-H|Indole|Pyridine,False,"Ar-CO2H,Pyridine","Ar-R,AromN-H,RCH2-NH2,Indole","Ar-CO2H,Pyridine|Ar-R,AromN-H,RCH2-NH2,Indole",84.0,O=C(O)c1ccccn1.NCCc1c[nH]c2ccccc12>>O=C(NCCc1c[nH]c2ccccc12)c1ccccn1,,,,EtOAc,,CDI,,0.5303300858899106
Ar-CO2H|RCH2-NH2 -> Ar-CONHR|RCH2-NHR || Ar-R|AromN-H|Indole|Pyridine,False,"Ar-CO2H,Pyridine","Ar-R,AromN-H,RCH2-NH2,Indole","Ar-CO2H,Pyridine|Ar-R,AromN-H,RCH2-NH2,Indole",82.0,O=C(O)c1cccnc1.NCCc1c[nH]c2ccccc12>>O=C(NCCc1c[nH]c2ccccc12)c1cccnc1,,,,EtOAc,,CDI,,0.17677669529663687
Ar-CO2H|RCH2-NH2 -> Ar-CONHR|RCH2-NHR || Ar-R|AromN-H|Indole|Pyridine,False,"Ar-R,Ar-CO2H,Pyridine","Ar-R,AromN-H,RCH2-NH2,Indole","Ar-R,Ar-CO2H,Pyridine|Ar-R,AromN-H,RCH2-NH2,Indole",98.0,Cc1ccc(C(=O)O)cn1.NCCc1c[nH]c2ccccc12>>Cc1ccc(C(=O)NCCc2c[nH]c3ccccc23)cn1,,,,EtOAc,,CDI,,0.0
Ar-CO2H|RCH2-NH2 -> Ar-CONHR|RCH2-NHR || Ar-R|AromN-H|Indole|Pyridine,False,"Ar-CO2H,Pyridine","Ar-R,AromN-H,RCH2-NH2,Indole","Ar-CO2H,Pyridine|Ar-R,AromN-H,RCH2-NH2,Indole",87.0,O=C(O)c1ccncc1.NCCc1c[nH]c2ccccc12>>O=C(NCCc1c[nH]c2ccccc12)c1ccncc1,,,,EtOAc,,CDI,,1.0606601717798212
Ar-CO2H|RCH2-NH2 -> Ar-CONHR|RCH2-NHR || Ar-NHR|Ar-R|AromN-H|Indole,False,"Ar-R,Ar-NHR,Ar-CO2H","Ar-R,AromN-H,RCH2-NH2,Indole","Ar-R,Ar-NHR,Ar-CO2H|Ar-R,AromN-H,RCH2-NH2,Indole",84.0,Cc1cccc(Nc2ccccc2C(=O)O)c1C.NCCc1c[nH]c2ccccc12>>Cc1cccc(Nc2ccccc2C(=O)NCCc2c[nH]c3ccccc23)c1C,,,,EtOAc,,CDI,,0.4472135954999643
Ar-CO2H|RCH2-NH2 -> Ar-CONHR|Ar-R|AromN-H|Indole|RCH2-NHR || Ar-R|AromN-H|Indole|Pyridine,False,"Ar-CO2H,Pyridine","Ar-R,AromN-H,RCH2-NH2,Indole","Ar-CO2H,Pyridine|Ar-R,AromN-H,RCH2-NH2,Indole",80.0,O=C(O)c1cncc(C(=O)O)c1.NCCc1c[nH]c2ccccc12>>O=C(NCCc1c[nH]c2ccccc12)c1cncc(C(=O)NCCc2c[nH]c3ccccc23)c1,,,,EtOAc,,CDI,,-0.17677669529663687
Any-H|Any-NH2|RCH2-CO2H -> Any-NHR|R-CONHR || Any-OR|Ar-R|R-H-acidic|RCH2-OR,False,"Any-NH2,Any-OR",Any-H,"Any-H|Any-NH2,Any-OR",89.0,CON.Cl.O=C(O)CCCOCc1ccccc1>>CONC(=O)CCCOCc1ccccc1,,,Et3N / NaHCO3,DCM / water,HOBt,EDCI·HCl,,0.8436419359189163
Any-H|Any-NH2|RCH2-CO2H -> Any-NHR|R-CONHR || Any-OR|R-H-acidic|RCH2-OR,False,"Any-NH2,Any-OR",Any-H,"Any-H|Any-NH2,Any-OR",84.0,CON.Cl.COCOCCCCCCCC(=O)O>>COCOCCCCCCCC(=O)NOC,,,Et3N / NaHCO3,DCM / water,HOBt,EDCI·HCl,,0.057427814114414735
Any-H|Any-NH2|RCH2-CO2H -> Any-NHR|R-CONHR || Any-OR|Ar-Si|R-H-acidic,False,"Any-NH2,Any-OR",Any-H,"Any-H|Any-NH2,Any-OR",88.0,CON.Cl.CC(C)(C)[Si](OCCCCCCCC(=O)O)(c1ccccc1)c1ccccc1>>CONC(=O)CCCCCCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,,,Et3N / NaHCO3,DCM / water,HOBt,EDCI·HCl,,0.686399111558016
Any-H|Any-NH2|RCH2-CO2H -> Any-NHR|R-CONHR || Any-OR|Ar-R|R-H-acidic|RCH2-NHR,False,"Any-NH2,Any-OR",Any-H,"Any-H|Any-NH2,Any-OR",81.0,CON.Cl.O=C(O)CCCCCCNC(=O)OCc1ccccc1>>CONC(=O)CCCCCCNC(=O)OCc1ccccc1,,,Et3N / NaHCO3,DCM / water,HOBt,EDCI·HCl,,-0.4143006589682862
Any-H|Any-NH2|RCH2-CO2H -> Any-NHR|R-CONHR || Any-OR|Ar-R|Ar-SO2NHR|R-H-acidic|RCH2-NHR,False,"Any-NH2,Any-OR",Any-H,"Any-H|Any-NH2,Any-OR",82.0,CON.Cl.Cc1ccc(S(=O)(=O)NCCCCCCC(=O)O)cc1>>CONC(=O)CCCCCCNS(=O)(=O)c1ccc(C)cc1,,,Et3N / NaHCO3,DCM / water,HOBt,EDCI·HCl,,-0.2570578346073859
Any-H|Any-NH2|RCH2-CO2H -> Any-NHR|R-CONHR || Any-OR|Propargyl-H|R-CCH|R-H-acidic,False,"Any-NH2,Any-OR",Any-H,"Any-H|Any-NH2,Any-OR",98.0,CON.Cl.C#CCCCCCCCCC(=O)O>>C#CCCCCCCCCC(=O)NOC,,,Et3N / NaHCO3,DCM / water,HOBt,EDCI·HCl,,2.258827355167019
Ar-CO2H|RCH2-NH2 -> Ar-CONHR|RCH2-NHR|Thiazole || Ar-Ar|Ar-CONHR|Ar-NHR|Ar-NR2|Ar-R|RCH2-OR,False,"Ar-Ar,Ar-R,Ar-NHR,Ar-NR2,Ar-CO2H,Ar-CONHR,RCH2-OR",RCH2-NH2,"Ar-Ar,Ar-R,Ar-NHR,Ar-NR2,Ar-CO2H,Ar-CONHR,RCH2-OR|RCH2-NH2",92.0,CC(C)(C)c1ccc(C(=O)Nc2cccc(-c3nc(Nc4ccc(N5CCOCC5)cc4)c(C(=O)O)s3)c2)cc1.CN>>CNC(=O)c1sc(-c2cccc(NC(=O)c3ccc(C(C)(C)C)cc3)c2)nc1Nc1ccc(N2CCOCC2)cc1,,,DIPEA,DCM,,,,0.0
Ar-CO2H|R2CH-NH2 -> Ar-CONHR|R2CH-NHR|Thiazole || Ar-Ar|Ar-CONHR|Ar-NHR|Ar-NR2|Ar-R|RCH2-OR,False,"Ar-Ar,Ar-R,Ar-NHR,Ar-NR2,Ar-CO2H,Ar-CONHR,RCH2-OR",R2CH-NH2,"Ar-Ar,Ar-R,Ar-NHR,Ar-NR2,Ar-CO2H,Ar-CONHR,RCH2-OR|R2CH-NH2",95.0,CC(C)(C)c1ccc(C(=O)Nc2cccc(-c3nc(Nc4ccc(N5CCOCC5)cc4)c(C(=O)O)s3)c2)cc1.CC(C)N>>CC(C)NC(=O)c1sc(-c2cccc(NC(=O)c3ccc(C(C)(C)C)cc3)c2)nc1Nc1ccc(N2CCOCC2)cc1,,,DIPEA,DCM,,,,0.0
Ar-NH2|RCH2-CO2H -> Ar-NHR|R-CONHR || Any-OH|Any-OR|Ar-R|R-H-acidic,False,Ar-NH2,"R-H-acidic,Ar-R,Any-OH,Any-OR,RCH2-CO2H","Ar-NH2|R-H-acidic,Ar-R,Any-OH,Any-OR,RCH2-CO2H",71.0,Nc1ccccc1.O=C(O)CCc1cccc2c1B(O)OC2>>O=C(CCc1cccc2c1B(O)OC2)Nc1ccccc1,,,,DCM,,EDCI·HCl,,0.0
