Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Any-Ester|Ar-R,False,"Ar-R,Ar-B(OH)2","Ar-NH2,Any-Ester","Ar-NH2,Any-Ester|Ar-R,Ar-B(OH)2",72.0,Cc1ccc(B(O)O)cc1.CC(C)(C)OC(=O)n1ncc2c(N)cccc21>>Cc1ccc(Nc2cccc3c2cnn3C(=O)OC(C)(C)C)cc1,Cu(OAc)2,,DIPEA,DMF,,,,1.1208970766356074
Ar-B(OH)2|RCH2-NHR -> Ar-NR2 || Ar-R|R3C-F|RCH2-OR,False,"RCH2-NHR,RCH2-OR","Ar-R,Ar-B(OH)2,R3C-F","Ar-R,Ar-B(OH)2,R3C-F|RCH2-NHR,RCH2-OR",50.0,C1COCCN1.OB(O)c1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(N2CCOCC2)cc1,Cu(0),,Py,DCM,,,,0.0
Ar-B(OH)2|AromN-H|Pyrrole -> Ar-AromN || Ar-Br|Ar-Ester,False,Ar-B(OH)2,"Ar-Br,AromN-H,Ar-Ester,Pyrrole","Ar-B(OH)2|Ar-Br,AromN-H,Ar-Ester,Pyrrole",45.0,OB(O)c1ccccc1.COC(=O)c1cc(Br)c[nH]1>>COC(=O)c1cc(Br)cn1-c1ccccc1,Cu(OAc)2,,Py,DCM,,,,0.0
Ar-B(OH)2|RCH2-NHR -> Ar-NR2 || Ar-R|RCH2-OR,False,"RCH2-NHR,RCH2-OR","Ar-R,Ar-B(OH)2","Ar-R,Ar-B(OH)2|RCH2-NHR,RCH2-OR",50.0,C1COCCN1.Cc1cccc(B(O)O)c1>>Cc1cccc(N2CCOCC2)c1,Cu(0),,Py,DCM,,,,0.25982792098465285
Ar-B(OH)2|RCH2-NHR -> Ar-NR2 || Ar-Br|Ar-OTf|Ar-Si|RCH2-OR,False,"Ar-Br,Ar-OTf,Ar-B(OH)2,Ar-Si","RCH2-NHR,RCH2-OR","Ar-Br,Ar-OTf,Ar-B(OH)2,Ar-Si|RCH2-NHR,RCH2-OR",72.0,C[Si](C)(C)c1cc(B(O)O)cc(Br)c1OS(=O)(=O)C(F)(F)F.C1COCCN1>>C[Si](C)(C)c1cc(N2CCOCC2)cc(Br)c1OS(=O)(=O)C(F)(F)F,Cu(OAc)2,,,DCM,,,,0.0
Ar-B(OH)2|RCH2-NHR -> Ar-NR2 || Ar-R|RCH2-OR,False,"RCH2-NHR,RCH2-OR","Ar-R,Ar-B(OH)2","Ar-R,Ar-B(OH)2|RCH2-NHR,RCH2-OR",43.0,C1COCCN1.Cc1ccccc1B(O)O>>Cc1ccccc1N1CCOCC1,Cu(0),,Py,DCM,,,,-1.104268664184772
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Any-Ester|Ar-OR,False,"Ar-B(OH)2,Ar-OR","Ar-NH2,Any-Ester","Ar-B(OH)2,Ar-OR|Ar-NH2,Any-Ester",71.0,COc1ccc(B(O)O)cc1.CC(C)(C)OC(=O)n1ncc2ccc(N)cc21>>COc1ccc(Nc2ccc3cnn(C(=O)OC(C)(C)C)c3c2)cc1,Cu(OAc)2,,DIPEA,DMF,,,,-0.9271726499455286
Ar-B(OH)2|RCH2-NHR -> Ar-NR2 || None,False,Ar-B(OH)2,RCH2-NHR,Ar-B(OH)2|RCH2-NHR,57.0,OB(O)c1ccccc1.CCCCNCCCC>>CCCCN(CCCC)c1ccccc1.c1ccc(B2OB(c3ccccc3)OB(c3ccccc3)O2)cc1,Cu(0),,Py,DCM,,,,0.3486072374482974
Ar-B(OH)2|RCH2-NHR -> Ar-NR2 || Ar-R|RCH2-OR,False,"RCH2-NHR,RCH2-OR","Ar-R,Ar-B(OH)2","Ar-R,Ar-B(OH)2|RCH2-NHR,RCH2-OR",53.0,C1COCCN1.Cc1ccc(B(O)O)cc1>>Cc1ccc(N2CCOCC2)cc1,Cu(0),,Py,DCM,,,,0.8444407432001206
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-SR|Pyridine,False,"Ar-NH2,Pyridine","Ar-B(OH)2,Ar-SR","Ar-B(OH)2,Ar-SR|Ar-NH2,Pyridine",54.0,Nc1ccccn1.CSc1ccc(B(O)O)cc1>>CSc1ccc(Nc2ccccn2)cc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Any-Ester,False,Ar-B(OH)2,"Ar-NH2,Any-Ester","Ar-B(OH)2|Ar-NH2,Any-Ester",65.0,OB(O)c1ccccc1.CC(C)(C)OC(=O)n1ncc2ccc(N)cc21>>CC(C)(C)OC(=O)n1ncc2ccc(Nc3ccccc3)cc21,Cu(OAc)2,,DIPEA,DMF,,,,-0.8444407432001193
Ar-B(OH)2|RCH2-NHR -> Ar-NR2 || RCH2-OR,False,Ar-B(OH)2,"RCH2-NHR,RCH2-OR","Ar-B(OH)2|RCH2-NHR,RCH2-OR",90.0,OB(O)c1ccccc1.C1COCCN1>>c1ccc(N2CCOCC2)cc1.c1ccc(B2OB(c3ccccc3)OB(c3ccccc3)O2)cc1,Cu(0),,Py,DCM,,,,1.2080808993852439
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Any-Ester|Ar-R,False,"Ar-R,Ar-B(OH)2","Ar-NH2,Any-Ester","Ar-NH2,Any-Ester|Ar-R,Ar-B(OH)2",69.0,Cc1ccc(B(O)O)cc1.CC(C)(C)OC(=O)n1ncc2ccc(N)cc21>>Cc1ccc(Nc2ccc3cnn(C(=O)OC(C)(C)C)c3c2)cc1,Cu(OAc)2,,DIPEA,DMF,,,,-0.3202563076101765
Ar-B(OH)2|RCH2-NHR -> Ar-NR2 || RCH2-NR2,False,Ar-B(OH)2,"RCH2-NHR,RCH2-NR2","Ar-B(OH)2|RCH2-NHR,RCH2-NR2",68.0,OB(O)c1ccccc1.CN1CCNCC1>>CN1CCN(c2ccccc2)CC1.c1ccc(B2OB(c3ccccc3)OB(c3ccccc3)O2)cc1,Cu(0),,Py,DCM,,,,0.0
