Compound,CAS,smiles,source
2-Methyl-2-nitro-1-propanol,76-39-1,CC(C)(CO)[N+](=O)[O-],registry
Methyl oleate (methyl cis-9-octadecenoate),112-62-9,CCCCCCCCC=CCCCCCCCC(=O)OC,registry
3-Methyl-3-pentanol carbamate (Emylcamate),78-28-4,CCC(C)(CC)OC(=O)N,registry_or_pubchem_previous
2-Methyl-1-propanol (isobutanol),78-83-1,CC(C)CO,registry
Methyl stearate (methyl octadecanoate),122-61-8,CCCCCCCCCCCCCCCCCC(=O)OC.CCCCCCCCCCCCCCCCC(C)C(=O)O,pubchem_name
"RS-2-Methylsuccinic acid (2-methylbutane-1,4-dioic acid)",498-21-5,CC(CC(=O)O)C(=O)O,registry
"RS-3-Methyl-1-pentyn-3-ol carbamate (Meparfynol carbamate, )",302-66-9,C#CC(C)(CC)OC(N)=O,registry
N-Methylsuccinimide,1121-07-9,Cn1c(O)ccc1O,registry
N-Methylthioacetamide,5310-10-1,CC(=S)NC,registry_or_pubchem_previous
R(+)-2-Methylsuccinic acid,3641-51-8,C[C@H](CC(=O)O)C(=O)O,registry_or_pubchem_previous
R(+)-2-Methylsuccinic anhydride,83247-83-0,CC1CC(=O)OC1=O,registry_or_pubchem_previous
R(+)-2-Methylsuccinimide,117307-07-0,C[C@@H]1CC(=O)NC1=O,registry_or_pubchem_previous
RS-2-Methylsuccinic anhydride (pyrotartaric anhydride),4100-80-5,CC1CC(=O)OC1=O,registry_or_pubchem_previous
S(-)-2-Methylsuccinic acid,2174-58-5,C[C@@H](CC(=O)O)C(=O)O,registry_or_pubchem_previous
S(-)-2-Methylsuccinic anhydride,6973-20-2,C[C@H]1CC(=O)OC1=O,registry_or_pubchem_previous
"C6H6O4, M 142.1, m 300o, pK25 4.51, for cis,cis-acid",1119-72-8,O=C(O)C=CC=CC(=O)O,registry
"Mucochloric acid (2,3-dichloro-4-oxo-2-butenoic acid)",87-56-9,O=CC(Cl)=C(Cl)C(=O)O,registry
Myristic acid (tetradecanoic acid),544-63-8,CCCCCCCCCCCCCC(=O)O,registry
N-Monobutyl urea,592-31-4,CCCCNC(N)=O,registry
N-Monoethyl urea,625-52-5,CCNC(N)=O,registry
N-Monomethyl urea,598-50-5,CNC(=O)N,registry
N-Monopropyl urea,627-06-5,CCCNC(N)=O,registry
"Nitrilotriacetic acid [tris(carboxymethyl)amine, NTA, Complexone 1]",139-13-9,O=C(O)CN(CC(=O)O)CC(=O)O,registry
Nitroguanidine,556-88-7,N=C(N)N[N+](=O)[O-],registry
Nitromethane,75-52-5,C[N+](=O)[O-],registry
Nitrourea,556-89-8,NC(=O)N[N+](=O)[O-],registry
Octadecyl acetate,822-23-1,CCCCCCCCCCCCCCCCCCOC(C)=O,registry
N-Octacosane,630-02-4,CCCCCCCCCCCCCCCCCCCCCCCCCCCC,registry
N-Octacosanol (octacosyl alcohol),557-61-9,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,registry
N-Octadecane,593-45-3,CCCCCCCCCCCCCCCCCC,registry
"N-Octadecyl alcohol (stearyl alcohol, octadecanol)",112-92-5,CCCCCCCCCCCCCCCCCCO,registry
Octadecyl ether (dioctadecyl ether),6297-03-6,CCCCCCCCCCCCCCCCCCOCCCCCCCCCCCCCCCCCC,registry_or_pubchem_previous
"Octane-4,5-diol (dipropyl glycol)",110-98-5,CC(O)COCC(C)O,registry
"RS-Octane-1,2-diol",1117-86-8,CCCCCCC(CO)O,registry
"S-(-)-Octane-1,2-diol",87720-91-0,CCCCCC[C@@H](CO)O,registry_or_pubchem_previous
"The free base is obtained by shaking with 10% KOH solution, extracting into Et2O, drying (K2CO3), evaporating and distilling the residue in a vacuum",1838-08-0,CCCCCCCCCCCCCCCCCCN,registry
"Octane-1,8-diol (octamethylene glycol)",629-41-4,OCCCCCCCCO,registry
"2-Oxoglutaric acid (2-oxopentane-1,5-dioic, ��-ketoglutaric acid)",328-50-7,O=C(O)CCC(=O)C(=O)O,registry
"Oleic acid (OLA, cis-9-octadecenoic acid, olainic acid)",112-80-1,CCCCCCCCC=CCCCCCCCC(=O)O,registry
Oleyl alcohol,143-28-2,CCCCCCCCC=CCCCCCCCCO,registry
Oxalic acid (2H2O),6153-56-6,C(=O)(O)C(=O)O.O.O,registry
Oxaloacetic acid,328-42-7,O=C(O)CC(=O)C(=O)O,registry
Oxamide,471-46-5,NC(=O)C(N)=O,registry
Palmitic acid anhydride (hexadecanoic anhydride),623-65-4,CCCCCCCCCCCCCCCC(=O)OC(=O)CCCCCCCCCCCCCCC,registry
N-Octylammonium hexadecanoate,88020-97-7,,unresolved
Pentabromoacetone,79-49-2,C(C(=O)C(Br)(Br)Br)(Br)Br,registry_or_pubchem_previous
Pentadecafluoro octanoic acid (perfluorocaprylic acid),335-67-1,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,registry
Pentadecanoic acid,1002-84-2,CCCCCCCCCCCCCCC(=O)O,registry
"Pentadecanolide (1-oxacyclohexadecan-2-one, pentadecanoic-��-lactone, 15-hydroxypentadecanoic lactone, exaltolide, Tibetolide)",106-02-5,C1CCCCCCCOC(=O)CCCCCC1,registry
"C H O 7 14 2, M 130.1, has b 130-131 /atm o , [��] D 20 +17.6 (neat or petroleum ether). The S-1-naphthylurethane",120055-35-8,,unresolved
"C7H14O2, M 130.1, has b 133.5o/atm, and the 1-naphthylurethane",111994-17-1,,unresolved
"C7H14O2, M 130.1, has b 133o/atm, [��] D 20 ?17.6 (neat). The R-1-naphthylurethane",120055-25-6,,unresolved
"Phorone (2,6-dimethylhepta-2,5-dien-4-one)",504-20-1,CC(=CC(=O)C=C(C)C)C,registry_or_pubchem_previous
"Pimelic acid (heptane-1,7-dioic acid)",111-16-0,O=C(O)CCCCCC(=O)O,registry
"Pinacol (anhydrous) (2,3-dimethyl-2,3-butanediol)",76-09-5,CC(C)(C(C)(C)O)O,registry_or_pubchem_previous
Pinacolone oxime,2475-93-6,CC(=NO)C(C)(C)C,registry
Pivalic acid (trimethylacetic acid),75-98-9,CC(C)(C)C(=O)O,registry
Polyethylene,9002-88-4,CC,registry
"S-(-)-Propane-1,2-diol bis(p-toluenesulfonate)",60434-71-1,CC1=CC=C(C=C1)S(=O)(=O)OCC(C)OS(=O)(=O)C2=CC=C(C=C2)C,registry_or_pubchem_previous
Propionamide,79-05-0,CCC(N)=O,registry
The oxime,627-39-4,CCC=NO,registry_or_pubchem_previous
N-Propyl alcohol (1-propanol),71-23-8,CCCO,registry
"Ricinoleic acid (R 12-hydroxy-cis-9-octadecenoic acid, 12-hydroxyoleic acid)",141-22-0,CCCCCCC(O)CC=CCCCCCCCC(=O)O,registry
"Sebacic acid (1,10-decanedioic acid)",111-20-6,O=C(O)CCCCCCCCC(=O)O,registry
Sebacic acid monomethyl ester,818-88-2,COC(=O)CCCCCCCCC(=O)O,registry
Semicarbazide hydrochloride (hydrazine carboxamide hydrochloride),563-41-7,NNC(N)=O,registry
"Solanone [S(+)-trans-2-methyl-5-isopropyl-1,3-nonan-8-one]",1937-54-8,C=C(C)C=CC(CCC(C)=O)C(C)C,registry
"Sorbic acid (2,4-hexadienoic acid)",110-44-1,CC=CC=CC(=O)O,registry
Stearic acid (octadecanoic acid),57-11-4,CCCCCCCCCCCCCCCCCC(=O)O,registry
"Suberic acid (hexane-1,6-dicarboxylic acid)",505-48-6,C(CCCC(=O)O)CCC(=O)O,registry
Succinamic acid (succinic acid amide),638-32-4,C(CC(=O)O)C(=O)N,registry
"C4H6O6, M 150.1, m 165-166o; monohydrate",5990-63-6,[C@@H]([C@@H](C(=O)O)O)(C(=O)O)O,registry_or_pubchem_previous
"D(-)-Tartaric acid (2S,3S-threaric acid",147-71-7,[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,registry_or_pubchem_previous
Succinamide,110-14-5,NC(=O)CCC(N)=O,registry
Succinic acid,110-15-6,O=C(O)CCC(=O)O,registry
"Succinic anhydride (dihydro-2,5-furandione)",108-30-5,Oc1ccc(O)o1,registry
"Succinimide (2,5-pyrrolidindione)",123-56-8,Oc1ccc(O)[nH]1,registry
"Succinonitrile (1,2-dicyanoethane)",110-61-2,N#CCCC#N,registry
Tetra-n-amylammonium bromide (tetra-n-pentylammonium bromide),866-97-7,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],registry_or_pubchem_previous
Tetra-n-amylammonium iodide,2498-20-6,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[I-],registry
Tetra-n-butylammonium bromide,1643-19-2,CCCC[N+](CCCC)(CCCC)CCCC,registry
Tetra-n-butylammonium chloride,1112-67-0,CCCC[N+](CCCC)(CCCC)CCCC,registry
Tetra-n-butylammonium hexafluorophosphate,3109-63-5,CCCC[N+](CCCC)(CCCC)CCCC,registry
Tetra-n-butylammonium hydrogen sulfate,32503-27-8,CCCC[N+](CCCC)(CCCC)CCCC.OS(=O)(=O)[O-],registry_or_pubchem_previous
Tetra-n-butylammonium iodide,311-28-4,CCCC[N+](CCCC)(CCCC)CCCC,registry
Tetra-n-butylammonium nitrate,1941-27-1,CCCC[N+](CCCC)(CCCC)CCCC.[N+](=O)([O-])[O-],registry
Tetra-n-butylammonium perchlorate,1923-70-2,CCCC[N+](CCCC)(CCCC)CCCC.[O-][Cl+3]([O-])([O-])[O-],registry
Tetra-n-butylammonium picrate,914-45-4,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],registry_or_pubchem_previous
Tetra-n-butylammonium tetrabutylborate (Bu4N+ Bu4B-),23231-91-6,[B-](CCCC)(CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC,registry_or_pubchem_previous
Tetra-n-butylammonium tetrafluoroborate,429-42-5,CCCC[N+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,registry
1-Tetradecanol (myristyl alcohol),112-72-1,CCCCCCCCCCCCCCO,registry
Tetracosane (C24),646-31-1,CCCCCCCCCCCCCCCCCCCCCCCC,registry
Tetracosanoic (lignoceric) acid,557-59-5,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O,registry_or_pubchem_previous
"Tetracyanoethylene (TCNE, ethylenetetracarbonitrile)",670-54-2,N#CC(C#N)=C(C#N)C#N,registry
Tetradecyl ether (di-tetradecyl ether),5412-98-6,CCCCCCCCCCCCCCOCCCCCCCCCCCCCC,registry_or_pubchem_previous
Tetradecyltrimethylammonium bromide (myristyl trimethylammonium bromide),1119-97-7,CCCCCCCCCCCCCC[N+](C)(C)C,registry
Tetraethylammonium iodide,68-05-3,CC[N+](CC)(CC)CC.[I-],registry
Tetraethylammonium perchlorate,2567-83-1,CC[N+](CC)(CC)CC.[O-][Cl+3]([O-])([O-])[O-],registry
Tetraethylammonium picrate,741-03-7,CC[N+](CC)(CC)CC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],pubchem_name
Tetraethylammonium tetrafluoroborate,429-06-1,CC[N+](CC)(CC)CC.F[B-](F)(F)F,registry
Tetra-n-heptylammonium bromide,4368-51-8,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC,registry
Tetra-n-heptylammonium iodide,3535-83-9,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[I-],registry
"Tetraethyl 1,1,2,2-ethanetetracarboxylate",632-56-4,CCOC(=O)C(C(=O)OCC)C(C(=O)OCC)C(=O)OCC,registry
Tetraethylammonium tetraphenylborate,12099-10-4,[B-](C1=CC=CC=C1)(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.CC[N+](CC)(CC)CC,pubchem_name
"Tetraethylenepentamine (TEPA, tetrene)",112-57-2,C(CNCCNCCNCCN)N,registry_or_pubchem_previous
Tetra-n-hexylammonium chloride,5922-92-9,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],registry_or_pubchem_previous
Tetrahexylammonium perchlorate,4656-81-9,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[O-]Cl(=O)(=O)=O,registry
Tetramethylammonium bromide,64-20-0,C[N+](C)(C)C,registry
Tetramethylammonium chloride (TMA),75-57-0,C[N+](C)(C)C.[Cl-],registry
Tetramethylammonium hexafluorophosphate,558-32-7,C[N+](C)(C)C,registry
Tetramethylammonium iodide,75-58-1,C[N+](C)(C)C,registry
Tetramethylammonium nitrate,1941-24-8,C[N+](C)(C)C.[N+](=O)([O-])[O-],registry
Tetramethylammonium perchlorate,2537-36-2,C[N+](C)(C)C.[O-]Cl(=O)(=O)=O,registry
Tetramethylammonium tetraphenylborate,15525-13-0,[B-](C1=CC=CC=C1)(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.C[N+](C)(C)C,registry_or_pubchem_previous
Tetramethylethylenediamine dihydrochloride,7677-21-8,,unresolved
"Tetramethylthiuram disulfide [bis-(dimethylthiocarbamyl)disulfide, Thiram]",137-26-8,CN(C)C(=S)SSC(=S)N(C)C,registry
Tetranitromethane (TNM),509-14-8,C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],registry_or_pubchem_previous
"3,3'-Thiodipropionic acid (bis[2-carboxyethyl]sulfide)",111-17-1,O=C(O)CCSCCC(=O)O,registry
Tetra-n-propylammonium bromide,1941-30-6,CCC[N+](CCC)(CCC)CCC,registry
Tetra-n-propylammonium iodide,631-40-3,CCC[N+](CCC)(CCC)CCC,registry
Tetra-n-propylammonium perchlorate,15780-02-6,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,registry_or_pubchem_previous
Thioacetamide,62-55-5,CC(N)=S,registry
"Thiodiglycollic acid (2,2��-dithioacetic acid)",123-93-3,C(C(=O)O)SCC(=O)O,registry
Thioformamide,115-08-2,C(=S)N,registry_or_pubchem_previous
Thiosemicarbazide,79-19-6,C(=S)(N)NN,registry
Thiourea,62-56-6,NC(N)=S,registry
"Tiglic acid (trans-2,3-dimethylacrylic acid)",80-59-1,CC=C(C)C(=O)O,registry
Tri-n-butylammonium hydrobromide,37026-85-0,CCCCN(CCCC)CCCC.Br,registry_or_pubchem_previous
Tri-n-butylammonium nitrate,33850-87-2,CCCC[NH+](CCCC)CCCC.[N+](=O)([O-])[O-],pubchem_name
Tri-n-butylammonium perchlorate,14999-66-7,CCCC[NH+](CCCC)CCCC.[O-]Cl(=O)(=O)=O,registry_or_pubchem_previous
Tribromochloromethane,594-15-0,ClC(Br)(Br)Br,registry
"Tricarballylic acid (propane-1,2,3-tricarboxylic acid)",99-14-9,O=C(O)CC(CC(=O)O)C(=O)O,registry
"trans-Traumatic acid (2-dodecene-1,12-dioic acid)",6402-36-4,C(CCCCC(=O)O)CCC/C=C/C(=O)O,registry_or_pubchem_previous
Trichloroacetic acid (TCA),76-03-9,C(=O)(C(Cl)(Cl)Cl)O,registry
7-Tridecanone (dihexyl ketone),462-18-0,CCCCCCC(=O)CCCCCC,registry_or_pubchem_previous
Tri-n-dodecylamine (Hydrogen ionophore I),102-87-4,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,registry
Tri-n-dodecylammonium nitrate,2305-34-2,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC.[N+](=O)(O)[O-],registry_or_pubchem_previous
Tri-n-dodecylammonium perchlorate,5838-82-4,CCCCCCCCCCCC[NH+](CCCCCCCCCCCC)CCCCCCCCCCCC.[O-]Cl(=O)(=O)=O,pubchem_name
Tridecanoic acid,638-53-9,CCCCCCCCCCCCC(=O)O,registry_or_pubchem_previous
Triethanolamine hydrochloride,637-39-8,CCN(CC)CC.Cl,registry
Triethylamine,121-44-8,CCN(CC)CC,registry
Triethylammonium bromide,636-70-4,CCN(CC)CC,registry
Triethylammonium iodide,4636-73-1,CC[NH+](CC)CC.[I-],registry_or_pubchem_previous
Triethylammonium trichloroacetate,4113-06-8,CCN(CC)CC.C(=O)(C(Cl)(Cl)Cl)O,registry_or_pubchem_previous
"Triethylenetetramine (TRIEN, TETA, trientine, H2NCH2CH2NHCH2CH2NHCH2CH2NHCH2CH2NH2)",112-24-3,C(CNCCNCCN)N,registry
Triethylenetetramine tetrahydrochloride (TRIEN HCl),4961-10-4,,unresolved
Triethyloxonium tetrafluoroborate,368-39-8,CC[O+](CC)CC.F[B-](F)(F)F,registry
"1,1,1-Trifluoro-2,4-pentanedione (��,��,��-trifluoroacetlyacetone, tfacac or facac)",367-57-7,CC(=O)CC(=O)C(F)(F)F,registry
Trimethylamine hydrochloride,593-81-7,CN(C)C,registry
Trimethylamine hydroiodide,20230-89-1,CN(C)C.I,registry_or_pubchem_previous
Tri-n-octylamine,1116-76-3,CCCCCCCCN(CCCCCCCC)CCCCCCCC,registry
Tri-n-octylammonium chloride,1188-95-0,CCCCCCCCN(CCCCCCCC)CCCCCCCC,registry
Tri-n-octylammonium perchlorate,2861-99-6,CCCCCCCCN(CCCCCCCC)CCCCCCCC.OCl(=O)(=O)=O,registry_or_pubchem_previous
Trimethylsulfonium iodide,2181-42-2,C[S+](C)C,registry
"Trimyristin [glyceryl trimyristate, glyceryl tri(tetradecanoate)]",555-45-3,CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC,registry
"Tripalmitin [glyceryl tripalmitate, glyceryl tri(hexadecanoate)]",555-44-2,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,registry
"1,1,1-Tris(hydroxymethyl)ethane (2-hydroxymethyl-2-methyl-1,3-propanediol)",77-85-0,CC(CO)(CO)CO,registry
N-Tris(hydroxymethyl)methyl-2-aminomethanesulfonic acid (TES) C6H5NO6S,7365-44-8,O=S(=O)(O)CCNC(CO)(CO)CO,registry
Tris(hydroxymethyl)methylammonium hydrochloride (TRIS-HCl),1185-53-1,NC(CO)(CO)CO,registry
"Tris(hydroxymethyl)nitromethane [2-(hydroxymethyl)-2-nitro-1,3-propanediol]",126-11-4,O=[N+]([O-])C(CO)(CO)CO,registry
"1,11-Undecanedicarboxylic acid (Brassylic acid, 1,13-tridecanedicarboxylic acid)",505-52-2,C(CCCCCC(=O)O)CCCCCC(=O)O,registry
"Triuret (1,3-dicarbamoylurea, carbonyldiurea)",556-99-0,C(=O)(N)NC(=O)NC(=O)N,registry_or_pubchem_previous
Undec-10-enoic acid (undecylenic acid),112-38-9,C=CCCCCCCCCC(=O)O,registry
Undecan-1-ol,112-42-5,CCCCCCCCCCCO,registry
"Undecanoic acid (C11, undecylic acid, hendecanoic acid)",112-37-8,CCCCCCCCCCC(=O)O,registry
Urea (carbamide),57-13-6,NC(N)=O,registry
Urea nitrate,124-47-0,C(=O)(N)N.[N+](=O)(O)[O-],registry_or_pubchem_previous
"Urethane (ethyl carbamate, ethyl urethane)",51-79-6,CCOC(=O)N,registry
cis-Vaccenic acid (octadec-11-enoic acid),506-17-2,CCCCCC/C=C\CCCCCCCCCC(=O)O,registry_or_pubchem_previous
N-Valeramide (pentanamide),626-97-1,CCCCC(=O)N,registry
trans-Vaccenic acid (octadec-11-enoic acid),693-72-1,CCCCCC/C=C/CCCCCCCCCC(=O)O,registry_or_pubchem_previous
Vinyl stearate,111-63-7,CCCCCCCCCCCCCCCCCC(=O)OC=C,registry_or_pubchem_previous
"2-Acetyl-5,5-dimethylcyclohexane-1,3-dione (2-acetyldimedone)",1755-15-3,CC(=O)C1C(=O)CC(C)(C)CC1=O,registry
2-Acetylcyclohexanone,874-23-7,CC(=O)C1CCCCC1=O,registry
Abietic acid,514-10-3,CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,registry
1-Adamantane acetic acid,4942-47-6,O=C(O)CC12CC3CC(CC(C3)C1)C2,registry
1-Adamantane carboxylic acid,828-51-3,O=C(O)C12CC3CC(CC(C3)C1)C2,registry
4-Acetyl-1-methyl-1-cyclohexene,6090-09-1,CC1=CCC(CC1)C(=O)C,registry_or_pubchem_previous
"Adamantane (tricyclo[3.3.1.13,7]-decane)",281-23-2,C1C2CC3CC1CC(C2)C3,registry
"1,3-Adamantane dicarboxylic acid",39269-10-8,O=C(O)C12CC3CC(C1)CC(C(=O)O)(C3)C2,registry
1-Adamantanol (1-hydroxyadamantane),768-95-6,C1C2CC3CC1CC(C2)(C3)O,registry
2-Adamantanol (2-hydroxyadamantane),700-57-2,OC1C2CC3CC(C2)CC1C3,registry
N-(1-Adamantyl)acetamide,880-52-4,CC(=O)NC12CC3CC(C1)CC(C3)C2,registry
The amide,5511-18-3,,unresolved
1-Adamantyl bromomethylketone,5122-82-7,C1C2CC3CC1CC(C2)(C3)C(=O)CBr,registry_or_pubchem_previous
1-Adamantyl chloride,935-56-8,C1C2CC3CC1CC(C2)(C3)Cl,registry
1-Adamantyl chloroformate,5854-52-4,C1C2CC3CC1CC(C2)(C3)OC(=O)Cl,registry_or_pubchem_previous
1-Adamantyl fluoride (1-fluoroadamantane),768-92-3,C1C2CC3CC1CC(C2)(C3)F,registry_or_pubchem_previous
1-Adamantyl fluoroformate,62087-82-5,C1C2CC3CC1CC(C2)(C3)OC(=O)F,registry_or_pubchem_previous
1-Adamantyl iodide (1-iodoadamantane),768-93-4,C1C2CC3CC1CC(C2)(C3)I,registry_or_pubchem_previous
1-Adamantyl isocyanate,4411-25-0,C1C2CC3CC1CC(C2)(C3)N=C=O,registry_or_pubchem_previous
1-Adamantyl isothiocyanate,4411-26-1,C1C2CC3CC1CC(C2)(C3)N=C=S,registry_or_pubchem_previous
"1-Adamantyl methyl ketone oxime, m 182-184o, (used for the preparation of Rimantadine hydrochloride see",1501-84-4,CC(N)C12CC3CC(CC(C3)C1)C2,registry
"C12H18O, M 178.3, m 53-55o, 54-55o. The ketone is prepared by bubbling acetylene through a vigorously stirred solution of 1-adamantylbromide (1g, see",769-90-1,,unresolved
N-(1-Adamantyl)urea,13072-69-0,C1C2CC3CC1CC(C2)(C3)NC(=O)N,registry_or_pubchem_previous
"1,1'-Azobis(cyclohexane carbonitrile)",2094-98-6,C1CCC(CC1)(C#N)N=NC2(CCCCC2)C#N,registry_or_pubchem_previous
"Cis-(��)-(1-RS,2-SR-)-6-Amino-3-cyclohexene-1-carboxylic acid [cis-(��)-1,2,3,6-tetrahydroanthranilic acid]",54162-90-2,C1C=CC[C@@H]([C@@H]1C(=O)O)N,registry_or_pubchem_previous
"has m 85-87o (from Et2O). The trans- (��)-(1RS,2RS)-amino-acid",97945-19-2,C1C=CC[C@H]([C@@H]1C(=O)O)N,registry_or_pubchem_previous
"?-Amyrin (Olean-12-en-3��-ol, ��-amyrenol)",508-04-3,C[C@@]12CC[C@@]3(C(=C1CC(CC2)(C)C)CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)C,registry_or_pubchem_previous
"��-Amyrin (Urs-12-en-3��-ol, ��-amyrenol, Viminalol)",638-95-9,CC1CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C,registry
(��)-Borneol,6627-72-1,CC1(C)C2CCC1(C)C(O)C2,registry
"1R-2-endo-Borneol {endo-(1R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol, (+)-borneol}",464-43-7,C[C@@]12CC[C@@H](C1(C)C)C[C@@H]2O,registry_or_pubchem_previous
3-Bromoadamantane-1-carboxylic acid,21816-08-0,O=C(O)C12CC3CC(CC(Br)(C3)C1)C2,registry
4-tert-Butyl-1-cyclohexanone,98-53-3,CC(C)(C)C1CCC(=O)CC1,registry
"1S(-)-Camphene (1S-2,2-dimethyl-3-methylene norbornane)",5794-04-7,CC1([C@H]2CC[C@H](C2)C1=C)C,registry_or_pubchem_previous
"RS-Camphene (2,2-dimethyl-3-methylenebicyclo[2.2.1]heptane","79-92-5, 565-00-4",CC1(C2CCC(C2)C1=C)C,pubchem_cas
The R-oxime,2792-42-9,C[C@@]12CC[C@@H](C1(C)C)CC2=NO,registry_or_pubchem_previous
The enantiomer 1R(+)-Camphene,5794-03-6,CC1([C@@H]2CC[C@@H](C2)C1=C)C,registry_or_pubchem_previous
"The enantiomer 1R,4S-(+)-camphanic acid",67111-66-9,,unresolved
"(��)-Camphoric anhydride {(��)-1,8,8-trimethyl-3-oxabicyclo[3.2.1]octane- 2,4-dione}","595-30-2, 76-32-4",CC1(C2CCC1(C(=O)OC2=O)C)C,registry
RS-Camphorquinone,10373-78-1,CC1(C2CCC1(C(=O)C2=O)C)C,registry
"(+)-Cedrol [octahydro-3,6,8,8-tetramethyl-1-3a,7-methanoazulen-6-ol, 8aS-6c-hydroxy-3c,6t,8,8-tetra- methyl(8ar-H)-octahydro-3H,3at,7t-methanoazulene]",77-53-2,C[C@@H]1CC[C@@H]2[C@]13CC[C@@]([C@H](C3)C2(C)C)(C)O,registry_or_pubchem_previous
"(-)-Caryophyllene oxide {1-S-5c-6t-epoxy-6c,10,10-trimethyl-2-methylene-1r,9t-bicyclo[7.2.0]undecane, (1R, 4R, 6R, 10S)-9-methylene-4,12,12-trimethyl-5-oxatricyclo[8.2.0.04,6]dodecane}",1139-30-6,C[C@@]12CC[C@@H]3[C@H](CC3(C)C)C(=C)CC[C@H]1O2,registry_or_pubchem_previous
"Caryophyllene {previously known as ��-caryophyllene see above, trans-(-)-��-caryophyllene (-)-trans-(1R, 9S)-8-methylene-4,11,11-trimethyl-bicyclo[7.2.0]undec-4-ene}",87-44-5,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,registry_or_pubchem_previous
The synthetic racemic (��)-Cedrol,22567-44-8,C[C@@H]1CC[C@@H]2[C@]13CC[C@@]([C@H](C3)C2(C)C)(C)O,registry_or_pubchem_previous
"Chlorendic anhydride (1,4,5,6,7,7-hexachloro-5-norbornene-2,3-dicarboxylic anhydride)",115-27-5,Oc1oc(O)c2c1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,registry
S(+)-Chaulmoogric acid [13(cyclopent-2-enyl-1(S)-yl)tridecanoic acid],29106-32-9,O=C(O)CCCCCCCCCCCCC1C=CCC1,registry
The Me ester,24828-59-9,COC(=O)CCCCCCCCCCCCC1C=CCC1,registry
"prepared it by adding SOCl2 (38ml, 0.52mol, CARE lachrymmatory) to 4- hydroxyadamantan-1-one (6.16g, 37.1mmol, see",20098-14-0,O=C1C2CC3CC1CC(O)(C3)C2,registry
"Cyclobutane-1,1-dicarboxylic acid",5445-51-2,O=C(O)C1(C(=O)O)CCC1,registry
"The dicarboxylic acid was resolved via the (+)-quinine salt whereby the least soluble (+)-quinine/(-)- acid salt crystallised from H2O, and from which pure 1R,2R-(-)-dicarboxylic acid",17224-72-5,C1C[C@H]([C@@H]1C(=O)O)C(=O)O,registry_or_pubchem_previous
The dimethyl ester,2607-03-6,COC(=O)C1CCC1C(=O)OC,registry_or_pubchem_previous
The methyl ester,3396-20-1,COC(=O)C1CCC1C(=O)OC,registry_or_pubchem_previous
"cis-Cyclobutane-1,2-dicarboxylic acid (meso-isomer)",1461-94-5,O=C(O)C1CCC1C(=O)O,registry
cis-Cyclodecene,935-31-9,C1CCCC/C=C\CCC1,registry_or_pubchem_previous
"C7H13NO, M 127.2, has m 186-188o (from aqueous EtOH), the carbonitrile",766-05-2,C1CCC(CC1)C#N,registry_or_pubchem_previous
Cyclohexane butyric acid,4441-63-8,O=C(O)CCCC1CCCCC1,registry
Cyclohexane carboxylic acid (hexahydrobenzoic acid),98-89-5,O=C(O)C1CCCCC1,registry
"(��)-trans-1,2-Cyclohexanediol",1460-57-7,OC1CCCCC1O,registry
