Compound,CAS,smiles,source
Hexamethylenediamine dihydrochloride,6055-52-3,C(CCCN)CCN.Cl.Cl,registry_or_pubchem_previous
(��)-5-Hexyn-3-ol (4-hydroxy-1-hexyne),19780-84-8,C#CCC(O)CC,registry
12-Hydroxydodecanoic acid (12-hydroxylauric acid),505-95-3,O=C(O)CCCCCCCCCCCO,registry
Hexyltrimethylammonium bromide,2650-53-5,CCCCCC[N+](C)(C)C,registry
"Hydrazine N,N'-dicarboxylic acid diamide",110-21-4,NC(=O)NNC(N)=O,registry
N-[2-Hydroxyethyl]ethylenediamine [2-(2-aminoethylamino)ethanol],111-41-1,NCCNCCO,registry
"2-Hydroxy-2-methylpropionic acid (��-hydroxyisobutyric acid, 2-methyllactic acid)",594-61-6,CC(C)(O)C(=O)O,registry
2-Hydroxyethylimino-tris(hydroxymethyl)methane (MONO-TRIS),7343-51-3,C(CO)NC(CO)(CO)CO,registry_or_pubchem_previous
3-Hydroxy-3-methylglutaric acid (Meglutol),503-49-1,CC(CC(=O)O)(CC(=O)O)O,registry_or_pubchem_previous
Crystallise the (��)-acid from EtOH/petroleum ether or ether/ligroin,70267-27-5,CCCCCC[C@@H](C(=O)O)O,registry_or_pubchem_previous
"N-Hydroxyethyliminodiacetic acid (HIMDA, ethanol diglycine)",93-62-9,C(CO)N(CC(=O)O)CC(=O)O,registry_or_pubchem_previous
N-[2-Hydroxyethyl]ethylenediaminetriacetic acid (HEDTA),150-39-0,C(CN(CC(=O)O)CC(=O)O)N(CCO)CC(=O)O,registry_or_pubchem_previous
dl-2-Hydroxy-2-methylbutyric acid,3739-30-8,CCC(C)(C(=O)O)O,registry_or_pubchem_previous
dl-2-Hydroxy-3-methylbutyric (��-hydroxyisovaleric) acid,4026-18-0,CC(C)C(C(=O)O)O,registry
(��)-2-Hydroxy-n-tetradecanoic acid (��-hydroxymyristic acid),2507-55-3,CCCCCCCCCCCCC(O)C(=O)O,registry
Iminodiacetic acid,142-73-4,C(C(=O)O)NCC(=O)O,registry
Iodoacetamide,144-48-9,C(C(=O)N)I,registry
Iodoacetic acid,64-69-7,O=C(O)CI,registry
Iodoform,75-47-8,IC(I)I,registry
Methyl R(-)-2-hydroxy-n-tetradecanoate,149948-89-0,,unresolved
N-Hydroxysuccinimide,6066-82-6,Oc1ccc(O)n1O,registry
N-Iodosuccinimide,516-12-1,Oc1ccc(O)n1I,registry
R(-)-2-Hydroxy-n-tetradecanoic acid,26632-17-7,,unresolved
Isobutyramide (2-methylpropionamide),563-83-7,CC(C)C(N)=O,registry
Isonitrosoacetone (anti-pyruvic aldehyde-1-oxime),31915-82-9,CC(=O)/C=N/O,registry_or_pubchem_previous
Isopropyl acrylamide,2210-25-5,CC(C)NC(=O)C=C,registry_or_pubchem_previous
"Itaconic acid (2-propen-1,2-dicarboxylic acid)",97-65-4,C=C(CC(=O)O)C(=O)O,registry
"Itaconic anhydride (2-propen-1,2-dicarboxylic anhydride)",2170-03-8,C=C1CC(=O)OC1=O,registry_or_pubchem_previous
L(+)-Lactic acid (S(+)-2-hydroxypropionic acid),79-33-4,CC(C(=O)O)O,registry
Lauric acid (1-dodecanoic acid),143-07-7,CCCCCCCCCCCC(=O)O,registry_or_pubchem_previous
L-Malic acid [S(-)-2-hydroxysuccinic acid],97-67-6,C([C@@H](C(=O)O)O)C(=O)O,registry_or_pubchem_previous
Lauroyl peroxide (di-[dodecanoyl] peroxide),105-74-8,CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC,registry
"Maleic acid (toxilic acid, cis-butenedioic acid)",110-16-7,C(=C\C(=O)O)\C(=O)O,registry_or_pubchem_previous
Maleuric acid (Z-N-carbamoylmaleamic acid),105-61-3,NC(=O)NC(=O)C=CC(=O)O,registry
Malonamide (malondiamide),108-13-4,NC(=O)CC(N)=O,registry
Malonic acid,141-82-2,O=C(O)CC(=O)O,registry
Malononitrile (dicyanomethane),109-77-3,N#CCC#N,registry
"Meprobamate [2,2-di(carbamoyloxymethyl)pentane]",57-53-4,CCCC(C)(COC(N)=O)COC(N)=O,registry
Z-Maleamic acid (cis-maleic acid monoamide),557-24-4,NC(=O)C=CC(=O)O,registry
Mesaconic acid (methylfumaric acid),498-24-8,CC(=CC(=O)O)C(=O)O,registry
Mesityl oxide (4-methyl-3-penten-2-one),141-79-7,CC(=O)C=C(C)C,registry
Methacrylamide,79-39-0,C=C(C)C(N)=O,registry
Methoxyamine hydrochloride (O-methylhydroxylamine HCl),593-56-6,CON,registry
N-Methylacetamide,79-16-3,CNC(C)=O,registry
2-Methylbutane (isopentane),78-78-4,CCC(C)C,registry
Methyl acetimidate hydrochloride,14777-27-6,COC(C)=N,registry
Methylamine hydrochloride,593-51-1,CN.Cl,registry_or_pubchem_previous
Methyl carbamate (urethylane),598-55-0,COC(N)=O,registry
Methyl cyanoformate,17640-15-2,COC(=O)C#N,registry
Methyl decanoate (methyl caprate),110-42-9,CCCCCCCCCC(=O)OC,registry
N-Methyleneaminoacetonitrile (MAAN),109-82-0,C=NCC#N,registry
2-Methylglutaric acid,18069-17-5,CC(CCC(=O)O)C(=O)O,registry
3-Methylglutaric acid,626-51-7,CC(CC(=O)O)CC(=O)O,registry
N-Methyl ethylamine hydrochloride,624-60-2,CCNC,registry
Methylmalonic acid (2-methylpropanedioic acid),516-05-2,CC(C(=O)O)C(=O)O,registry
N-Methyl maleimide,930-88-1,CN1C(=O)C=CC1=O,registry
"o-Methylisourea hydrogen sulfate (2-methylpseudourea sulfate, O-methylisourea bisulfate)",29427-58-5,COC(=N)N,registry
"2-Methyl-2-nitro-1,3-propanediol",77-49-6,CC(CO)(CO)[N+](=O)[O-],registry
