reaction_smiles,reaction_label,spectator_groups
c1ccc2c(c1)Nc1ccccc1S2.Brc1cccc2[nH]ccc12>>Brc1cccc2[nH]cc(N3c4ccccc4Sc4ccccc43)c12,(Ar–Br + HeteroAr–HeteroAr–NH) OR (intramolecular Ar–Br / AromN–H) →,
C#Cc1ccccc1.COc1ccc(NC(=N)c2ccccc2Cl)cc1OC>>COc1ccc(-n2c(-c3ccccc3)cc3ccccc3c2=O)cc1OC,(Ar–Cl + R–C≡C–H) OR (intramolecular Ar–Cl / Alkenyl–NH) OR (intramolecular Ar–Cl / Ar–Alkenyl–NH) →,
Ic1ccccc1.Cc1ccccc1N=C(NN)C(F)(F)F.O=COc1cc(OC=O)cc(OC=O)c1>>Cc1ccccc1-n1c(-c2ccccc2)nnc1C(F)(F)F,(Ar–I + N–NH2) OR (Ar–I + R–NH–NH) →,
C[C@@H](N)c1ccccc1.FC(F)(F)c1cncc(Br)c1>>C[C@@H](Nc1cncc(C(F)(F)F)c1)c1ccccc1,HeteroAr–Br + R–NH2 → HeteroAr–NH–R,heteroaryl_nitrogen
COC(=O)c1ccc(Br)c(N=C(Nc2ccc(OC)cc2C)C(F)(F)F)c1>>COC(=O)c1ccc2c(c1)nc(C(F)(F)F)n2-c1ccc(OC)cc1C,intramolecular (5-membered ring) Ar–Br / Ar–Alkenyl–NH → Ar–N(Ar)(Alkenyl),imine; ester; ether
C[C@H](N)C(C)(C)C.Fc1cc(F)c(-c2c(Cl)nc3ncnn3c2Cl)c(F)c1>>C[C@H](Nc1c(-c2c(F)cc(F)cc2F)c(Cl)nc2ncnn12)C(C)(C)C,HeteroAr–Cl + R–NH2 → HeteroAr–NH–R,heteroaryl_nitrogen; aryl_halide; heteroaryl_nitrogen; aryl_halide; aryl_halide; heteroaryl_nitrogen; heteroaryl_nitrogen; aryl_halide
CNCCc1ccc(OC)cc1.O=C(NCC1CC1)c1cc(N2CCOCC2)nc(Cl)n1>>COc1ccc(CCN(C)c2nc(C(=O)NCC3CC3)cc(N3CCOCC3)n2)cc1,HeteroAr–Cl + R1R2–NH → HeteroAr–NR1R2,ether; heteroaryl_nitrogen; heteroaryl_nitrogen; amide; tertiary_amine; ether
O=C(OCc1ccccc1)N1CCNCC1c1ccccc1.O=C(NCC1CC1)c1cc(N2CCOCC2)nc(Cl)n1>>O=C(NCC1CC1)c1cc(N2CCOCC2)nc(N2CCN(C(=O)OCc3ccccc3)C(c3ccccc3)C2)n1,HeteroAr–Cl + R1R2–NH → HeteroAr–NR1R2,carbamate; heteroaryl_nitrogen; heteroaryl_nitrogen; amide; tertiary_amine; ether
C1COCCN1.CCNC(=O)c1cc(Cl)nc(Cl)n1>>CCNC(=O)c1cc(N2CCOCC2)nc(Cl)n1,HeteroAr–Cl + R1R2–NH → HeteroAr–NR1R2,ether; heteroaryl_nitrogen; aryl_halide; amide; heteroaryl_nitrogen
C1NCC12COC2.O=C(O)C(=O)O.O=C(NCC1CC1)c1cc(Cl)nc(Cl)n1>>O=C(NCC1CC1)c1cc(N2CC3(COC3)C2)nc(Cl)n1,HeteroAr–Cl + R1R2–NH → HeteroAr–NR1R2,ether; carboxylic_acid; carboxylic_acid; heteroaryl_nitrogen; aryl_halide; amide; heteroaryl_nitrogen
Clc1n[nH]c2ccccc12.CC(C)(C)OC(=O)N[C@H]1C[C@@H](I)C1>>CC(C)(C)OC(=O)N[C@H]1C[C@H](n2nc(Cl)c3ccccc32)C1,(HeteroAr–Cl + RO–C(O)–NHR) OR (intramolecular HeteroAr–Cl / AromN–H) →,
OB(O)c1ccccc1.Cn1ncc2c(=O)[nH]c(SCc3cccc(F)c3)cc21>>Cn1ncc2c(=O)n(-c3ccccc3)c(SCc3cccc(F)c3)cc21,Ar–B(OH)2 + AromN–H → Ar–AromN,heteroaryl_nitrogen; heteroaryl_nitrogen; aryl_halide
COCCN.C[C@@H]1CN(c2c(C3OCCO3)cc3c(-n4ncnc4Cl)noc3c2F)C[C@@H](C)O1>>COCCNc1ncnn1-c1noc2c(F)c(N3C[C@@H](C)O[C@H](C)C3)c(C3OCCO3)cc12,HeteroAr–Cl + R–NH2 → HeteroAr–NH–R,ether; heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen; aryl_halide; ether; ether; tertiary_amine; ether
C1CCNC1.Cn1c(Cl)nc2ccccc21>>C1CCNC1.Cl.Cn1c(N2CCCC2)nc2ccccc21,HeteroAr–Cl + R1R2–NH → HeteroAr–NR1R2,heteroaryl_nitrogen; heteroaryl_nitrogen
OB(O)C1CC1.FC1(F)CC(c2n[nH]cc2Oc2ccnc(Cl)c2)C1>>FC1(F)CC(c2nn(C3CC3)cc2Oc2ccnc(Cl)c2)C1,R–B(OH)2 + AromN–H → R–AromN,heteroaryl_nitrogen; ether; aryl_halide; heteroaryl_nitrogen
Fc1cccc2[nH]ccc12.COc1ccc(-c2ccc(Br)nc2)cc1C>>COc1ccc(-c2ccc(-n3ccc4c(F)cccc43)nc2)cc1C,HeteroAr–Br + AromN–H → HeteroAr–AromN,aryl_halide; heteroaryl_nitrogen; ether
CC[C@@H]1COCCN1.Cl.C[C@@H]1COCCN1c1nc(Cl)nc(Cl)n1>>CC[C@@H]1COCCN1c1nc(Cl)nc(N2CCOC[C@H]2C)n1,HeteroAr–Cl + R1R2–NH → HeteroAr–NR1R2,ether; heteroaryl_nitrogen; heteroaryl_nitrogen; aryl_halide; heteroaryl_nitrogen; tertiary_amine; ether
CN1CCNCC1.O=[N+]([O-])c1ccc(F)cc1>>CN1CCN(c2ccc([N+](=O)[O-])cc2)CC1,Ar–F + R1R2–NH → Ar–NR1R2,tertiary_amine; nitro; tertiary_amine
C1CC2(CCN1)OCCO2.Nc1nnc(Cl)cc1Br>>Nc1nnc(Cl)cc1N1CCC2(CC1)OCCO2,HeteroAr–Br + R1R2–NH → HeteroAr–NR1R2,ether; ether; aryl_halide; heteroaryl_nitrogen; primary_amine; heteroaryl_nitrogen
CCCCCCN.NS(=O)(=O)c1cc(C(=O)O)c(Cl)cc1F>>CCCCCCNc1cc(Cl)c(C(=O)O)cc1S(N)(=O)=O,Ar–F + R–NH2 → Ar–NH–R,aryl_halide; sulfonamide; carboxylic_acid
Cc1ccc(F)c([N+](=O)[O-])c1.COc1ccc(N)c(C(=O)O)c1>>COc1ccc(Nc2ccc(C)cc2[N+](=O)[O-])c(C(=O)O)c1,Ar–F + Ar–NH2 → Ar–NH–Ar,nitro; tertiary_amine; carboxylic_acid; ether
C1CNCCN1.Fc1ccccc1Cn1nc(-c2ncc(F)c(Cl)n2)cc1-c1ccon1>>Fc1ccccc1Cn1nc(-c2ncc(F)c(N3CCNCC3)n2)cc1-c1ccon1,HeteroAr–Cl + R1R2–NH → HeteroAr–NR1R2,secondary_amine; aryl_halide; heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen; aryl_halide
C1COCCN1.O=C(Nc1cccc2cccnc12)c1ccc(Cl)cc1>>O=C(Nc1cccc2cccnc12)c1ccc(Cl)cc1N1CCOCC1,(Ar–Cl + R1R2–NH) OR (intramolecular Ar–Cl / R–C(O)–NHR) →,
CS(C)=O.Cc1cc(C(=N)Nc2ccccc2)ccc1F>>Cc1cc(C2=NCOCN2c2ccccc2)ccc1F,(intramolecular Ar–F / Alkenyl–NH) OR (intramolecular Ar–F / Ar–Alkenyl–NH) →,
N#Cc1c(F)cc(B(O)O)cc1F.O=C(NC1CC(F)C1)c1cc2cccnc2[nH]1>>N#Cc1c(F)cc(-n2c(C(=O)NC3CC(F)C3)cc3cccnc32)cc1F,Ar–B(OH)2 + AromN–H → Ar–AromN,aryl_halide; aryl_halide; nitrile; amide; heteroaryl_nitrogen
C(#Cc1ccccc1)c1ccccc1.COc1ccc(NC(=O)c2cc(N)ccc2F)cc1>>COc1ccc(-n2c(-c3ccccc3)c(-c3ccccc3)c3ccc(N)cc3c2=O)cc1,(intramolecular Ar–F / Ar–NH2) OR (intramolecular Ar–F / R–C(O)–NHR) →,
Cc1ccc(O)cc1.C1CCN(C2CCNCC2)CC1>>Cc1ccc(N2CCC(N3CCCCC3)CC2)cc1,,
NC1COC1.COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Cl)ncc4Cl)cc3C2=O)c1>>COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5COC5)ncc4Cl)cc3C2=O)c1,HeteroAr–Cl + R–NH2 → HeteroAr–NH–R,ether; heteroaryl_nitrogen; heteroaryl_nitrogen; aryl_halide; amide; amide; alcohol; aryl_halide; ether
Clc1nc(Br)ns1.CC(C)(CN)c1ccc(F)cc1>>CC(C)(CNc1nc(Br)ns1)c1ccc(F)cc1,HeteroAr–Cl + R–NH2 → HeteroAr–NH–R,heteroaryl_nitrogen; aryl_halide; heteroaryl_nitrogen; aryl_halide
