canonical_reaction_smiles,reaction_display_label_detailed,original_reaction_type,detected_reaction_family,detection_status
CCCS.CCN(CC)c1ccc2c(Cl)c(C(=O)Oc3ccccc3)c(=O)oc2c1>>CCCSc1c(C(=O)Oc2ccccc2)c(=O)oc2cc(N(CC)CC)ccc12,HeteroAr–Cl + R–SH → HeteroAr–S–R; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Clc1ccccn1.Sc1ccc(Cl)cc1>>Clc1ccc(Sc2ccccn2)cc1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
COc1ccc(Cl)nn1.Sc1ccccc1>>COc1ccc(Sc2ccccc2)nn1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Brc1ccc2cc(Br)ccc2c1.CS.[Na]>>CSc1ccc2cc(SC)ccc2c1,(Ar–Br + R–SH) OR (intramolecular Ar¹–Br / Ar²–H) OR (intramolecular Ar–Br / Ar–H) →,C_S_Coupling,,ambiguous_reactants
CS.N#Cc1ccc(F)cc1.[Na]>>CSc1ccc(C#N)cc1,Ar–F + R–SH → Ar–S–R; edits: C–F bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
CC(=O)S.COc1ccc2c(c1)C(CC(=O)N(C)OC)c1cc(OC)ccc1[I+]2.O=S(=O)([O-])C(F)(F)F.[K]>>COc1ccc(I)c([C@@H](CC(=O)N(C)OC)c2cc(OC)ccc2SC(C)=O)c1,,C_S_Coupling,,unavailable
CCS.Ic1ccc2ccccc2c1.[Na]>>CCSc1ccc2ccccc2c1,Ar–I + R–SH → Ar–S–R; edits: C–I bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Cc1cc(OS(=O)(=O)C(F)(F)F)ccc1Br.SCc1ccc(Cl)cc1.[Na]>>Cc1cc(OS(=O)(=O)C(F)(F)F)ccc1SCc1ccc(Cl)cc1,Ar–Br + R–SH → Ar–S–R; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Fc1cc(F)c(F)c(F)c1F.Sc1ccccc1.[Na]>>Fc1cc(Sc2ccccc2)c(F)c(Sc2ccccc2)c1Sc1ccccc1,(Ar¹–F + Ar²–H) OR (Ar¹–F + Ar²–SH) OR (intramolecular Ar–F / Ar–H) →,C_S_Coupling,,ambiguous_reactants
CC1=C2C(=CC=C1)[I+]C1=CC=CC(C)=C12.[F-][P+5]([F-])([F-])([F-])([F-])[F-].O=C(S)c1c(Cl)cc(Cl)cc1Cl.[K]>>Cc1cccc(I)c1-c1c(C)cccc1SC(=O)c1c(Cl)cc(Cl)cc1Cl,,C_S_Coupling,,unavailable
