sample_row,reaction_smiles,cleaned_reaction_smiles,cleanup_applied,coordination_removed,counterion_removed,routing_route,routing_excluded,scope_excluded,scope_reason,decision,formed_motifs
653,CCO.Brc1ccccc1.O=C(C=Cc1cc2ccccc2nc1Cl)c1cccc2ccccc12>>CCOc1nc2ccccc2cc1C(=CC(=O)c1cccc2ccccc12)c1ccccc1,CCO.Brc1ccccc1.O=C(C=Cc1cc2ccccc2nc1Cl)c1cccc2ccccc12>>CCOc1nc2ccccc2cc1C(=CC(=O)c1cccc2ccccc12)c1ccccc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,HeteroAr-OR|Quinoline
654,Cc1cccc(O)c1.O=Cc1ccccc1F>>Cc1cccc(Oc2ccccc2C=O)c1,Cc1cccc(O)c1.O=Cc1ccccc1F>>Cc1cccc(Oc2ccccc2C=O)c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
655,Oc1ccc(O)cc1.O=Cc1ccc(F)cc1>>O=Cc1ccc(Oc2ccc(Oc3ccc(C=O)cc3)cc2)cc1,Oc1ccc(O)cc1.O=Cc1ccc(F)cc1>>O=Cc1ccc(Oc2ccc(Oc3ccc(C=O)cc3)cc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
656,C[C@H](N)CO.Clc1cc(-c2ccccn2)nc(-c2ccccn2)c1>>C[C@H](N)COc1cc(-c2ccccn2)nc(-c2ccccn2)c1,C[C@H](N)CO.Clc1cc(-c2ccccn2)nc(-c2ccccn2)c1>>C[C@H](N)COc1cc(-c2ccccn2)nc(-c2ccccn2)c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,HeteroAr-OR
657,Nc1ccccc1O.Fc1ccc(C(F)(F)F)cc1I>>Nc1ccccc1Oc1ccc(C(F)(F)F)cc1I,Nc1ccccc1O.Fc1ccc(C(F)(F)F)cc1I>>Nc1ccccc1Oc1ccc(C(F)(F)F)cc1I,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
658,CO.Clc1cc2c(cnn2C2CCOCC2)c(Cl)n1>>COc1nc(Cl)cc2c1cnn2C1CCOCC1,CO.Clc1cc2c(cnn2C2CCOCC2)c(Cl)n1>>COc1nc(Cl)cc2c1cnn2C1CCOCC1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,HeteroAr-OR
659,OC(C(F)(F)F)C(F)(F)F.COc1cc(OC)c([I+]c2ccc(-c3ccccc3)cc2)c(OC)c1.Cc1ccc(S(=O)(=O)[O-])cc1>>FC(F)(F)C(Oc1ccc(-c2ccccc2)cc1)C(F)(F)F,OC(C(F)(F)F)C(F)(F)F.COc1cc(OC)c([I+]c2ccc(-c3ccccc3)cc2)c(OC)c1.Cc1ccc(S(=O)(=O)[O-])cc1>>FC(F)(F)C(Oc1ccc(-c2ccccc2)cc1)C(F)(F)F,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,
660,Cc1cc(C)cc(O)c1.Clc1ccc(I)cc1>>Cc1cc(C)cc(Oc2ccc(Cl)cc2)c1,Cc1cc(C)cc(O)c1.Clc1ccc(I)cc1>>Cc1cc(C)cc(Oc2ccc(Cl)cc2)c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
661,Cc1ccccc1O.N#Cc1c(F)cccc1Br>>Cc1ccccc1Oc1cccc(Br)c1C#N,Cc1ccccc1O.N#Cc1c(F)cccc1Br>>Cc1ccccc1Oc1cccc(Br)c1C#N,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
662,O=C(O)c1ccccc1.[Ag].COc1ccc(I)cc1>>COc1ccc(OC(=O)c2ccccc2)cc1,O=C(O)c1ccccc1.[Ag].COc1ccc(I)cc1>>COc1ccc(OC(=O)c2ccccc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-COOR
663,Cc1ccccc1O.CCOC(=O)c1ccccc1I>>CCOC(=O)c1ccccc1Oc1ccccc1C,Cc1ccccc1O.CCOC(=O)c1ccccc1I>>CCOC(=O)c1ccccc1Oc1ccccc1C,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
664,Oc1cc(Cl)ccc1Cl.O=[N+]([O-])c1ccccc1F>>O=[N+]([O-])c1ccccc1Oc1cc(Cl)ccc1Cl,Oc1cc(Cl)ccc1Cl.O=[N+]([O-])c1ccccc1F>>O=[N+]([O-])c1ccccc1Oc1cc(Cl)ccc1Cl,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
665,Fc1cc(F)c(F)c(F)c1F.CCc1ccc(O)cc1.[Na]>>CCc1ccc(Oc2c(F)c(F)cc(F)c2F)cc1,Fc1cc(F)c(F)c(F)c1F.CCc1ccc(O)cc1.[Na]>>CCc1ccc(Oc2c(F)c(F)cc(F)c2F)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
