reaction_smiles,reaction_label,spectator_groups
Clc1nnnn1-c1ccccc1.Cc1nc(Br)c(C)c(C)c1O>>Cc1nc(Br)c(C)c(C)c1Oc1nnnn1-c1ccccc1,HeteroAr–Cl + HeteroAr–OH → HeteroAr–O–HeteroAr,heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen; aryl_halide
Cc1ccc(C(=O)O)cc1.CCOC(=O)c1ccc(Br)cc1>>CCOC(=O)c1ccc(OC(=O)c2ccc(C)cc2)cc1.CCOC(=O)c1ccc(C(=O)c2ccc(C)cc2)cc1,,
CO.Clc1nc(Cl)nc(Cl)n1.C1COCCN1.O=Cc1ccc(Cl)cc1>>COc1nc(NN=Cc2ccc(Cl)cc2)nc(N2CCOCC2)n1,(Ar–Cl + R1R2–NH) OR (Ar–Cl + R–OH) OR (HeteroAr–Cl + R1R2–NH) OR (HeteroAr–Cl + R–OH) OR (R–CH=O + R1R2–NH) →,
CC(C)(C)OC(=O)N1CC[C@H](O)C1.Fc1ccc2cncc(Br)c2c1>>CC(C)(C)OC(=O)N1CC[C@H](Oc2ccc3cncc(Br)c3c2)C1,Ar–F + R–OH → Ar–O–R,carbamate; aryl_halide; heteroaryl_nitrogen
Clc1ccccn1.CC(C)=CCCC(C)=CCO>>CC(C)=CCCC(C)=CCOc1ccccn1,HeteroAr–Cl + R–OH → HeteroAr–O–R,heteroaryl_nitrogen; alkene; alkene
Oc1ccc(O)cc1.O=[N+]([O-])c1ccc(F)c(C(F)(F)F)c1>>O=[N+]([O-])c1ccc(Oc2ccc(O)cc2)c(C(F)(F)F)c1,Ar–F + Ar–OH → Ar–O–Ar,phenol; nitro; tertiary_amine
CC(=O)c1ccc(O)cc1.Clc1nc(Cl)nc(Cl)n1>>CC(=O)c1ccc(Oc2nc(Oc3ccc(C(C)=O)cc3)nc(Oc3ccc(C(C)=O)cc3)n2)cc1,HeteroAr–Cl + Ar–OH →,
O=Cc1ccc(O)cc1.N#Cc1ccc(F)c(F)c1>>N#Cc1ccc(Oc2ccc(C=O)cc2)c(F)c1,Ar–F + Ar–OH → Ar–O–Ar,aldehyde; aryl_halide; nitrile
CO.[Na].CC(C)Oc1cccc2nc(Cl)c(C=O)cc12>>COc1nc2cccc(OC(C)C)c2cc1C=O,HeteroAr–Cl + R–OH → HeteroAr–O–R,heteroaryl_nitrogen; aldehyde; ether
Cc1ccc(S(=O)(=O)n2cc(I)c3cc(Cl)ccc32)cc1.CO.Brc1cccc(Br)n1>>Clc1ccc2[nH]cc(-c3cccc(-c4c[nH]c5ccc(Cl)cc45)n3)c2c1.COc1cccc(-c2c[nH]c3ccc(Cl)cc23)n1,(Ar–Cl + R–OH) OR (HeteroAr–Br + R–OH) OR (HeteroAr–I + R–OH) →,
Oc1ccccc1.CC(=O)N1CCC(C(=O)c2ccc(Br)cc2)CC1>>CC(=O)N1CCC(C(=O)c2ccc(Oc3ccccc3)cc2)CC1,Ar–Br + Ar–OH → Ar–O–Ar,ketone; amide
CCCCCCO.COC(=O)c1ccc(Br)cc1>>CCCCCCOc1ccc(C(=O)OC)cc1,Ar–Br + R–OH → Ar–O–R,ester
Cc1cc(C)cc(O)c1.O=Cc1cc([N+](=O)[O-])c(Br)cc1F>>Cc1cc(C)cc(Oc2cc(Br)c([N+](=O)[O-])cc2C=O)c1,Ar–F + Ar–OH → Ar–O–Ar,aldehyde; aryl_halide; nitro; tertiary_amine
Oc1ccccc1.O=[N+]([O-])c1ccc(F)c(Cl)c1>>O=[N+]([O-])c1ccc(Oc2ccccc2)c(Cl)c1,Ar–F + Ar–OH → Ar–O–Ar,aryl_halide; nitro; tertiary_amine
Cc1cnc(Cl)nc1.Oc1ccccc1OC(F)(F)F>>Cc1cnc(Oc2ccccc2OC(F)(F)F)nc1,HeteroAr–Cl + Ar–OH → HeteroAr–O–Ar,heteroaryl_nitrogen; heteroaryl_nitrogen; ether
CCc1ccccc1O.Cc1cnc(Cl)nc1>>CCc1ccccc1Oc1ncc(C)cn1,HeteroAr–Cl + Ar–OH → HeteroAr–O–Ar,heteroaryl_nitrogen; heteroaryl_nitrogen
