Reaction_Type,Num_Experiments,Num_Reactant_Pairs,Num_Catalysts,Avg_Yield,Success_Rate,Top_Catalyst,Top_Reactant_Pair
Acylation_ester,9,6,1,70.66666666666667,88.88888888888889,Pd(OAc)2,Ar-COCl + RCH2-OH|R2CH-OH
Aldol_addition,9,8,0,0.0,0.0,,Alkyl-CHO|R_acidic-H + R2CH-COOR|R_acidic-H
Multi-Event:Ann+LGDisp+C-O+C-S,8,6,3,64.125,75.0,Pd(PPh3)4,Ar-CF3 + Ar-SH
Oxidation_primary_alcohol_to_carboxylic_acid,7,6,1,62.0,85.71428571428571,Pyridinium chlorochromate/Pd(OAc)2,Ar-I + RCH2-Alkenyl|RCH2-OH
Multi-Event:C-O+C-S+C-C,7,6,1,89.42857142857143,100.0,CuI,RCH2-SH + RCH2-Alkenyl
General C_Br cleavage reaction,6,5,0,0.0,0.0,,R2CH-Br + Alkyl-O*
Multi-Event:EsterHyd+LGDisp+C-C,5,4,1,74.6,80.0,Pd(OAc)2,Alkenyl-COOR + Ar-Br
Multi-Event:Amid+LGDisp+C-N+C-C,5,4,2,86.2,100.0,Pd(OAc)2,R2CH-COOH|R_acidic-H + R2CH-I
Multi-Event:Amid+C-N+C-S,5,1,0,90.6,100.0,,Ar-SH + Alkenyl-COOH|RCH2-Alkenyl
Multi-Event:EsterHyd+Ann+LGDisp,5,1,0,78.8,100.0,,
General C_O cleavage reaction,5,5,0,0.0,0.0,,Ar-Alkyl|Bn-OR + Inorganic
Multi-Event:EsterHyd+C-N+C-C,4,4,0,86.0,100.0,,Ar-COOR + Bn-NHR
General C_N / C_C bond formation reaction,4,4,0,0.0,0.0,,Alkyl-COR|R_acidic-H + H-CONH2
Click_azide_alkyne_cycloaddition,4,4,0,0.0,0.0,,Alkyl-Alkynyl_terminal + Bn-N3
Multi-Event:LGDisp+C-O+C-S,4,3,2,85.75,100.0,CuI,Thiocarbonyl-SH + Inorganic
Multi-Event:Amid+C-N+C-O+C-C,4,4,0,80.75,100.0,,Ar-CN + Alkyl-COOH
Multi-Event:Amid+C-N+C-O,4,3,0,63.75,75.0,,RCH2-COOH|R_acidic-H + RCH2-NHR
Multi-Event:Ann+C-O+C-S,3,2,0,73.0,100.0,,RCH2-SH|RCH2-OH + HeteroAr-F
Multi-Event:C-O+C-S,3,2,0,82.33333333333333,100.0,,Thiocarbonyl-SH + RCH2-Alkenyl|Allyl-OR
Epoxidation,3,3,0,0.0,0.0,,Alkyl-Alkenyl + Inorganic
General C_N cleavage reaction,3,3,0,0.0,0.0,,Ar-Alkyl|Ar-N*|Alkyl-O* + Inorganic
Multi-Event:C-N+C-S+C-C,2,2,0,91.5,100.0,,Alkyl-H + RCH2-NH2
Multi-Event:EsterHyd+C-N+C-O+C-C,2,2,0,79.5,100.0,,Ar-NH2 + RCH2-COOR
Multi-Event:LGDisp+C-N+C-S,2,2,1,81.5,100.0,CuI,RCH2-NR2 + Ar-Cl
Multi-Event:EsterHyd+LGDisp+C-N,2,2,1,81.5,100.0,RuPhos Pd G3,Ar-COOR|Ar-F + Ar-Cl
Multi-Event:Ann+LGDisp,2,2,1,79.5,100.0,Grubbs-I,
Aryl_Nitration,2,2,1,45.5,50.0,CuI,Bn-OH + Ar-H|Alkyl-H
General C_S bond formation reaction,2,2,0,0.0,0.0,,Alkyl-O* + Ar-Br
Multi-Event:Amid+C-N+C-O+C-S,1,1,0,76.0,100.0,,RCH2-CHO + Alkyl-H
Multi-Event:C-N+C-O+C-S,1,1,0,85.0,100.0,,RCH2-Alkenyl + RCH2-SH
Multi-Event:EsterHyd+LGDisp,1,1,0,70.0,100.0,,
Multi-Event:LGDisp+C-N+C-S+C-C,1,1,1,77.0,100.0,(R)-Ferrocenyl p-Tolyl Sulfoxide,Ar-COCl + Ar-Alkyl
Multi-Event:LGDisp+C-O+C-S+C-C,1,1,1,87.0,100.0,CuI,Ar-I + Thiocarbonyl-SH
Multi-Event:EsterHyd+Ann+C-N+C-C,1,1,0,95.0,100.0,,Ar-COOR + HeteroAr-NH2|Ar-NH2
Multi-Event:BzOAlk+Ann+LGDisp+C-O,1,1,0,86.0,100.0,,Bn-Cl + Ar-COOR|Ar-OH
General C_N / C_S bond formation reaction,1,1,0,0.0,0.0,,Thiocarbonyl-SH + Ar-I|Ar-P*|Ar-N*
Multi-Event:BzOAlk+Ann+C-O+C-C,1,1,0,89.0,100.0,,Bn-Cl + Ar-COOR|Ar-OH
Multi-Event:EsterHyd+C-N+C-O,1,1,0,70.0,100.0,,RCH2-COOR + RCH2-PR3+
Multi-Event:EsterHyd+C-C,1,1,0,93.0,100.0,,Alkyl-COOR + Ar-B(OH)2
