"source_file","reaction_id","reaction_type","reaction_smiles"
"Acyl_Halides_formation.csv","31-371-CAS-21581034","Acyl Halides formation","CC[Si](CC)(CC)O[C@H]1CC[C@]2(C)[C@H]3CC=C4[C@@H]5CC(C)(C)CC[C@]5(C(=O)O)[C@H](O[Si](CC)(CC)CC)C[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C>>CC[Si](CC)(CC)O[C@H]1CC[C@]2(C)[C@H]3CC=C4[C@@H]5CC(C)(C)CC[C@]5(C(=O)Cl)[C@H](O[Si](CC)(CC)CC)C[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C"
"Acyl_Halides_formation.csv","31-371-CAS-21581035","Acyl Halides formation","CC[Si](CC)(CC)O[C@H]1CC[C@]2(C)[C@H]3CC=C4[C@@H]5CC(C)(C)CC[C@]5(C(=O)O)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C>>CC[Si](CC)(CC)O[C@H]1CC[C@]2(C)[C@H]3CC=C4[C@@H]5CC(C)(C)CC[C@]5(C(=O)Cl)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C"
"Acyl_Halides_formation.csv","31-371-CAS-21624753","Acyl Halides formation","Cc1ccccc1C(=O)O>>Cc1ccccc1C(=O)F"
"Acyl_Halides_formation.csv","31-371-CAS-21624780","Acyl Halides formation","Cc1cc(Cl)ccc1C(=O)O>>Cc1cc(Cl)ccc1C(=O)F"
"Acyl_Halides_formation.csv","31-371-CAS-21624783","Acyl Halides formation","Cc1ccc(F)cc1C(=O)O>>Cc1ccc(F)cc1C(=O)F"
"Acyl_Halides_formation.csv","31-371-CAS-21624786","Acyl Halides formation","Cc1ccc(Cl)cc1C(=O)O>>Cc1ccc(Cl)cc1C(=O)F"
"Acyl_Halides_formation.csv","31-371-CAS-21624792","Acyl Halides formation","Cc1ccc(I)cc1C(=O)O>>Cc1ccc(I)cc1C(=O)F"
"Acyl_Halides_formation.csv","31-371-CAS-21630314","Acyl Halides formation","O=C(O)c1ccncc1>>O=C(Cl)c1ccncc1"
"Acyl_Halides_formation.csv","31-371-CAS-21635158","Acyl Halides formation","O=C(O)Cc1cccc2ccccc12>>O=C(Cl)Cc1cccc2ccccc12"
"Acyl_Halides_formation.csv","31-371-CAS-21715616","Acyl Halides formation","CC(=O)C(=O)O>>CC(=O)C(=O)Cl"
"Acyl_Halides_formation.csv","31-371-CAS-21726628","Acyl Halides formation","O=C(O)CCc1ccccc1>>O=C(Cl)CCc1ccccc1"
"Acyl_Halides_formation.csv","31-371-CAS-21735014","Acyl Halides formation","O=C(O)CN1C(=O)c2ccccc2C1=O>>O=C(Cl)CN1C(=O)c2ccccc2C1=O"
